classification,event_type,description,stored_outs,estimated_outs,pitcher_name
line_drive,Lineout,Cole Young lines out sharply to center fielder Jacob Young.,1,1,Zack Littell
line_drive,Lineout,Julio Rodríguez lines out to center fielder Jacob Young.,2,1,Zack Littell
line_drive,Lineout,Josh Naylor lines out sharply to center fielder Jacob Young.,3,1,Zack Littell
line_drive,Single,Randy Arozarena singles on a line drive to right fielder Dylan Crews.,0,0,Zack Littell
line_drive,Single,Jhonny Pereda singles on a line drive to center fielder Jacob Young.,1,0,Zack Littell
line_drive,Lineout,Cole Young lines out to left fielder James Wood.,2,1,Zack Littell
line_drive,Lineout,Jorbit Vivas lines out to second baseman Cole Young.,2,1,Bryce Miller
line_drive,Lineout,Luis García Jr. lines out sharply to center fielder Julio Rodríguez.,1,1,Bryce Miller
line_drive,Single,Cole Young singles on a line drive to left fielder James Wood.,1,0,Riley Cornelio
line_drive,Single,Luke Raley singles on a sharp line drive to right fielder Dylan Crews. Julio Rodríguez scores. Victor Robles scores.,2,0,Riley Cornelio
line_drive,Single,Jorbit Vivas singles on a line drive to right fielder Victor Robles.,0,0,Bryce Miller
line_drive,Single,Julio Rodríguez singles on a line drive to left fielder James Wood. Cole Young to 2nd.,0,0,Paxton Schultz
line_drive,Lineout,Colt Emerson lines out to center fielder Jacob Young.,3,1,Paxton Schultz
line_drive,Double,Alejandro Kirk doubles (2) on a line drive to left fielder Cody Bellinger. Ernie Clement scores.,2,0,Ryan Weathers
line_drive,Single,Jazz Chisholm Jr. singles on a line drive to right fielder Nathan Lukes.,0,0,Trey Yesavage
line_drive,Lineout,Paul Goldschmidt lines out to second baseman Ernie Clement.,2,1,Trey Yesavage
line_drive,Single,Alejandro Kirk singles on a line drive to left fielder Cody Bellinger.,1,0,Ryan Weathers
line_drive,Lineout,Ryan McMahon lines out sharply to center fielder Myles Straw.,3,1,Trey Yesavage
line_drive,Double,J.C. Escarra doubles (4) on a line drive to center fielder Myles Straw.,0,0,Trey Yesavage
line_drive,Single,Alejandro Kirk singles on a line drive to right fielder Spencer Jones. Vladimir Guerrero Jr. scores.,1,0,Jake Bird
line_drive,Single,"Blue Jays challenged (tag play), call on the field was upheld: Trent Grisham singles on a sharp line drive to center fielder Myles Straw. Spencer Jones scores. José Caballero scores. Trent Grisham to 2nd.",2,0,Mason Fluharty
line_drive,Lineout,Myles Straw lines out to right fielder Max Schuemann.,1,1,Jake Bird
line_drive,Single,Andrés Giménez singles on a line drive to center fielder Spencer Jones.,2,0,Brent Headrick
line_drive,Lineout,Ernie Clement lines out to right fielder Max Schuemann.,3,1,Brent Headrick
line_drive,Single,Nathan Lukes singles on a line drive to left fielder Cody Bellinger. Alejandro Kirk to 2nd.,2,0,Camilo Doval
ground_ball,Single,James Wood singles on a ground ball to right fielder Luke Raley.,0,0,Bryce Miller
ground_ball,Grounded Into DP,"Curtis Mead grounds into a double play, second baseman Cole Young to first baseman Josh Naylor. James Wood out at 2nd. Curtis Mead out at 1st.",3,2,Bryce Miller
ground_ball,Groundout,"Julio Rodríguez grounds out, second baseman Jorbit Vivas to first baseman Luis García Jr.",3,1,Riley Cornelio
ground_ball,Groundout,"Randy Arozarena grounds out, third baseman Curtis Mead to first baseman Luis García Jr.",2,1,Riley Cornelio
ground_ball,Single,"Miles Mastrobuoni singles on a ground ball to left fielder James Wood. Miles Mastrobuoni out at 2nd on the throw, left fielder James Wood to second baseman Jorbit Vivas.",2,0,Riley Cornelio
