pitcher_name,event_rows
Cristopher Sánchez,929
José Soriano,925
Sandy Alcantara,892
Framber Valdez,883
Zac Gallen,864
Mitch Keller,864
Jesús Luzardo,864
Freddy Peralta,859
Shane Baz,858
Nick Martinez,857
Michael Wacha,855
Logan Webb,855
Bryan Woo,854
Jeffrey Springs,843
Robbie Ray,840
MacKenzie Gore,838
Zack Littell,830
Tanner Bibee,829
Kevin Gausman,828
Paul Skenes,825
Luis Severino,822
Luis Castillo,810
Merrill Kelly,804
Gavin Williams,801
Will Warren,801
Andre Pallante,798
Dylan Cease,797
Seth Lugo,796
Joe Ryan,794
Andrew Abbott,789
David Peterson,785
Dustin May,784
Grant Holmes,771
Chris Bassitt,770
Yoshinobu Yamamoto,769
Bryce Elder,768
Michael Lorenzen,767
Jacob deGrom,765
Tomoyuki Sugano,764
Landen Roupp,763
Colin Rea,762
Taj Bradley,761
Sean Burke,760
Matthew Liberatore,758
Brady Singer,751
Brayan Bello,750
Max Fried,748
Jack Flaherty,746
Eduardo Rodriguez,746
Jake Irvin,745
Sonny Gray,742
Randy Vásquez,740
Nathan Eovaldi,739
Erick Fedde,738
Zack Wheeler,735
Patrick Corbin,733
Ryne Nelson,727
Miles Mikolas,726
Kyle Freeland,722
Jack Kochanowicz,718
Chris Paddack,717
Jack Leiter,711
Nick Lodolo,697
Clay Holmes,694
Walker Buehler,691
Davis Martin,691
Bailey Ober,689
Drew Rasmussen,688
Garrett Crochet,686
Edward Cabrera,686
Tarik Skubal,679
Chris Sale,673
Yusei Kikuchi,672
Ranger Suarez,671
Kris Bubic,665
Shota Imanaga,658
Michael Soroka,655
Slade Cecconi,655
Jameson Taillon,655
Brandon Pfaadt,652
George Kirby,646
Emerson Hancock,642
Carlos Rodón,640
Chad Patrick,618
Antonio Senzatela,618
Mitchell Parker,618
Logan Gilbert,617
Max Meyer,617
Noah Cameron,616
Ben Brown,615
Keider Montero,615
Casey Mize,608
Mike Burrows,596
Simeon Woods Richardson,592
Adrian Houser,582
Kumar Rocker,571
Matthew Boyd,570
Tyler Mahle,566
Germán Márquez,562
Michael King,561
Carmen Mlodzinski,560
Reid Detmers,558
Stephen Kolek,556
Dean Kremer,549
Eric Lauer,542
Kyle Leahy,535
Jose Quintana,532
Jacob Lopez,532
Nick Pivetta,528
Hunter Brown,528
Joey Cantillo,525
José Berríos,523
Chase Dollander,515
Ryan Pepiot,509
Aaron Civale,508
Cal Quantrill,507
Aaron Nola,507
Brad Lord,499
J.T. Ginn,498
Janson Junk,498
Spencer Strider,494
Justin Wrobleski,491
Bailey Falter,490
Logan Allen,488
Lucas Giolito,485
Griffin Canning,475
Trevor Rogers,473
Tyler Anderson,473
Kodai Senga,467
Braxton Ashcraft,465
Jacob Misiorowski,461
Sean Newcomb,459
Kyle Hendricks,450
JP Sears,450
Michael McGreevy,448
Charlie Morton,448
Chase Burns,447
Quinn Priester,446
Tyler Phillips,445
Eury Pérez,442
Ryan Gusto,439
Taijuan Walker,435
Andrew Heaney,434
Tyler Alexander,433
Brandon Young,433
Shane Smith,428
Steven Matz,425
Spencer Schwellenbach,415
Cam Schlittler,414
Ryan Weathers,407
Jonathan Cannon,399
Roki Sasaki,398
Justin Verlander,396
Trevor Williams,395
Lance McCullers Jr.,393
Griffin Jax,381
Emmet Sheehan,375
Luis Ortiz,375
Kyle Harrison,368
Brent Suter,367
Wandy Peralta,358
Jacob Latz,352
José A. Ferrer,351
Mitch Spence,351
Cade Povich,349
Foster Griffin,347
Nolan McLean,346
Louis Varland,344
Huascar Brazobán,344
Tyler Holton,343
Hogan Harris,342
Cole Ragans,340
Scott Barlow,338
Lake Bachar,336
Cade Cavalli,333
Eduard Bazardo,333
Brock Burke,331
Anthony Banda,330
Ryan Yarbrough,330
Hunter Dobbins,329
Tyler Kinley,328
Connelly Early,327
Bryan King,326
Tony Santillan,326
Colton Gordon,326
Brennan Bernardino,325
Shohei Ohtani,325
Adrian Morejon,323
Kyle Bradish,323
Zebby Matthews,323
Jake Bird,322
Ryan Zeferjahn,322
Zach Agnos,321
Jordan Hicks,321
Jacob Webb,321
Jeff Hoffman,321
Parker Messick,321
Cade Smith,319
Brant Hurter,319
Cade Horton,319
Jason Adam,319
Grant Anderson,318
Hoby Milner,318
Bryce Miller,317
Jack Dreyer,317
Osvaldo Bido,317
Clarke Schmidt,317
Eric Orze,316
Tanner Banks,316
Aaron Ashby,316
Abner Uribe,316
Tyler Rogers,315
Graham Ashcraft,313
Brad Keller,313
Casey Legumina,310
Jimmy Herget,310
Juan Mejia,310
Steven Okert,309
Enyel De Los Santos,307
Martín Pérez,307
Jakob Junis,307
Spencer Arrighetti,307
Bryan Abreu,306
Zach Eflin,306
Calvin Faucher,305
John King,303
Anthony Kay,302
Bubba Chandler,302
Tim Hill,302
Greg Weissert,301
Lucas Erceg,300
Dennis Santana,300
Andrew Painter,299
Kyle Finnegan,299
Hayden Birdsong,298
Justin Sterner,297
Dylan Lee,297
Jhoan Duran,297
Ben Casparius,297
Ryne Stanek,294
Daniel Lynch IV,294
Tyler Glasnow,293
Camilo Doval,292
John Schreiber,292
Anthony Bender,290
Ryan Feltner,290
Orion Kerkering,289
Mason Fluharty,287
Bryan Baker,287
Gregory Soto,286
Robert Suarez,286
Tylor Megill,286
Seranthony Domínguez,285
Sean Manaea,283
Jalen Beeks,283
Tanner Scott,282
Mark Leiter Jr.,281
Mike Vasil,281
Logan Evans,281
Garrett Whitlock,280
Will Vest,279
David Bednar,279
Luke Weaver,279
Braydon Fisher,278
Justin Topa,277
Andrés Muñoz,277
JoJo Romero,275
Brenan Hanifee,274
Devin Williams,272
Walbert Ureña,272
Tanner Gordon,272
Mason Montgomery,271
Shane McClanahan,268
Jeremiah Estrada,268
Hunter Gaddis,267
Reese Olson,267
Raisel Iglesias,266
Brandon Eisert,266
Bowden Francis,266
Phil Maton,265
Corbin Burnes,265
Valente Bellozo,264
Jack Perkins,264
Matt Festa,263
Taylor Rogers,262
Steven Cruz,262
Matt Strahm,262
Mason Miller,261
Aaron Bummer,261
Brandon Sproat,261
Fernando Cruz,259
Shawn Armstrong,259
Trevor Megill,259
Yennier Cano,256
Ryan Walker,256
Chase Shugart,255
Ryan Rolison,254
Tobias Myers,253
Matt Svanson,252
Keegan Akin,251
Yuki Matsui,251
Clayton Kershaw,251
Peter Lambert,250
Pete Fairbanks,249
Seth Halvorsen,248
Jordan Leasure,248
Alex Vesia,248
Pierce Johnson,247
Riley O'Brien,246
Tim Herrin,246
Jonathan Loáisiga,241
DL Hall,240
Aroldis Chapman,240
Nick Mears,240
Yariel Rodríguez,240
Kai-Wei Teng,239
Cole Henry,239
Cole Sands,239
Paxton Schultz,238
Juan Morillo,238
Emilio Pagán,238
Trent Thornton,238
Jackson Rutledge,237
Payton Tolle,236
Yoendrys Gómez,234
Ryan Thompson,234
Angel Zerpa,234
Taylor Clarke,233
Kolby Allard,233
Gabe Speier,232
Kevin Kelly,232
Victor Vodnik,232
Drew Pomeranz,231
Gordon Graceffo,230
Kevin Ginkel,230
Grant Taylor,230
Max Scherzer,230
David Festa,230
Mason Englert,226
Garrett Cleavinger,226
Pablo López,225
Brendon Little,222
Joe Ross,222
Kenley Jansen,220
Caleb Thielbar,220
Daniel Palencia,220
Paul Blackburn,220
Erik Miller,219
Connor Prielipp,218
Hunter Greene,218
Spencer Bivens,218
AJ Blubaugh,217
Yohan Ramírez,216
Bryse Wilson,213
Joey Wentz,213
Brandon Walter,213
Luis García,212
Caleb Ferguson,211
Edwin Uceta,210
Ronny Henriquez,209
Jonathan Bowlan,208
Jason Alexander,208
Cionel Pérez,207
Rhett Lowder,207
Ian Seymour,207
José Buttó,206
Brandon Woodruff,206
Carlos Vargas,204
Sam Bachman,203
Edwin Díaz,202
Tommy Kahnle,201
José Alvarado,201
Carlos Estévez,201
Mick Abel,201
Drew Anderson,200
Brent Headrick,199
Josh Hader,199
Andrew Kittredge,199
Ryan Borucki,199
Jackson Jobe,199
Trey Yesavage,198
Connor Brogdon,198
Cade Gibson,197
Jordan Romano,197
George Soriano,196
Ryan Helsley,196
Scott Blewett,196
Carlos Carrasco,195
Jared Koenig,194
David Morgan,193
Isaac Mattson,193
JT Brubaker,192
Robert Garcia,192
José Suarez,191
Emmanuel Clase,191
Kyle Hart,190
Ryan Watson,189
Bennett Sousa,188
Trevor McDonald,186
Jorge Alcala,186
Cole Sulser,184
Didier Fuentes,184
Chad Green,184
Bryan Hudson,183
Spencer Miles,183
Kirby Yates,182
Lou Trivino,181
Danny Coulombe,179
Justin Bruihl,179
Cole Winn,179
Tanner Houck,179
Chris Flexen,179
Austin Gomber,179
Will Klein,178
Christian Scott,178
Reed Garrett,178
Ronel Blanco,178
Chris Martin,177
Shane Drohan,177
Randy Rodríguez,177
Angel Chivilli,176
Lyon Richardson,175
Matt Brash,173
Ian Hamilton,173
Sam Moll,172
Logan Henderson,172
Reynaldo López,171
Justin Lawrence,170
Cooper Criswell,170
AJ Smith-Shawver,170
Luinder Avila,169
Carlos Hernández,169
Richard Lovelady,168
Noah Schultz,168
José Fermin,168
Zack Kelly,167
Ron Marinaccio,166
Jake Woodford,165
Kody Funderburk,165
Tyler Ferguson,165
Ryan Pressly,165
Landon Knack,165
Jesse Scholtens,164
Chase Lee,163
Tim Mayza,161
Rico Garcia,161
Rafael Montero,160
Ben Lively,160
Steven Wilson,159
Paul Sewald,158
Colin Holderman,158
Tony Gonsolin,158
Tatsuya Imai,157
Tyler Gilbert,156
Connor Phillips,156
