game_date,game_id,team,game_pk,actual_status
2026-06-22,CHC@NYM,CHC,823613,missing
2026-06-22,CHC@NYM,NYM,823613,missing
2026-06-22,BAL@LAA,BAL,824016,pending
2026-06-22,BAL@LAA,LAA,824016,pending
2026-06-22,ATL@SD,ATL,823288,pending
2026-06-22,ATL@SD,SD,823288,pending
2026-06-23,HOU@TOR,HOU,822799,final
2026-06-23,HOU@TOR,TOR,822799,final
2026-06-23,KC@TB,KC,822963,final
2026-06-23,KC@TB,TB,822963,final
2026-06-23,SEA@PIT,SEA,823365,final
2026-06-23,SEA@PIT,PIT,823365,final
2026-06-23,TEX@MIA,TEX,823849,final
2026-06-23,TEX@MIA,MIA,823849,final
2026-06-23,NYY@DET,NYY,824262,final
2026-06-23,NYY@DET,DET,824262,final
2026-06-23,PHI@WSN,PHI,822718,final
2026-06-23,PHI@WSN,WSN,822718,final
2026-06-23,CHC@NYM,CHC,823614,final
2026-06-23,CHC@NYM,NYM,823614,final
2026-06-23,MIL@CIN,MIL,824501,final
2026-06-23,MIL@CIN,CIN,824501,final
2026-06-23,LAD@MIN,LAD,823690,final
2026-06-23,LAD@MIN,MIN,823690,final
2026-06-23,CLE@CWS,CLE,824584,final
2026-06-23,CLE@CWS,CWS,824584,final
2026-06-23,AZ@STL,AZ,823043,final
2026-06-23,AZ@STL,STL,823043,final
2026-06-23,BOS@COL,BOS,824340,final
2026-06-23,BOS@COL,COL,824340,final
2026-06-23,BAL@LAA,BAL,824017,final
2026-06-23,BAL@LAA,LAA,824017,final
2026-06-23,ATL@SD,ATL,823286,pending
2026-06-23,ATL@SD,SD,823286,pending
2026-06-23,ATH@SF,ATH,823210,pending
2026-06-23,ATH@SF,SF,823210,pending
