mode,outcome,score_side,threshold,count,correct,success_rate,actual_yes_rate_all_rows,majority_baseline_success,lift_vs_majority_baseline,avg_net_score,avg_positive_score,avg_negative_score
chronological_2023+2024_to_2025,team_won,positive_predict_yes,0.2,1095,632,0.5772,0.5,0.5,0.0772,0.4624,0.4935,-0.0311
chronological_2023+2024_to_2025,opponent_blew_early_small_lead,negative_predict_no,0.06,255,199,0.7804,0.2877,0.7123,0.0681,-0.0939,0.0,-0.0939
chronological_2023+2024_to_2025,team_early_deficit_tied_or_led_later,negative_predict_no,0.06,255,199,0.7804,0.2877,0.7123,0.0681,-0.0939,0.0,-0.0939
chronological_2023+2024_to_2025,team_runs_5plus,negative_predict_no,0.2,703,458,0.6515,0.4166,0.5834,0.0681,-0.2983,0.0109,-0.3092
chronological_2023+2024_to_2025,team_won,negative_predict_no,0.15,1501,846,0.5636,0.5,0.5,0.0636,-0.319,0.0219,-0.341
chronological_2023+2024_to_2025,team_runs_4plus,positive_predict_yes,0.15,1376,817,0.5938,0.5493,0.5493,0.0445,0.3914,0.4165,-0.0251
chronological_2023+2024_to_2025,team_early_deficit_scored_next2,negative_predict_no,0.15,735,525,0.7143,0.3279,0.6721,0.0422,-0.1653,0.0004,-0.1658
chronological_2023+2024_to_2025,team_f5_runs_2plus,positive_predict_yes,0.2,1086,666,0.6133,0.5754,0.5754,0.0379,0.4051,0.4214,-0.0163
chronological_2023+2024_to_2025,game_total_9plus,negative_predict_no,0.06,536,296,0.5522,0.4853,0.5147,0.0375,-0.1053,0.0056,-0.1109
chronological_2023+2024_to_2025,f5_total_4plus,positive_predict_yes,0.2,397,254,0.6398,0.6226,0.6226,0.0172,0.4927,0.5028,-0.0101
chronological_2023+2024_to_2025,game_total_9plus,positive_predict_yes,0.1,918,467,0.5087,0.4853,0.5147,-0.006,0.1859,0.1902,-0.0043
chronological_2023+2024_to_2025,team_runs_4plus,negative_predict_no,0.2,770,389,0.5052,0.5493,0.5493,-0.0441,-0.3146,0.0133,-0.3279
chronological_2023+2024_to_2025,team_f5_runs_2plus,negative_predict_no,0.12,861,424,0.4925,0.5754,0.5754,-0.0829,-0.2043,0.0071,-0.2114
chronological_2023+2024_to_2025,team_runs_5plus,positive_predict_yes,0.12,1966,891,0.4532,0.4166,0.5834,-0.1302,0.4005,0.4356,-0.0351
chronological_2023+2024_to_2025,f5_total_4plus,negative_predict_no,0.06,460,182,0.3957,0.6226,0.6226,-0.227,-0.0807,0.0016,-0.0823
chronological_2023+2024_to_2025,team_early_deficit_scored_next2,positive_predict_yes,0.08,2179,805,0.3694,0.3279,0.6721,-0.3027,0.1449,0.1479,-0.0031
chronological_2023+2024_to_2025,opponent_blew_early_small_lead,positive_predict_yes,0.08,499,167,0.3347,0.2877,0.7123,-0.3777,0.1116,0.1136,-0.002
chronological_2023+2024_to_2025,team_early_deficit_tied_or_led_later,positive_predict_yes,0.08,499,167,0.3347,0.2877,0.7123,-0.3777,0.1116,0.1136,-0.002
loo_test_2023,team_won,negative_predict_no,0.2,832,497,0.5974,0.5,0.5,0.0974,-0.3228,0.0145,-0.3373
loo_test_2023,team_runs_5plus,negative_predict_no,0.2,496,317,0.6391,0.4529,0.5471,0.092,-0.2882,0.0115,-0.2998
loo_test_2023,team_runs_4plus,positive_predict_yes,0.2,1076,699,0.6496,0.5745,0.5745,0.0752,0.4105,0.424,-0.0136
loo_test_2023,team_won,positive_predict_yes,0.2,1457,822,0.5642,0.5,0.5,0.0642,0.4656,0.4901,-0.0245
