mode,threshold,picks,correct,success_rate,avg_net_score,home_pick_rate
loo_test_2023,0.04,2101,1166,0.555,0.3538,0.623
loo_test_2023,0.06,1966,1095,0.557,0.374,0.6251
loo_test_2023,0.08,1882,1048,0.5569,0.3869,0.6265
loo_test_2023,0.1,1749,984,0.5626,0.4084,0.6272
loo_test_2023,0.12,1659,934,0.563,0.424,0.6323
loo_test_2023,0.15,1544,872,0.5648,0.4447,0.6289
loo_test_2023,0.2,1367,776,0.5677,0.479,0.6233
loo_test_2024,0.04,1839,1035,0.5628,0.2978,0.6558
loo_test_2024,0.06,1614,921,0.5706,0.3321,0.6524
loo_test_2024,0.08,1568,902,0.5753,0.3397,0.655
loo_test_2024,0.1,1429,828,0.5794,0.3636,0.6417
loo_test_2024,0.12,1334,778,0.5832,0.3818,0.6522
loo_test_2024,0.15,1207,704,0.5833,0.4074,0.6529
loo_test_2024,0.2,1010,599,0.5931,0.4523,0.6495
loo_test_2025,0.04,1890,1017,0.5381,0.3159,0.5593
loo_test_2025,0.06,1720,945,0.5494,0.3419,0.5651
loo_test_2025,0.08,1647,905,0.5495,0.3531,0.5756
loo_test_2025,0.1,1539,853,0.5543,0.3712,0.5718
loo_test_2025,0.12,1432,801,0.5594,0.3907,0.5873
loo_test_2025,0.15,1295,739,0.5707,0.4169,0.5807
loo_test_2025,0.2,1070,619,0.5785,0.4673,0.5822
chronological_2023+2024_to_2025,0.04,1890,1017,0.5381,0.3159,0.5593
chronological_2023+2024_to_2025,0.06,1720,945,0.5494,0.3419,0.5651
chronological_2023+2024_to_2025,0.08,1647,905,0.5495,0.3531,0.5756
chronological_2023+2024_to_2025,0.1,1539,853,0.5543,0.3712,0.5718
chronological_2023+2024_to_2025,0.12,1432,801,0.5594,0.3907,0.5873
chronological_2023+2024_to_2025,0.15,1295,739,0.5707,0.4169,0.5807
chronological_2023+2024_to_2025,0.2,1070,619,0.5785,0.4673,0.5822
