season,game_pk,game_date,game_id,team,opponent,home_away,outcome,actual_outcome,positive_rule_count,negative_rule_count,positive_score,negative_score,net_score,top_positive_rules,top_negative_rules,validation_mode,test_season
2023,718780,2023-03-30,ATL@WSN,ATL,WSN,away,team_won,1,0,2,0,-0.085,-0.085,,home_away+opponent_strength_bucket=away__50_55(-0.044) | starter_confidence=none(-0.041),leave_one_season_out,2023
2023,718780,2023-03-30,ATL@WSN,ATL,WSN,away,team_runs_5plus,1,10,0,0.5265,0,0.5265,offense_form_bucket+opponent_starter_ra9_bucket=50_55__missing(+0.071) | opponent_starter_confidence=none(+0.051) | opponent_starter_ra9_bucket=missing(+0.051) | opponent_starter_ip_bucket=missing(+0.051) | opponent_starter_kbb_bucket=missing(+0.051),,leave_one_season_out,2023
2023,718780,2023-03-30,ATL@WSN,ATL,WSN,away,game_total_9plus,1,12,0,0.6315,0,0.6315,offense_form_bucket+opponent_starter_ra9_bucket=50_55__missing(+0.089) | starter_xfip_gap_bucket=missing(+0.054) | starter_quality_gap_bucket=missing(+0.054) | starter_confidence=none(+0.048) | opponent_starter_confidence=none(+0.048),,leave_one_season_out,2023
2023,718780,2023-03-30,ATL@WSN,ATL,WSN,away,f5_total_4plus,1,12,1,0.5262,-0.051,0.4752,starter_xfip_gap_bucket=missing(+0.046) | starter_quality_gap_bucket=missing(+0.046) | starter_confidence=none(+0.043) | opponent_starter_confidence=none(+0.043) | opponent_starter_ra9_bucket=missing(+0.043),team_strength_bucket+opponent_strength_bucket=50_55__50_55(-0.051),leave_one_season_out,2023
2023,718780,2023-03-30,ATL@WSN,WSN,ATL,home,team_runs_5plus,0,10,0,0.5265,0,0.5265,offense_form_bucket+opponent_starter_ra9_bucket=50_55__missing(+0.071) | opponent_starter_confidence=none(+0.051) | opponent_starter_ra9_bucket=missing(+0.051) | opponent_starter_ip_bucket=missing(+0.051) | opponent_starter_kbb_bucket=missing(+0.051),,leave_one_season_out,2023
2023,718780,2023-03-30,ATL@WSN,WSN,ATL,home,game_total_9plus,1,12,0,0.6315,0,0.6315,offense_form_bucket+opponent_starter_ra9_bucket=50_55__missing(+0.089) | starter_xfip_gap_bucket=missing(+0.054) | starter_quality_gap_bucket=missing(+0.054) | starter_confidence=none(+0.048) | opponent_starter_confidence=none(+0.048),,leave_one_season_out,2023
2023,718780,2023-03-30,ATL@WSN,WSN,ATL,home,f5_total_4plus,1,12,1,0.5262,-0.051,0.4752,starter_xfip_gap_bucket=missing(+0.046) | starter_quality_gap_bucket=missing(+0.046) | starter_confidence=none(+0.043) | opponent_starter_confidence=none(+0.043) | opponent_starter_ra9_bucket=missing(+0.043),team_strength_bucket+opponent_strength_bucket=50_55__50_55(-0.051),leave_one_season_out,2023
2023,718780,2023-03-30,ATL@WSN,WSN,ATL,home,team_early_deficit_scored_next2,1,2,0,0.0977,0,0.0977,home_away+opponent_strength_bucket=home__50_55(+0.051) | offense_form_bucket+opponent_starter_ra9_bucket=50_55__missing(+0.047),,leave_one_season_out,2023
2023,718781,2023-03-30,SF@NYY,SF,NYY,away,team_won,0,0,2,0,-0.085,-0.085,,home_away+opponent_strength_bucket=away__50_55(-0.044) | starter_confidence=none(-0.041),leave_one_season_out,2023
2023,718781,2023-03-30,SF@NYY,SF,NYY,away,team_runs_5plus,0,10,0,0.5265,0,0.5265,offense_form_bucket+opponent_starter_ra9_bucket=50_55__missing(+0.071) | opponent_starter_confidence=none(+0.051) | opponent_starter_ra9_bucket=missing(+0.051) | opponent_starter_ip_bucket=missing(+0.051) | opponent_starter_kbb_bucket=missing(+0.051),,leave_one_season_out,2023
2023,718781,2023-03-30,SF@NYY,SF,NYY,away,game_total_9plus,0,12,0,0.6315,0,0.6315,offense_form_bucket+opponent_starter_ra9_bucket=50_55__missing(+0.089) | starter_xfip_gap_bucket=missing(+0.054) | starter_quality_gap_bucket=missing(+0.054) | starter_confidence=none(+0.048) | opponent_starter_confidence=none(+0.048),,leave_one_season_out,2023
2023,718781,2023-03-30,SF@NYY,SF,NYY,away,f5_total_4plus,0,12,1,0.5262,-0.051,0.4752,starter_xfip_gap_bucket=missing(+0.046) | starter_quality_gap_bucket=missing(+0.046) | starter_confidence=none(+0.043) | opponent_starter_confidence=none(+0.043) | opponent_starter_ra9_bucket=missing(+0.043),team_strength_bucket+opponent_strength_bucket=50_55__50_55(-0.051),leave_one_season_out,2023
2023,718781,2023-03-30,SF@NYY,NYY,SF,home,team_runs_5plus,1,10,0,0.5265,0,0.5265,offense_form_bucket+opponent_starter_ra9_bucket=50_55__missing(+0.071) | opponent_starter_confidence=none(+0.051) | opponent_starter_ra9_bucket=missing(+0.051) | opponent_starter_ip_bucket=missing(+0.051) | opponent_starter_kbb_bucket=missing(+0.051),,leave_one_season_out,2023
2023,718781,2023-03-30,SF@NYY,NYY,SF,home,game_total_9plus,0,12,0,0.6315,0,0.6315,offense_form_bucket+opponent_starter_ra9_bucket=50_55__missing(+0.089) | starter_xfip_gap_bucket=missing(+0.054) | starter_quality_gap_bucket=missing(+0.054) | starter_confidence=none(+0.048) | opponent_starter_confidence=none(+0.048),,leave_one_season_out,2023
