run_ts,slate_date,team,opp,home_away,game_start,score,band,calib_prob_pct,no_ask,spread,ev_cents,verdict,snap_age_min,snap_ts,ticker
2026-06-25T04:25,2025-09-02,CLE,BOS,away,2025-09-02T22:45,0.5058,0.50+,68.6,,,,NO_MARKET,,,
2026-06-25T04:25,2025-09-02,ATL,CHC,away,2025-09-02T23:40,0.205,0.20-0.30,63.3,,,,NO_MARKET,,,
2026-06-25T04:25,2025-09-02,COL,SF,home,2025-09-03T00:40,0.6573,0.50+,68.6,,,,NO_MARKET,,,
2026-06-25T04:25,2025-09-02,CLE,BOS,away,2025-09-02T22:45,0.5058,0.50+,68.6,,,,NO_MARKET,,,
2026-06-25T04:25,2025-09-02,ATL,CHC,away,2025-09-02T23:40,0.205,0.20-0.30,63.3,,,,NO_MARKET,,,
2026-06-25T04:25,2025-09-02,COL,SF,home,2025-09-03T00:40,0.6573,0.50+,68.6,,,,NO_MARKET,,,
2026-06-25T04:25,2025-09-02,CLE,BOS,away,2025-09-02T22:45,0.5058,0.50+,68.6,,,,NO_MARKET,,,
2026-06-25T04:25,2025-09-02,ATL,CHC,away,2025-09-02T23:40,0.205,0.20-0.30,63.3,,,,NO_MARKET,,,
2026-06-25T04:25,2025-09-02,COL,SF,home,2025-09-03T00:40,0.6573,0.50+,68.6,,,,NO_MARKET,,,
2026-06-25T04:26,2025-09-02,CLE,BOS,away,2025-09-02T22:45,0.5058,0.50+,68.6,,,,NO_MARKET,,,
2026-06-25T04:26,2025-09-02,ATL,CHC,away,2025-09-02T23:40,0.205,0.20-0.30,63.3,,,,NO_MARKET,,,
2026-06-25T04:26,2025-09-02,COL,SF,home,2025-09-03T00:40,0.6573,0.50+,68.6,,,,NO_MARKET,,,
