combo,feature_value,outcome,seasons_seen,season_count,total_count,min_season_count,avg_rate,min_rate,max_rate,rate_range,avg_lift,min_lift,max_lift,stability_label,family,feature
home_away+opponent_strength_bucket,home__lt_40,team_won,"2023,2024,2025",3,599,162,0.6613,0.6356,0.6975,0.0619,0.162,0.1356,0.1975,stable_positive_lift,,
team_strength_bucket+opponent_strength_bucket,50_55__lt_40,team_won,"2023,2024,2025",3,373,106,0.6383,0.5739,0.6711,0.0972,0.1389,0.0759,0.1711,stable_positive_lift,,
l10_rpg_bucket+opponent_strength_bucket,very_high_5_5_plus__40_45,team_runs_5plus,"2023,2024,2025",3,376,114,0.5622,0.5207,0.5957,0.075,0.1306,0.1041,0.145,stable_positive_lift,,
l10_rpg_bucket+opponent_strength_bucket,very_high_5_5_plus__40_45,team_won,"2023,2024,2025",3,376,114,0.6288,0.614,0.6525,0.0385,0.1294,0.116,0.1525,stable_positive_lift,,
l10_rpg_bucket+opponent_strength_bucket,very_high_5_5_plus__40_45,team_f5_runs_2plus,"2023,2024,2025",3,376,114,0.6991,0.6667,0.7281,0.0614,0.116,0.0722,0.1486,stable_positive_lift,,
,lt_40,team_won,"2023,2024,2025",3,1224,341,0.6126,0.61,0.6156,0.0056,0.1132,0.11,0.1176,stable_positive_lift,team_quality,opponent_strength_bucket
home_away+opponent_strength_bucket,home__lt_40,team_runs_4plus,"2023,2024,2025",3,599,162,0.6694,0.6509,0.6844,0.0335,0.1114,0.1009,0.1235,stable_positive_lift,,
team_strength_bucket+opponent_strength_bucket,50_55__lt_40,team_runs_4plus,"2023,2024,2025",3,373,106,0.6689,0.6,0.7368,0.1368,0.1109,0.05,0.1623,stable_positive_lift,,
,yes,team_won,"2023,2024,2025",3,1569,453,0.6035,0.5976,0.6115,0.0139,0.1042,0.0976,0.1115,stable_positive_lift,combo_tags,tag_weak_leader_fade_watch
team_strength_bucket+opponent_strength_bucket,50_55__lt_40,team_runs_5plus,"2023,2024,2025",3,373,106,0.533,0.4609,0.6382,0.1773,0.1015,0.0357,0.1853,stable_positive_lift,,
,plus_10_plus,team_won,"2023,2024,2025",3,2123,651,0.5991,0.5929,0.6054,0.0125,0.0998,0.0949,0.1054,stable_positive_lift,team_quality,team_strength_gap_bucket
,yes,team_runs_5plus,"2023,2024,2025",3,1569,453,0.5282,0.5019,0.5572,0.0553,0.0966,0.0767,0.1088,stable_positive_lift,combo_tags,tag_weak_leader_fade_watch
