combo,feature_value,outcome,seasons_seen,season_count,total_count,min_season_count,avg_rate,min_rate,max_rate,rate_range,avg_lift,min_lift,max_lift,stability_label,family,feature
team_strength_bucket+opponent_strength_bucket,lt_40__50_55,team_won,"2023,2024,2025",3,373,106,0.3588,0.3289,0.4174,0.0885,-0.1405,-0.1711,-0.0806,stable_negative_lift,,
team_strength_bucket+opponent_strength_bucket,lt_40__50_55,team_runs_5plus,"2023,2024,2025",3,373,106,0.3122,0.287,0.3289,0.0419,-0.1193,-0.1382,-0.0958,stable_negative_lift,,
,lt_40,team_won,"2023,2024,2025",3,1224,341,0.3844,0.3753,0.39,0.0147,-0.1149,-0.1227,-0.11,stable_negative_lift,team_quality,team_strength_bucket
team_strength_bucket+opponent_strength_bucket,lt_40__50_55,team_runs_4plus,"2023,2024,2025",3,373,106,0.4434,0.3913,0.4717,0.0804,-0.1146,-0.1587,-0.0776,stable_negative_lift,,
,minus_10_or_worse,team_won,"2023,2024,2025",3,2123,651,0.3981,0.3946,0.4009,0.0063,-0.1012,-0.1054,-0.0991,stable_negative_lift,team_quality,team_strength_gap_bucket
l10_rpg_bucket+opponent_starter_xfip_bucket,mid_3_5_4_5__excellent_lt_3_75,team_runs_4plus,"2023,2024,2025",3,812,244,0.4621,0.4385,0.4816,0.0431,-0.0958,-0.136,-0.0677,stable_negative_lift,,
l10_rpg_bucket+opponent_strength_bucket,mid_3_5_4_5__55_60,team_won,"2023,2024,2025",3,743,223,0.4072,0.3922,0.4167,0.0245,-0.0922,-0.1078,-0.0813,stable_negative_lift,,
l10_rpg_bucket+opponent_starter_xfip_bucket,mid_3_5_4_5__excellent_lt_3_75,team_won,"2023,2024,2025",3,812,244,0.4098,0.3975,0.4265,0.029,-0.0895,-0.1025,-0.0735,stable_negative_lift,,
,lt_40,team_runs_5plus,"2023,2024,2025",3,1224,341,0.3445,0.3314,0.3565,0.0251,-0.0871,-0.0964,-0.0797,stable_negative_lift,team_quality,team_strength_bucket
,lt_40,team_runs_4plus,"2023,2024,2025",3,1224,341,0.4725,0.4663,0.4843,0.018,-0.0855,-0.0902,-0.083,stable_negative_lift,team_quality,team_strength_bucket
