family,feature,feature_value,outcome,seasons_seen,season_count,total_count,min_season_count,avg_rate,min_rate,max_rate,rate_range,avg_lift,min_lift,max_lift,stability_label
team_quality,team_context_confidence,unknown,f5_total_4plus,"2023,2024,2025",3,15012,4942,0.626,0.6211,0.6342,0.0131,0.0,0.0,0.0,mixed_or_noisy
team_quality,team_context_confidence,unknown,f5_total_5plus,"2023,2024,2025",3,15012,4942,0.5064,0.4925,0.531,0.0385,0.0,0.0,0.0,mixed_or_noisy
team_quality,team_context_confidence,unknown,game_total_10plus,"2023,2024,2025",3,15012,4942,0.3991,0.3805,0.4257,0.0452,0.0,0.0,0.0,mixed_or_noisy
team_quality,team_context_confidence,unknown,game_total_9plus,"2023,2024,2025",3,15012,4942,0.4984,0.4853,0.5237,0.0384,0.0,0.0,0.0,mixed_or_noisy
team_quality,team_context_confidence,unknown,opponent_blew_early_small_lead,"2023,2024,2025",3,15012,4942,0.2809,0.2697,0.2877,0.018,0.0,0.0,0.0,mixed_or_noisy
team_quality,team_context_confidence,unknown,opponent_runs_4plus,"2023,2024,2025",3,15012,4942,0.5579,0.5493,0.5745,0.0252,0.0,0.0,0.0,mixed_or_noisy
team_quality,team_context_confidence,unknown,opponent_runs_5plus,"2023,2024,2025",3,15012,4942,0.4316,0.4166,0.4529,0.0363,0.0,0.0,0.0,mixed_or_noisy
team_quality,team_context_confidence,unknown,team_early_deficit_scored_next2,"2023,2024,2025",3,15012,4942,0.3248,0.3148,0.3316,0.0168,0.0,0.0,0.0,mixed_or_noisy
team_quality,team_context_confidence,unknown,team_early_deficit_tied_or_led_later,"2023,2024,2025",3,15012,4942,0.2809,0.2697,0.2877,0.018,0.0,0.0,0.0,mixed_or_noisy
team_quality,team_context_confidence,unknown,team_f5_runs_2plus,"2023,2024,2025",3,15012,4942,0.5831,0.5754,0.5945,0.0191,0.0,0.0,0.0,mixed_or_noisy
team_quality,team_context_confidence,unknown,team_post5_runs_2plus,"2023,2024,2025",3,15012,4942,0.481,0.4701,0.4955,0.0254,0.0,0.0,0.0,mixed_or_noisy
team_quality,team_context_confidence,unknown,team_runs_4plus,"2023,2024,2025",3,15012,4942,0.5579,0.5493,0.5745,0.0252,0.0,0.0,0.0,mixed_or_noisy
team_quality,team_context_confidence,unknown,team_runs_5plus,"2023,2024,2025",3,15012,4942,0.4316,0.4166,0.4529,0.0363,0.0,0.0,0.0,mixed_or_noisy
team_quality,team_context_confidence,unknown,team_trailed_early_1to3,"2023,2024,2025",3,15012,4942,0.4881,0.4826,0.4927,0.0101,0.0,0.0,0.0,mixed_or_noisy
team_quality,team_context_confidence,unknown,team_won,"2023,2024,2025",3,15012,4942,0.4993,0.498,0.5,0.002,0.0,0.0,0.0,mixed_or_noisy
