season,family,feature,feature_value,outcome,count,feature_rate,baseline_rate,lift
2023,team_quality,home_away,away,f5_total_4plus,2471,0.6342,0.6342,0.0
2024,team_quality,home_away,away,f5_total_4plus,2560,0.6211,0.6211,0.0
2025,team_quality,home_away,away,f5_total_4plus,2475,0.6226,0.6226,0.0
2023,team_quality,home_away,away,f5_total_5plus,2471,0.531,0.531,0.0
2024,team_quality,home_away,away,f5_total_5plus,2560,0.4957,0.4957,0.0
2025,team_quality,home_away,away,f5_total_5plus,2475,0.4925,0.4925,0.0
2023,team_quality,home_away,away,game_total_10plus,2471,0.4257,0.4257,0.0
2024,team_quality,home_away,away,game_total_10plus,2560,0.3805,0.3805,0.0
2025,team_quality,home_away,away,game_total_10plus,2475,0.3911,0.3911,0.0
2023,team_quality,home_away,away,game_total_9plus,2471,0.5237,0.5237,0.0
2024,team_quality,home_away,away,game_total_9plus,2560,0.4863,0.4863,0.0
2025,team_quality,home_away,away,game_total_9plus,2475,0.4853,0.4853,0.0
2023,team_quality,home_away,away,opponent_blew_early_small_lead,2471,0.2578,0.2853,-0.0275
2024,team_quality,home_away,away,opponent_blew_early_small_lead,2560,0.243,0.2697,-0.0267
2025,team_quality,home_away,away,opponent_blew_early_small_lead,2475,0.2634,0.2877,-0.0243
2023,team_quality,home_away,away,opponent_runs_4plus,2471,0.573,0.5745,-0.0015
2024,team_quality,home_away,away,opponent_runs_4plus,2560,0.5543,0.55,0.0043
2025,team_quality,home_away,away,opponent_runs_4plus,2475,0.5754,0.5493,0.0261
2023,team_quality,home_away,away,opponent_runs_5plus,2471,0.4492,0.4529,-0.0037
2024,team_quality,home_away,away,opponent_runs_5plus,2560,0.4215,0.4252,-0.0037
2025,team_quality,home_away,away,opponent_runs_5plus,2475,0.4331,0.4166,0.0165
2023,team_quality,home_away,away,team_early_deficit_scored_next2,2471,0.2829,0.3316,-0.0487
2024,team_quality,home_away,away,team_early_deficit_scored_next2,2560,0.2797,0.3148,-0.0351
2025,team_quality,home_away,away,team_early_deficit_scored_next2,2475,0.2885,0.3279,-0.0394
2023,team_quality,home_away,away,team_early_deficit_tied_or_led_later,2471,0.2578,0.2853,-0.0275
2024,team_quality,home_away,away,team_early_deficit_tied_or_led_later,2560,0.243,0.2697,-0.0267
2025,team_quality,home_away,away,team_early_deficit_tied_or_led_later,2475,0.2634,0.2877,-0.0243
2023,team_quality,home_away,away,team_f5_runs_2plus,2471,0.5828,0.5945,-0.0117
2024,team_quality,home_away,away,team_f5_runs_2plus,2560,0.566,0.5795,-0.0135
2025,team_quality,home_away,away,team_f5_runs_2plus,2475,0.5499,0.5754,-0.0255
2023,team_quality,home_away,away,team_post5_runs_2plus,2471,0.5249,0.4955,0.0294
2024,team_quality,home_away,away,team_post5_runs_2plus,2560,0.491,0.4773,0.0137
2025,team_quality,home_away,away,team_post5_runs_2plus,2475,0.4824,0.4701,0.0123
2023,team_quality,home_away,away,team_runs_4plus,2471,0.5759,0.5745,0.0014
2024,team_quality,home_away,away,team_runs_4plus,2560,0.5457,0.55,-0.0043
2025,team_quality,home_away,away,team_runs_4plus,2475,0.5232,0.5493,-0.0261
2023,team_quality,home_away,away,team_runs_5plus,2471,0.4565,0.4529,0.0036
2024,team_quality,home_away,away,team_runs_5plus,2560,0.4289,0.4252,0.0037
2025,team_quality,home_away,away,team_runs_5plus,2475,0.4,0.4166,-0.0166
2023,team_quality,home_away,away,team_trailed_early_1to3,2471,0.4707,0.4889,-0.0182
2024,team_quality,home_away,away,team_trailed_early_1to3,2560,0.4645,0.4826,-0.0181
2025,team_quality,home_away,away,team_trailed_early_1to3,2475,0.4869,0.4927,-0.0058
2023,team_quality,home_away,away,team_won,2471,0.4816,0.5,-0.0184
2024,team_quality,home_away,away,team_won,2560,0.4766,0.498,-0.0214
2025,team_quality,home_away,away,team_won,2475,0.4566,0.5,-0.0434
2023,team_quality,home_away,home,f5_total_4plus,2471,0.6342,0.6342,0.0
2024,team_quality,home_away,home,f5_total_4plus,2560,0.6211,0.6211,0.0
2025,team_quality,home_away,home,f5_total_4plus,2475,0.6226,0.6226,0.0
2023,team_quality,home_away,home,f5_total_5plus,2471,0.531,0.531,0.0
2024,team_quality,home_away,home,f5_total_5plus,2560,0.4957,0.4957,0.0
2025,team_quality,home_away,home,f5_total_5plus,2475,0.4925,0.4925,0.0
2023,team_quality,home_away,home,game_total_10plus,2471,0.4257,0.4257,0.0
2024,team_quality,home_away,home,game_total_10plus,2560,0.3805,0.3805,0.0
2025,team_quality,home_away,home,game_total_10plus,2475,0.3911,0.3911,0.0
2023,team_quality,home_away,home,game_total_9plus,2471,0.5237,0.5237,0.0
2024,team_quality,home_away,home,game_total_9plus,2560,0.4863,0.4863,0.0
2025,team_quality,home_away,home,game_total_9plus,2475,0.4853,0.4853,0.0
2023,team_quality,home_away,home,opponent_blew_early_small_lead,2471,0.3128,0.2853,0.0275
2024,team_quality,home_away,home,opponent_blew_early_small_lead,2560,0.2965,0.2697,0.0268
2025,team_quality,home_away,home,opponent_blew_early_small_lead,2475,0.3119,0.2877,0.0242
2023,team_quality,home_away,home,opponent_runs_4plus,2471,0.5759,0.5745,0.0014
2024,team_quality,home_away,home,opponent_runs_4plus,2560,0.5457,0.55,-0.0043
2025,team_quality,home_away,home,opponent_runs_4plus,2475,0.5232,0.5493,-0.0261
2023,team_quality,home_away,home,opponent_runs_5plus,2471,0.4565,0.4529,0.0036
