family,feature,feature_value,outcome,seasons_seen,season_count,total_count,min_season_count,avg_rate,min_rate,max_rate,rate_range,avg_lift,min_lift,max_lift,stability_label
team_quality,home_away,home,team_early_deficit_scored_next2,"2023,2024,2025",3,7506,2471,0.3659,0.35,0.3804,0.0304,0.0411,0.0352,0.0488,stable_positive_lift
combo_tags,tag_home_scoring_spot,yes,team_early_deficit_scored_next2,"2023,2024,2025",3,3693,1193,0.3658,0.352,0.3842,0.0322,0.0411,0.0334,0.0526,stable_positive_lift
combo_tags,tag_home_scoring_spot,yes,team_won,"2023,2024,2025",3,3693,1193,0.5418,0.5343,0.5566,0.0223,0.0425,0.0345,0.0566,stable_positive_lift
starter_quality,opponent_starter_xfip_bucket,very_bad_5_25_plus,team_f5_runs_2plus,"2023,2024,2025",3,3240,884,0.6313,0.6219,0.6375,0.0156,0.0482,0.043,0.0551,stable_positive_lift
opponent_vulnerability,opponent_l10_allowed5_rate_bucket,high_60_75,team_runs_4plus,"2023,2024,2025",3,3134,915,0.6022,0.5841,0.6193,0.0352,0.0443,0.0341,0.054,stable_positive_lift
opponent_vulnerability,opponent_l10_allowed5_rate_bucket,high_60_75,team_runs_5plus,"2023,2024,2025",3,3134,915,0.4734,0.4674,0.484,0.0166,0.0419,0.0311,0.0523,stable_positive_lift
starter_quality,opponent_starter_kbb_bucket,weak_lt_8,team_f5_runs_2plus,"2023,2024,2025",3,3000,919,0.6307,0.6083,0.6577,0.0494,0.0476,0.0288,0.0632,stable_positive_lift
starter_quality,opponent_starter_kbb_bucket,weak_lt_8,team_runs_4plus,"2023,2024,2025",3,3000,919,0.6061,0.5855,0.6233,0.0378,0.0481,0.0362,0.0594,stable_positive_lift
starter_quality,opponent_starter_kbb_bucket,weak_lt_8,team_runs_5plus,"2023,2024,2025",3,3000,919,0.4772,0.4425,0.5048,0.0623,0.0456,0.0259,0.059,stable_positive_lift
team_quality,opponent_strength_bucket,55_60,opponent_runs_5plus,"2023,2024,2025",3,2220,668,0.4732,0.4306,0.5135,0.0829,0.0416,0.014,0.0606,stable_positive_lift
team_quality,team_strength_bucket,55_60,team_runs_5plus,"2023,2024,2025",3,2220,668,0.4732,0.4306,0.5135,0.0829,0.0416,0.014,0.0606,stable_positive_lift
team_quality,team_strength_bucket,55_60,team_won,"2023,2024,2025",3,2220,668,0.5484,0.5411,0.5614,0.0203,0.049,0.0411,0.0614,stable_positive_lift
