season,combo,feature_value,outcome,count,feature_rate,baseline_rate,lift
2023,home_away+l10_rpg_bucket,away__high_4_5_5_5,f5_total_4plus,805,0.6075,0.6342,-0.0267
2024,home_away+l10_rpg_bucket,away__high_4_5_5_5,f5_total_4plus,750,0.596,0.6211,-0.0251
2025,home_away+l10_rpg_bucket,away__high_4_5_5_5,f5_total_4plus,725,0.6193,0.6226,-0.0033
2023,home_away+l10_rpg_bucket,away__high_4_5_5_5,f5_total_5plus,805,0.5093,0.531,-0.0217
2024,home_away+l10_rpg_bucket,away__high_4_5_5_5,f5_total_5plus,750,0.4693,0.4957,-0.0264
2025,home_away+l10_rpg_bucket,away__high_4_5_5_5,f5_total_5plus,725,0.4938,0.4925,0.0013
2023,home_away+l10_rpg_bucket,away__high_4_5_5_5,game_total_10plus,805,0.4174,0.4257,-0.0083
2024,home_away+l10_rpg_bucket,away__high_4_5_5_5,game_total_10plus,750,0.348,0.3805,-0.0325
2025,home_away+l10_rpg_bucket,away__high_4_5_5_5,game_total_10plus,725,0.4124,0.3911,0.0213
2023,home_away+l10_rpg_bucket,away__high_4_5_5_5,game_total_9plus,805,0.5081,0.5237,-0.0156
2024,home_away+l10_rpg_bucket,away__high_4_5_5_5,game_total_9plus,750,0.4493,0.4863,-0.037
2025,home_away+l10_rpg_bucket,away__high_4_5_5_5,game_total_9plus,725,0.5145,0.4853,0.0292
2023,home_away+l10_rpg_bucket,away__high_4_5_5_5,opponent_blew_early_small_lead,805,0.2509,0.2853,-0.0344
2024,home_away+l10_rpg_bucket,away__high_4_5_5_5,opponent_blew_early_small_lead,750,0.244,0.2697,-0.0257
2025,home_away+l10_rpg_bucket,away__high_4_5_5_5,opponent_blew_early_small_lead,725,0.2828,0.2877,-0.0049
2023,home_away+l10_rpg_bucket,away__high_4_5_5_5,opponent_runs_4plus,805,0.5391,0.5745,-0.0354
2024,home_away+l10_rpg_bucket,away__high_4_5_5_5,opponent_runs_4plus,750,0.5373,0.55,-0.0127
2025,home_away+l10_rpg_bucket,away__high_4_5_5_5,opponent_runs_4plus,725,0.5724,0.5493,0.0231
2023,home_away+l10_rpg_bucket,away__high_4_5_5_5,opponent_runs_5plus,805,0.4236,0.4529,-0.0293
2024,home_away+l10_rpg_bucket,away__high_4_5_5_5,opponent_runs_5plus,750,0.4093,0.4252,-0.0159
2025,home_away+l10_rpg_bucket,away__high_4_5_5_5,opponent_runs_5plus,725,0.4455,0.4166,0.0289
2023,home_away+l10_rpg_bucket,away__high_4_5_5_5,team_early_deficit_scored_next2,805,0.2584,0.3316,-0.0732
2024,home_away+l10_rpg_bucket,away__high_4_5_5_5,team_early_deficit_scored_next2,750,0.2733,0.3148,-0.0415
2025,home_away+l10_rpg_bucket,away__high_4_5_5_5,team_early_deficit_scored_next2,725,0.2993,0.3279,-0.0286
2023,home_away+l10_rpg_bucket,away__high_4_5_5_5,team_early_deficit_tied_or_led_later,805,0.2509,0.2853,-0.0344
2024,home_away+l10_rpg_bucket,away__high_4_5_5_5,team_early_deficit_tied_or_led_later,750,0.244,0.2697,-0.0257
2025,home_away+l10_rpg_bucket,away__high_4_5_5_5,team_early_deficit_tied_or_led_later,725,0.2828,0.2877,-0.0049
2023,home_away+l10_rpg_bucket,away__high_4_5_5_5,team_f5_runs_2plus,805,0.5789,0.5945,-0.0156
2024,home_away+l10_rpg_bucket,away__high_4_5_5_5,team_f5_runs_2plus,750,0.5267,0.5795,-0.0528
2025,home_away+l10_rpg_bucket,away__high_4_5_5_5,team_f5_runs_2plus,725,0.5572,0.5754,-0.0182
2023,home_away+l10_rpg_bucket,away__high_4_5_5_5,team_post5_runs_2plus,805,0.5354,0.4955,0.0399
2024,home_away+l10_rpg_bucket,away__high_4_5_5_5,team_post5_runs_2plus,750,0.4747,0.4773,-0.0026
2025,home_away+l10_rpg_bucket,away__high_4_5_5_5,team_post5_runs_2plus,725,0.5131,0.4701,0.043
2023,home_away+l10_rpg_bucket,away__high_4_5_5_5,team_runs_4plus,805,0.5975,0.5745,0.023
2024,home_away+l10_rpg_bucket,away__high_4_5_5_5,team_runs_4plus,750,0.5187,0.55,-0.0313
2025,home_away+l10_rpg_bucket,away__high_4_5_5_5,team_runs_4plus,725,0.5628,0.5493,0.0135
2023,home_away+l10_rpg_bucket,away__high_4_5_5_5,team_runs_5plus,805,0.4609,0.4529,0.008
2024,home_away+l10_rpg_bucket,away__high_4_5_5_5,team_runs_5plus,750,0.3907,0.4252,-0.0345
