combo,feature_value,outcome,seasons_seen,season_count,total_count,min_season_count,avg_rate,min_rate,max_rate,rate_range,avg_lift,min_lift,max_lift,stability_label
home_away+opponent_strength_bucket,home__50_55,team_early_deficit_scored_next2,"2023,2024,2025",3,2526,755,0.3712,0.3629,0.3815,0.0186,0.0464,0.0376,0.0536,stable_positive_lift
home_away+l10_rpg_bucket,home__very_high_5_5_plus,team_early_deficit_scored_next2,"2023,2024,2025",3,1429,425,0.3716,0.3544,0.3906,0.0362,0.0468,0.0265,0.0758,stable_positive_lift
home_away+l10_rpg_bucket,home__very_high_5_5_plus,team_won,"2023,2024,2025",3,1429,425,0.557,0.5365,0.5759,0.0394,0.0576,0.0385,0.0759,stable_positive_lift
home_away+l10_rpg_bucket,away__very_high_5_5_plus,game_total_9plus,"2023,2024,2025",3,1426,441,0.5431,0.5336,0.5492,0.0156,0.0447,0.0255,0.0602,stable_positive_lift
home_away+l10_rpg_bucket,away__very_high_5_5_plus,team_post5_runs_2plus,"2023,2024,2025",3,1426,441,0.5254,0.5045,0.5455,0.041,0.0444,0.0344,0.05,stable_positive_lift
home_away+l10_rpg_bucket,home__low_lt_3_5,opponent_blew_early_small_lead,"2023,2024,2025",3,1316,354,0.3263,0.315,0.3362,0.0212,0.0454,0.0273,0.058,stable_positive_lift
home_away+l10_rpg_bucket,home__low_lt_3_5,team_early_deficit_scored_next2,"2023,2024,2025",3,1316,354,0.3816,0.3745,0.3862,0.0117,0.0569,0.0526,0.0597,stable_positive_lift
home_away+l10_rpg_bucket,home__low_lt_3_5,team_early_deficit_tied_or_led_later,"2023,2024,2025",3,1316,354,0.3263,0.315,0.3362,0.0212,0.0454,0.0273,0.058,stable_positive_lift
home_away+l10_rpg_bucket,home__low_lt_3_5,team_trailed_early_1to3,"2023,2024,2025",3,1316,354,0.5308,0.5244,0.534,0.0096,0.0427,0.0317,0.0514,stable_positive_lift
home_away+l10_rpg_bucket,away__low_lt_3_5,opponent_runs_4plus,"2023,2024,2025",3,1279,338,0.6035,0.5792,0.6479,0.0687,0.0456,0.0299,0.0734,stable_positive_lift
home_away+l10_rpg_bucket,away__low_lt_3_5,opponent_runs_5plus,"2023,2024,2025",3,1279,338,0.4765,0.4599,0.503,0.0431,0.045,0.0347,0.0501,stable_positive_lift
home_away+opponent_strength_bucket,home__55_60,team_early_deficit_scored_next2,"2023,2024,2025",3,1099,325,0.3691,0.3523,0.3969,0.0446,0.0444,0.0303,0.0653,stable_positive_lift
