season,game_pk,game_date,game_id,team,opponent,home_away,model_version,side_score,side_fade_score,side_pick,team_runs_4plus_score,team_runs_5plus_no_score,team_f5_runs_2plus_score,full_total_avoid_score,full_game_over_score,live_watch_score,avoid_score,top_positive_reasons,top_negative_reasons,bo_bucket,bd_bucket,bo_plus_weak_bd_tag,avoid_low_bo_strong_bd_tag,actual_team_won,actual_team_runs_4plus,actual_team_runs_5plus,actual_team_f5_runs_2plus,actual_game_total_9plus,actual_lw_tied_or_led,validation_mode
2025,777887,2025-05-17,COL@AZ,COL,AZ,away,ff_only,0.0,0.7206,fade,0.0,0.5844,0.0,0.0,0.0,0.0,0.6045,,[team_won] team_strength_bucket+opponent_strength_bucket=lt_40__50_55(-0.126) | [team_won] team_strength_bucket=lt_40(-0.117) | [team_runs_4plus] team_strength_bucket+opponent_strength_bucket=lt_40__50_55(-0.133) | [team_runs_4plus] team_strength_bucket=lt_40(-0.087) | [team_runs_5plus] team_strength_bucket+opponent_strength_bucket=lt_40__50_55(-0.131),very_low_lt_85,very_low_lt_85,no,no,1,1,1,1,1,1,chronological_2023+2024_to_2025
2025,776486,2025-09-02,SF@COL,COL,SF,home,ff_only,0.0,0.6415,fade,0.0,0.6573,0.0,0.0851,0.0,0.0637,0.5981,[team_early_deficit_tied_or_led_later] home_away+l10_rpg_bucket=home__low_lt_3_5(+0.054) | [team_early_deficit_tied_or_led_later] l10_scored4_rate_bucket+opponent_l10_allowed4_rate_bucket=below_avg_30_45__below_avg_30_45(+0.054) | [team_early_deficit_scored_next2] home_away+l10_rpg_bucket=home__low_lt_3_5(+0.056) | [team_early_deficit_scored_next2] l10_scored4_rate_bucket+opponent_l10_allowed4_rate_bucket=below_avg_30_45__below_avg_30_45(+0.049) | [opponent_blew_early_small_lead] home_away+l10_rpg_bucket=home__low_lt_3_5(+0.054),[team_won] team_strength_bucket+opponent_strength_bucket=lt_40__50_55(-0.126) | [team_won] team_strength_bucket=lt_40(-0.117) | [team_runs_4plus] team_strength_bucket+opponent_strength_bucket=lt_40__50_55(-0.133) | [team_runs_4plus] team_strength_bucket=lt_40(-0.087) | [team_runs_5plus] team_strength_bucket+opponent_strength_bucket=lt_40__50_55(-0.131),very_low_lt_85,very_low_lt_85,no,yes,0,1,0,1,1,0,chronological_2023+2024_to_2025
2025,777718,2025-05-30,COL@NYM,COL,NYM,away,ff_only,0.0,0.8454,fade,0.0,0.5325,0.0,0.0851,0.0,0.0543,0.5817,[team_early_deficit_tied_or_led_later] l10_scored4_rate_bucket+opponent_l10_allowed4_rate_bucket=below_avg_30_45__below_avg_30_45(+0.054) | [opponent_blew_early_small_lead] l10_scored4_rate_bucket+opponent_l10_allowed4_rate_bucket=below_avg_30_45__below_avg_30_45(+0.054),[team_won] team_strength_bucket=lt_40(-0.117) | [team_won] team_strength_gap_bucket=minus_10_or_worse(-0.102) | [team_runs_4plus] team_strength_bucket=lt_40(-0.087) | [team_runs_4plus] team_strength_gap_bucket=minus_10_or_worse(-0.078) | [team_runs_5plus] team_strength_bucket=lt_40(-0.088),very_low_lt_85,low_85_95,no,yes,0,0,0,0,0,0,chronological_2023+2024_to_2025
2025,778474,2025-04-02,MIN@CWS,MIN,CWS,away,ff_only,0.0,0.7651,fade,0.0,0.5336,0.0,0.0,0.0401,0.0,0.5775,[game_total_9plus] opponent_starter_xfip_bucket=very_bad_5_25_plus(+0.040),[team_won] team_strength_bucket+opponent_strength_bucket=lt_40__50_55(-0.126) | [team_won] team_strength_bucket=lt_40(-0.117) | [team_runs_4plus] team_strength_bucket+opponent_strength_bucket=lt_40__50_55(-0.133) | [team_runs_4plus] team_strength_bucket=lt_40(-0.087) | [team_runs_5plus] team_strength_bucket+opponent_strength_bucket=lt_40__50_55(-0.131),very_low_lt_85,very_low_lt_85,no,yes,1,1,1,1,0,0,chronological_2023+2024_to_2025
2025,778406,2025-04-08,PHI@ATL,ATL,PHI,home,ff_only,0.0,0.6856,fade,0.0,0.5223,0.0,0.0851,0.0,0.1087,0.5675,[f5_total_4plus] opponent_strength_bucket=60_plus(+0.066) | [team_early_deficit_tied_or_led_later] home_away+l10_rpg_bucket=home__low_lt_3_5(+0.054) | [team_early_deficit_tied_or_led_later] l10_scored4_rate_bucket+opponent_l10_allowed4_rate_bucket=below_avg_30_45__below_avg_30_45(+0.054) | [team_early_deficit_scored_next2] home_away+l10_rpg_bucket=home__low_lt_3_5(+0.056) | [team_early_deficit_scored_next2] home_away+opponent_strength_bucket=home__60_plus(+0.051),[team_won] team_strength_bucket=lt_40(-0.117) | [team_won] team_strength_gap_bucket=minus_10_or_worse(-0.102) | [team_runs_4plus] team_strength_bucket=lt_40(-0.087) | [team_runs_4plus] team_strength_gap_bucket=minus_10_or_worse(-0.078) | [team_runs_5plus] team_strength_bucket=lt_40(-0.088),very_low_lt_85,low_85_95,no,yes,1,1,1,1,1,1,chronological_2023+2024_to_2025
2025,777669,2025-06-02,MIN@ATH,ATH,MIN,home,ff_only,0.0,0.5905,fade,0.0,0.617,0.0,0.1156,0.0,0.0,0.5671,[team_early_deficit_scored_next2] home_away+opponent_strength_bucket=home__50_55(+0.043) | [team_early_deficit_scored_next2] home_away=home(+0.042),[team_won] team_strength_bucket+opponent_strength_bucket=lt_40__50_55(-0.126) | [team_won] team_strength_bucket=lt_40(-0.117) | [team_runs_4plus] team_strength_bucket+opponent_strength_bucket=lt_40__50_55(-0.133) | [team_runs_4plus] l10_rpg_bucket+opponent_starter_xfip_bucket=mid_3_5_4_5__excellent_lt_3_75(-0.110) | [team_runs_5plus] team_strength_bucket+opponent_strength_bucket=lt_40__50_55(-0.131),high_105_115,very_low_lt_85,yes,no,0,1,0,1,1,0,chronological_2023+2024_to_2025
2025,776137,2025-09-28,COL@SF,COL,SF,away,ff_only,0.0,0.6972,fade,0.0,0.6134,0.0,0.0851,0.0,0.0,0.5563,,[team_won] team_strength_bucket+opponent_strength_bucket=lt_40__50_55(-0.126) | [team_won] team_strength_bucket=lt_40(-0.117) | [team_runs_4plus] team_strength_bucket+opponent_strength_bucket=lt_40__50_55(-0.133) | [team_runs_4plus] team_strength_bucket=lt_40(-0.087) | [team_runs_5plus] team_strength_bucket+opponent_strength_bucket=lt_40__50_55(-0.131),very_low_lt_85,very_low_lt_85,no,yes,0,0,0,0,0,0,chronological_2023+2024_to_2025
2025,777744,2025-05-27,PIT@AZ,PIT,AZ,away,ff_only,0.0,0.627,fade,0.0,0.5889,0.0,0.0,0.0,0.0,0.5371,,[team_won] team_strength_bucket+opponent_strength_bucket=lt_40__50_55(-0.126) | [team_won] team_strength_bucket=lt_40(-0.117) | [team_runs_4plus] team_strength_bucket+opponent_strength_bucket=lt_40__50_55(-0.133) | [team_runs_4plus] team_strength_bucket=lt_40(-0.087) | [team_runs_5plus] team_strength_bucket+opponent_strength_bucket=lt_40__50_55(-0.131),very_low_lt_85,low_85_95,no,no,1,1,1,0,1,1,chronological_2023+2024_to_2025
2025,777804,2025-05-23,PHI@ATH,ATH,PHI,home,ff_only,0.0,0.6386,fade,0.0,0.5286,0.0,0.1574,0.0,0.0543,0.5339,[team_early_deficit_tied_or_led_later] l10_scored4_rate_bucket+opponent_l10_allowed4_rate_bucket=below_avg_30_45__below_avg_30_45(+0.054) | [team_early_deficit_scored_next2] l10_rpg_bucket+opponent_strength_bucket=mid_3_5_4_5__55_60(+0.055) | [team_early_deficit_scored_next2] home_away+opponent_strength_bucket=home__55_60(+0.051) | [opponent_blew_early_small_lead] l10_scored4_rate_bucket+opponent_l10_allowed4_rate_bucket=below_avg_30_45__below_avg_30_45(+0.054),[team_won] team_strength_gap_bucket=minus_10_or_worse(-0.102) | [team_won] l10_rpg_bucket+opponent_starter_xfip_bucket=mid_3_5_4_5__excellent_lt_3_75(-0.098) | [team_runs_4plus] l10_rpg_bucket+opponent_starter_xfip_bucket=mid_3_5_4_5__excellent_lt_3_75(-0.110) | [team_runs_4plus] team_strength_gap_bucket=minus_10_or_worse(-0.078) | [team_runs_5plus] l10_rpg_bucket+opponent_starter_xfip_bucket=mid_3_5_4_5__excellent_lt_3_75(-0.085),low_85_95,very_low_lt_85,no,yes,0,0,0,0,0,0,chronological_2023+2024_to_2025
2025,777852,2025-05-19,PHI@COL,COL,PHI,home,ff_only,0.0,0.6671,fade,0.0,0.5232,0.0,0.1574,0.0,0.0543,0.5276,[team_early_deficit_tied_or_led_later] l10_scored4_rate_bucket+opponent_l10_allowed4_rate_bucket=below_avg_30_45__below_avg_30_45(+0.054) | [team_early_deficit_scored_next2] l10_rpg_bucket+opponent_strength_bucket=mid_3_5_4_5__55_60(+0.055) | [team_early_deficit_scored_next2] home_away+opponent_strength_bucket=home__55_60(+0.051) | [opponent_blew_early_small_lead] l10_scored4_rate_bucket+opponent_l10_allowed4_rate_bucket=below_avg_30_45__below_avg_30_45(+0.054),[team_won] team_strength_bucket=lt_40(-0.117) | [team_won] team_strength_gap_bucket=minus_10_or_worse(-0.102) | [team_runs_4plus] l10_rpg_bucket+opponent_starter_xfip_bucket=mid_3_5_4_5__excellent_lt_3_75(-0.110) | [team_runs_4plus] team_strength_bucket=lt_40(-0.087) | [team_runs_5plus] team_strength_bucket=lt_40(-0.088),very_low_lt_85,very_low_lt_85,no,yes,0,0,0,1,1,0,chronological_2023+2024_to_2025
