mode,threshold,picks,correct,success_rate,home_pick_rate,avg_net_score,prior_baseline,beats_prior,model_version
loo_test_2023,0.04,2101,1166,0.555,0.623,0.3538,,,ff_only
loo_test_2023,0.06,1966,1095,0.557,0.6251,0.374,,,ff_only
loo_test_2023,0.08,1882,1048,0.5569,0.6265,0.3869,,,ff_only
loo_test_2023,0.1,1749,984,0.5626,0.6272,0.4084,,,ff_only
loo_test_2023,0.12,1659,934,0.563,0.6323,0.424,,,ff_only
loo_test_2023,0.15,1544,872,0.5648,0.6289,0.4447,,,ff_only
loo_test_2023,0.2,1367,776,0.5677,0.6233,0.479,0.579,False,ff_only
loo_test_2024,0.04,1839,1035,0.5628,0.6558,0.2978,,,ff_only
loo_test_2024,0.06,1614,921,0.5706,0.6524,0.3321,,,ff_only
loo_test_2024,0.08,1568,902,0.5753,0.655,0.3397,,,ff_only
loo_test_2024,0.1,1429,828,0.5794,0.6417,0.3636,,,ff_only
loo_test_2024,0.12,1334,778,0.5832,0.6522,0.3818,,,ff_only
loo_test_2024,0.15,1207,704,0.5833,0.6529,0.4074,,,ff_only
loo_test_2024,0.2,1010,599,0.5931,0.6495,0.4523,0.579,True,ff_only
loo_test_2025,0.04,1890,1017,0.5381,0.5593,0.3159,,,ff_only
loo_test_2025,0.06,1720,945,0.5494,0.5651,0.3419,,,ff_only
loo_test_2025,0.08,1647,905,0.5495,0.5756,0.3531,,,ff_only
loo_test_2025,0.1,1539,853,0.5543,0.5718,0.3712,,,ff_only
loo_test_2025,0.12,1432,801,0.5594,0.5873,0.3907,,,ff_only
loo_test_2025,0.15,1295,739,0.5707,0.5807,0.4169,,,ff_only
loo_test_2025,0.2,1070,619,0.5785,0.5822,0.4673,0.579,False,ff_only
chronological_2023+2024_to_2025,0.04,1890,1017,0.5381,0.5593,0.3159,,,ff_only
chronological_2023+2024_to_2025,0.06,1720,945,0.5494,0.5651,0.3419,,,ff_only
chronological_2023+2024_to_2025,0.08,1647,905,0.5495,0.5756,0.3531,,,ff_only
chronological_2023+2024_to_2025,0.1,1539,853,0.5543,0.5718,0.3712,,,ff_only
chronological_2023+2024_to_2025,0.12,1432,801,0.5594,0.5873,0.3907,,,ff_only
chronological_2023+2024_to_2025,0.15,1295,739,0.5707,0.5807,0.4169,,,ff_only
chronological_2023+2024_to_2025,0.2,1070,619,0.5785,0.5822,0.4673,0.579,False,ff_only
