season,game_pk,game_date,game_id,team,opponent,home_away,model_version,side_score,side_fade_score,side_pick,team_runs_4plus_score,team_runs_5plus_no_score,team_f5_runs_2plus_score,full_total_avoid_score,full_game_over_score,live_watch_score,avoid_score,top_positive_reasons,top_negative_reasons,bo_bucket,bd_bucket,bo_plus_weak_bd_tag,avoid_low_bo_strong_bd_tag,actual_team_won,actual_team_runs_4plus,actual_team_runs_5plus,actual_team_f5_runs_2plus,actual_game_total_9plus,actual_lw_tied_or_led,validation_mode
2025,778264,2025-04-19,CWS@BOS,BOS,CWS,home,ff_only,0.3439,0.0,lean,0.3466,0.0,0.3202,0.0,0.0469,0.2547,0.0,[team_won] home_away+opponent_strength_bucket=home__lt_40(+0.144) | [team_won] team_strength_bucket+opponent_strength_bucket=50_55__lt_40(+0.123) | [team_runs_4plus] team_strength_bucket+opponent_strength_bucket=50_55__lt_40(+0.106) | [team_runs_4plus] home_away+opponent_strength_bucket=home__lt_40(+0.105) | [team_runs_5plus] team_strength_bucket+opponent_strength_bucket=50_55__lt_40(+0.111),,very_low_lt_85,avg_95_105,no,no,1,1,0,1,0,0,chronological_2023+2024_to_2025
2025,777870,2025-05-18,COL@AZ,AZ,COL,home,ff_only,1.0195,0.0,lean,0.719,0.0,0.7556,0.0,0.1273,0.2468,0.0,[team_won] home_away+opponent_strength_bucket=home__lt_40(+0.144) | [team_won] team_strength_bucket+opponent_strength_bucket=50_55__lt_40(+0.123) | [team_runs_4plus] team_strength_bucket+opponent_strength_bucket=50_55__lt_40(+0.106) | [team_runs_4plus] home_away+opponent_strength_bucket=home__lt_40(+0.105) | [team_runs_5plus] team_strength_bucket+opponent_strength_bucket=50_55__lt_40(+0.111),[f5_total_4plus] offense_form_bucket+opponent_starter_ra9_bucket=55_60__very_bad_6_plus(-0.041),very_high_115_plus,very_low_lt_85,yes,no,1,0,0,0,0,0,chronological_2023+2024_to_2025
2025,778491,2025-04-01,WSN@TOR,TOR,WSN,home,ff_only,0.8582,0.0,lean,0.6029,0.0,0.5831,0.0,0.0,0.235,0.0,[team_won] l10_rpg_bucket+opponent_strength_bucket=high_4_5_5_5__lt_40(+0.149) | [team_won] home_away+opponent_strength_bucket=home__lt_40(+0.144) | [team_runs_4plus] l10_rpg_bucket+opponent_strength_bucket=high_4_5_5_5__lt_40(+0.130) | [team_runs_4plus] team_strength_bucket+opponent_strength_bucket=50_55__lt_40(+0.106) | [team_runs_5plus] team_strength_bucket+opponent_strength_bucket=50_55__lt_40(+0.111),,very_high_115_plus,very_high_115_plus,yes,no,1,1,1,1,0,0,chronological_2023+2024_to_2025
2025,777897,2025-05-16,COL@AZ,AZ,COL,home,ff_only,0.9181,0.0,lean,0.6849,0.0,0.5835,0.0,0.0649,0.235,0.0,[team_won] l10_rpg_bucket+opponent_strength_bucket=high_4_5_5_5__lt_40(+0.149) | [team_won] home_away+opponent_strength_bucket=home__lt_40(+0.144) | [team_runs_4plus] l10_rpg_bucket+opponent_strength_bucket=high_4_5_5_5__lt_40(+0.130) | [team_runs_4plus] team_strength_bucket+opponent_strength_bucket=50_55__lt_40(+0.106) | [team_runs_5plus] team_strength_bucket+opponent_strength_bucket=50_55__lt_40(+0.111),,high_105_115,very_low_lt_85,yes,no,1,1,1,1,0,0,chronological_2023+2024_to_2025
2025,777887,2025-05-17,COL@AZ,AZ,COL,home,ff_only,1.0798,0.0,lean,0.9507,0.0,0.7191,0.0,0.1536,0.235,0.0,[team_won] l10_rpg_bucket+opponent_strength_bucket=high_4_5_5_5__lt_40(+0.149) | [team_won] home_away+opponent_strength_bucket=home__lt_40(+0.144) | [team_runs_4plus] l10_rpg_bucket+opponent_strength_bucket=high_4_5_5_5__lt_40(+0.130) | [team_runs_4plus] team_strength_bucket+opponent_strength_bucket=50_55__lt_40(+0.106) | [team_runs_5plus] team_strength_bucket+opponent_strength_bucket=50_55__lt_40(+0.111),,very_high_115_plus,avg_95_105,yes,no,0,1,1,1,1,1,chronological_2023+2024_to_2025
2025,776146,2025-09-27,COL@SF,SF,COL,home,ff_only,0.8615,0.0,lean,0.7049,0.0,0.5643,0.0,0.0,0.235,0.0,[team_won] l10_rpg_bucket+opponent_strength_bucket=high_4_5_5_5__lt_40(+0.149) | [team_won] home_away+opponent_strength_bucket=home__lt_40(+0.144) | [team_runs_4plus] l10_rpg_bucket+opponent_strength_bucket=high_4_5_5_5__lt_40(+0.130) | [team_runs_4plus] team_strength_bucket+opponent_strength_bucket=50_55__lt_40(+0.106) | [team_runs_5plus] team_strength_bucket+opponent_strength_bucket=50_55__lt_40(+0.111),,very_high_115_plus,avg_95_105,yes,no,1,1,0,1,0,1,chronological_2023+2024_to_2025
2025,777339,2025-06-27,COL@MIL,MIL,COL,home,ff_only,0.9654,0.0,lean,0.7653,0.0,0.7295,0.0,0.1233,0.2011,0.0,[team_won] home_away+opponent_strength_bucket=home__lt_40(+0.144) | [team_won] team_strength_bucket+opponent_strength_bucket=50_55__lt_40(+0.123) | [team_runs_4plus] team_strength_bucket+opponent_strength_bucket=50_55__lt_40(+0.106) | [team_runs_4plus] home_away+opponent_strength_bucket=home__lt_40(+0.105) | [team_runs_5plus] team_strength_bucket+opponent_strength_bucket=50_55__lt_40(+0.111),,very_high_115_plus,low_85_95,yes,no,1,1,1,1,1,0,chronological_2023+2024_to_2025
2025,777196,2025-07-08,COL@BOS,BOS,COL,home,ff_only,0.9715,0.0,lean,0.8344,0.0,0.8097,0.0,0.1273,0.2011,0.0,[team_won] home_away+opponent_strength_bucket=home__lt_40(+0.144) | [team_won] team_strength_bucket+opponent_strength_bucket=50_55__lt_40(+0.123) | [team_runs_4plus] team_strength_bucket+opponent_strength_bucket=50_55__lt_40(+0.106) | [team_runs_4plus] home_away+opponent_strength_bucket=home__lt_40(+0.105) | [team_runs_5plus] team_strength_bucket+opponent_strength_bucket=50_55__lt_40(+0.111),,very_high_115_plus,avg_95_105,yes,no,1,1,1,0,1,0,chronological_2023+2024_to_2025
2025,778343,2025-04-13,PIT@CIN,CIN,PIT,home,ff_only,0.5409,0.0,lean,0.2975,0.0,0.3258,0.0,0.0,0.2004,0.0,[team_won] home_away+opponent_strength_bucket=home__lt_40(+0.144) | [team_won] team_strength_bucket+opponent_strength_bucket=50_55__lt_40(+0.123) | [team_runs_4plus] team_strength_bucket+opponent_strength_bucket=50_55__lt_40(+0.106) | [team_runs_4plus] home_away+opponent_strength_bucket=home__lt_40(+0.105) | [team_runs_5plus] team_strength_bucket+opponent_strength_bucket=50_55__lt_40(+0.111),,very_low_lt_85,very_high_115_plus,no,no,1,1,0,1,0,0,chronological_2023+2024_to_2025
2025,778302,2025-04-15,COL@LAD,LAD,COL,home,ff_only,0.4864,0.0,lean,0.3504,0.0,0.391,0.0,0.0216,0.2004,0.0,[team_won] home_away+opponent_strength_bucket=home__lt_40(+0.144) | [team_won] team_strength_bucket+opponent_strength_bucket=50_55__lt_40(+0.123) | [team_runs_4plus] team_strength_bucket+opponent_strength_bucket=50_55__lt_40(+0.106) | [team_runs_4plus] home_away+opponent_strength_bucket=home__lt_40(+0.105) | [team_runs_5plus] team_strength_bucket+opponent_strength_bucket=50_55__lt_40(+0.111),,very_low_lt_85,very_low_lt_85,no,no,1,1,1,1,0,0,chronological_2023+2024_to_2025
