season,game_pk,game_date,game_id,team,opponent,home_away,model_version,side_score,side_fade_score,side_pick,team_runs_4plus_score,team_runs_5plus_no_score,team_f5_runs_2plus_score,full_total_avoid_score,full_game_over_score,live_watch_score,avoid_score,top_positive_reasons,top_negative_reasons,bo_bucket,bd_bucket,bo_plus_weak_bd_tag,avoid_low_bo_strong_bd_tag,actual_team_won,actual_team_runs_4plus,actual_team_runs_5plus,actual_team_f5_runs_2plus,actual_game_total_9plus,actual_lw_tied_or_led,validation_mode
2025,778361,2025-04-11,COL@SD,SD,COL,home,ff_only,0.8703,0.0,lean,0.9897,0.0,0.7888,0.0,0.2882,0.1782,0.0,[team_won] l10_rpg_bucket+opponent_strength_bucket=high_4_5_5_5__lt_40(+0.149) | [team_won] home_away+opponent_strength_bucket=home__lt_40(+0.144) | [team_runs_4plus] l10_rpg_bucket+opponent_strength_bucket=high_4_5_5_5__lt_40(+0.130) | [team_runs_4plus] home_away+opponent_strength_bucket=home__lt_40(+0.105) | [team_runs_5plus] home_away+opponent_strength_bucket=home__lt_40(+0.098),,high_105_115,very_high_115_plus,yes,no,1,1,1,1,0,0,chronological_2023+2024_to_2025
2025,777179,2025-07-09,COL@BOS,BOS,COL,home,ff_only,1.0414,0.0,lean,0.9854,0.0,0.9199,0.0,0.295,0.146,0.0,[team_won] home_away+opponent_strength_bucket=home__lt_40(+0.144) | [team_won] team_strength_bucket+opponent_strength_bucket=50_55__lt_40(+0.123) | [team_runs_4plus] team_l10_post5_rpg_bucket=mid_3_5_4_5(+0.115) | [team_runs_4plus] team_strength_bucket+opponent_strength_bucket=50_55__lt_40(+0.106) | [team_runs_5plus] team_l10_post5_rpg_bucket=mid_3_5_4_5(+0.114),,very_high_115_plus,very_high_115_plus,yes,no,1,1,1,1,1,0,chronological_2023+2024_to_2025
2025,778352,2025-04-12,COL@SD,SD,COL,home,ff_only,0.8932,0.0,lean,0.9664,0.0,0.7804,0.0,0.1995,0.1782,0.0,[team_won] l10_rpg_bucket+opponent_strength_bucket=high_4_5_5_5__lt_40(+0.149) | [team_won] home_away+opponent_strength_bucket=home__lt_40(+0.144) | [team_runs_4plus] l10_rpg_bucket+opponent_strength_bucket=high_4_5_5_5__lt_40(+0.130) | [team_runs_4plus] home_away+opponent_strength_bucket=home__lt_40(+0.105) | [team_runs_5plus] home_away+opponent_strength_bucket=home__lt_40(+0.098),,very_high_115_plus,very_high_115_plus,yes,no,1,0,0,1,0,0,chronological_2023+2024_to_2025
2025,777887,2025-05-17,COL@AZ,AZ,COL,home,ff_only,1.0798,0.0,lean,0.9507,0.0,0.7191,0.0,0.1536,0.235,0.0,[team_won] l10_rpg_bucket+opponent_strength_bucket=high_4_5_5_5__lt_40(+0.149) | [team_won] home_away+opponent_strength_bucket=home__lt_40(+0.144) | [team_runs_4plus] l10_rpg_bucket+opponent_strength_bucket=high_4_5_5_5__lt_40(+0.130) | [team_runs_4plus] team_strength_bucket+opponent_strength_bucket=50_55__lt_40(+0.106) | [team_runs_5plus] team_strength_bucket+opponent_strength_bucket=50_55__lt_40(+0.111),,very_high_115_plus,avg_95_105,yes,no,0,1,1,1,1,1,chronological_2023+2024_to_2025
2025,777049,2025-07-22,STL@COL,STL,COL,away,ff_only,0.7113,0.0,lean,0.9502,0.0,0.7589,0.0,0.2882,0.1025,0.0,[team_won] team_strength_bucket+opponent_strength_bucket=50_55__lt_40(+0.123) | [team_won] opponent_strength_bucket=lt_40(+0.115) | [team_runs_4plus] team_strength_bucket+opponent_strength_bucket=50_55__lt_40(+0.106) | [team_runs_4plus] opponent_strength_bucket=lt_40(+0.097) | [team_runs_5plus] team_strength_bucket+opponent_strength_bucket=50_55__lt_40(+0.111),,high_105_115,avg_95_105,yes,no,0,1,0,1,1,0,chronological_2023+2024_to_2025
2025,776872,2025-08-04,TOR@COL,TOR,COL,away,ff_only,0.849,0.0,lean,0.9375,0.0,0.6583,0.0,0.1536,0.1001,0.0,[team_won] l10_rpg_bucket+opponent_strength_bucket=high_4_5_5_5__lt_40(+0.149) | [team_won] team_strength_bucket+opponent_strength_bucket=50_55__lt_40(+0.123) | [team_runs_4plus] l10_rpg_bucket+opponent_strength_bucket=high_4_5_5_5__lt_40(+0.130) | [team_runs_4plus] team_strength_bucket+opponent_strength_bucket=50_55__lt_40(+0.106) | [team_runs_5plus] team_strength_bucket+opponent_strength_bucket=50_55__lt_40(+0.111),[team_early_deficit_scored_next2] home_away+l10_rpg_bucket=away__high_4_5_5_5(-0.057) | [team_early_deficit_scored_next2] home_away=away(-0.042),high_105_115,very_low_lt_85,yes,no,1,1,1,1,1,0,chronological_2023+2024_to_2025
2025,776836,2025-08-06,TOR@COL,TOR,COL,away,ff_only,0.6737,0.0,lean,0.9296,0.0,0.7998,0.0,0.3533,0.1119,0.0,[team_won] team_strength_bucket+opponent_strength_bucket=50_55__lt_40(+0.123) | [team_won] opponent_strength_bucket=lt_40(+0.115) | [team_runs_4plus] team_strength_bucket+opponent_strength_bucket=50_55__lt_40(+0.106) | [team_runs_4plus] opponent_strength_bucket=lt_40(+0.097) | [team_runs_5plus] team_strength_bucket+opponent_strength_bucket=50_55__lt_40(+0.111),,very_high_115_plus,very_low_lt_85,yes,no,1,1,1,1,1,1,chronological_2023+2024_to_2025
2025,777321,2025-06-28,COL@MIL,MIL,COL,home,ff_only,0.9946,0.0,lean,0.9291,0.0,0.8106,0.0,0.2918,0.146,0.0,[team_won] home_away+opponent_strength_bucket=home__lt_40(+0.144) | [team_won] team_strength_bucket+opponent_strength_bucket=50_55__lt_40(+0.123) | [team_runs_4plus] team_strength_bucket+opponent_strength_bucket=50_55__lt_40(+0.106) | [team_runs_4plus] home_away+opponent_strength_bucket=home__lt_40(+0.105) | [team_runs_5plus] team_strength_bucket+opponent_strength_bucket=50_55__lt_40(+0.111),,very_high_115_plus,low_85_95,yes,no,1,1,1,1,0,0,chronological_2023+2024_to_2025
2025,777523,2025-06-14,COL@ATL,ATL,COL,home,ff_only,0.7835,0.0,lean,0.9287,0.0,0.5649,0.0,0.2882,0.0868,0.0,[team_won] l10_rpg_bucket+opponent_strength_bucket=high_4_5_5_5__lt_40(+0.149) | [team_won] home_away+opponent_strength_bucket=home__lt_40(+0.144) | [team_runs_4plus] l10_rpg_bucket+opponent_strength_bucket=high_4_5_5_5__lt_40(+0.130) | [team_runs_4plus] home_away+opponent_strength_bucket=home__lt_40(+0.105) | [team_runs_5plus] home_away+opponent_strength_bucket=home__lt_40(+0.098),[f5_total_4plus] opponent_starter_blowup_rate_bucket=avg_45_60(-0.057),high_105_115,avg_95_105,yes,no,1,1,0,1,0,0,chronological_2023+2024_to_2025
2025,777809,2025-05-24,BAL@BOS,BOS,BAL,home,ff_only,0.9585,0.0,lean,0.9206,0.0,0.7392,0.0,0.2422,0.1893,0.0,[team_won] l10_rpg_bucket+opponent_strength_bucket=high_4_5_5_5__lt_40(+0.149) | [team_won] home_away+opponent_strength_bucket=home__lt_40(+0.144) | [team_runs_4plus] l10_rpg_bucket+opponent_strength_bucket=high_4_5_5_5__lt_40(+0.130) | [team_runs_4plus] team_l10_post5_rpg_bucket=mid_3_5_4_5(+0.115) | [team_runs_5plus] team_l10_post5_rpg_bucket=mid_3_5_4_5(+0.114),,high_105_115,very_low_lt_85,yes,no,1,1,1,1,1,1,chronological_2023+2024_to_2025
