season,game_pk,game_date,game_id,away,home,away_score_model,home_score_model,model_edge,predicted_winner,actual_winner,winner_correct,away_run_projection,home_run_projection,projected_total,projected_f5_total,actual_away_runs,actual_home_runs,actual_full_total,actual_f5_total,actual_post5_runs,away_context_confidence,home_context_confidence,prediction_type,predicted_team,predicted_opponent,predicted_home_away,predicted_team_score,predicted_team_runs,prediction_threshold,predicted_outcome,actual_outcome,correct,actual_team_runs,actual_opponent_runs,actual_margin,actual_home_won,context_confidence,opponent_context_confidence,confidence_label,wrong_reason
2023,718759,2023-04-01,TOR@STL,TOR,STL,94.425,73.975,3.658,TOR,STL,0,7.5,7.145,14.645,7.908,1,4,5,3,2,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,3,1,medium,medium,high,early_scoring_failed
2023,718726,2023-04-03,BAL@TEX,BAL,TEX,50.67,101.303,2.557,TEX,BAL,0,5.105,7.5,12.605,6.807,2,0,2,2,0,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,2,0,medium,medium,high,early_scoring_failed
2024,746833,2024-09-02,PIT@CHC,PIT,CHC,52.507,80.834,2.371,CHC,PIT,0,4.785,7.476,12.261,6.621,5,3,8,3,5,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,2,0,medium,medium,high,early_scoring_failed
2024,746834,2024-09-03,PIT@CHC,PIT,CHC,52.209,78.11,2.219,CHC,PIT,0,4.755,7.225,11.98,6.469,5,0,5,2,3,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,5,0,medium,medium,high,early_scoring_failed
2024,747843,2024-03-23,WSN@STL,WSN,STL,52.454,71.704,2.107,STL,WSN,0,5.217,6.555,11.772,6.357,2,2,4,1,3,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,0,0,medium,medium,high,early_scoring_failed
2025,778526,2025-03-30,PHI@WSN,PHI,WSN,94.547,39.972,1.987,PHI,WSN,0,7.4,4.15,11.55,6.237,1,5,6,3,3,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,4,1,medium,medium,high,early_scoring_failed
2023,718739,2023-04-02,PHI@TEX,PHI,TEX,32.313,127.625,1.972,TEX,TEX,1,4.023,7.5,11.523,6.222,1,2,3,3,0,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,1,1,medium,medium,high,early_scoring_failed
2025,778525,2025-03-30,BAL@TOR,BAL,TOR,78.507,46.139,1.875,BAL,TOR,0,6.604,4.738,11.342,6.125,1,3,4,3,1,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,2,1,medium,medium,high,early_scoring_failed
2023,718238,2023-05-09,CWS@KC,CWS,KC,55.693,58.817,1.869,KC,CWS,0,5.479,5.852,11.331,6.119,4,2,6,2,4,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,2,0,medium,medium,high,early_scoring_failed
2023,716880,2023-08-23,COL@TB,COL,TB,50.0,74.466,1.861,TB,TB,1,4.855,6.462,11.317,6.111,5,6,11,3,8,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,1,1,medium,medium,high,early_scoring_failed
2024,746832,2024-09-06,NYY@CHC,NYY,CHC,57.131,70.069,1.841,CHC,NYY,0,4.881,6.399,11.28,6.091,3,0,3,3,0,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,3,0,medium,medium,high,early_scoring_failed
2025,776552,2025-08-29,ATL@PHI,ATL,PHI,56.246,69.083,1.834,PHI,PHI,1,5.165,6.101,11.266,6.084,1,2,3,2,1,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,1,1,medium,medium,high,early_scoring_failed
2025,777838,2025-05-20,AZ@LAD,AZ,LAD,59.243,68.433,1.83,LAD,LAD,1,5.315,5.945,11.26,6.08,3,4,7,1,6,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,1,1,medium,medium,high,early_scoring_failed
2024,747864,2024-03-22,DET@PHI,DET,PHI,76.223,42.973,1.785,DET,DET,1,6.775,4.4,11.175,6.035,4,3,7,1,6,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,1,0,medium,medium,high,early_scoring_failed
2025,778230,2025-04-21,CIN@MIA,CIN,MIA,68.919,53.967,1.783,CIN,MIA,0,6.107,5.065,11.172,6.033,3,6,9,3,6,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,3,1,medium,medium,high,early_scoring_failed
2023,716604,2023-09-13,STL@BAL,STL,BAL,53.716,71.045,1.749,BAL,STL,0,4.985,6.124,11.109,5.999,1,0,1,1,0,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,1,0,medium,medium,high,early_scoring_failed
2025,778219,2025-04-22,CIN@MIA,CIN,MIA,67.083,55.098,1.743,CIN,MIA,0,6.007,5.092,11.099,5.993,3,4,7,3,4,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,1,1,medium,medium,high,early_scoring_failed
2024,747877,2024-03-21,BAL@BOS,BAL,BOS,105.606,40.208,1.734,BAL,BOS,0,7.5,3.582,11.082,5.984,2,3,5,1,4,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,1,1,medium,medium,high,early_scoring_failed
2024,746925,2024-07-31,SEA@BOS,SEA,BOS,58.871,64.077,1.707,BOS,BOS,1,5.34,5.692,11.032,5.957,2,3,5,3,2,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,1,1,medium,medium,high,early_scoring_failed
2023,716516,2023-09-19,COL@SD,COL,SD,51.541,66.871,1.686,SD,SD,1,5.001,5.992,10.993,5.936,0,2,2,0,2,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,2,1,medium,medium,high,early_scoring_failed
2025,777317,2025-06-29,TB@BAL,TB,BAL,66.393,54.84,1.686,TB,BAL,0,5.808,5.184,10.992,5.936,1,5,6,3,3,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,4,1,medium,medium,high,early_scoring_failed
2024,746496,2024-09-29,LAD@COL,LAD,COL,73.649,46.843,1.672,LAD,LAD,1,6.479,4.488,10.967,5.922,2,1,3,1,2,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,1,0,medium,medium,high,early_scoring_failed
2024,745718,2024-08-04,TOR@NYY,TOR,NYY,50.968,70.655,1.649,NYY,NYY,1,4.757,6.167,10.924,5.899,3,4,7,2,5,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,1,1,medium,medium,high,early_scoring_failed
2025,776624,2025-08-24,NYM@ATL,NYM,ATL,61.557,59.112,1.63,NYM,ATL,0,5.461,5.428,10.889,5.88,3,4,7,2,5,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,1,1,medium,medium,high,early_scoring_failed
2024,747876,2024-03-21,HOU@STL,HOU,STL,37.908,107.906,1.626,STL,HOU,0,3.382,7.5,10.882,5.876,9,1,10,3,7,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,8,0,medium,medium,high,early_scoring_failed
2025,776436,2025-09-06,TOR@NYY,TOR,NYY,60.509,64.301,1.608,NYY,NYY,1,5.222,5.626,10.848,5.858,1,3,4,3,1,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,2,1,medium,medium,high,early_scoring_failed
2025,777242,2025-07-04,LAA@TOR,LAA,TOR,54.953,65.932,1.6,TOR,TOR,1,5.001,5.833,10.834,5.85,3,4,7,0,7,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,1,1,medium,medium,high,early_scoring_failed
2025,777358,2025-06-25,LAD@COL,LAD,COL,67.608,47.925,1.592,LAD,LAD,1,5.763,5.056,10.819,5.842,8,1,9,0,9,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,7,0,medium,medium,high,early_scoring_failed
2025,776429,2025-09-07,NYM@CIN,NYM,CIN,64.314,56.612,1.59,NYM,CIN,0,5.75,5.064,10.814,5.84,2,3,5,2,3,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,1,1,medium,medium,high,early_scoring_failed
2025,777870,2025-05-18,COL@AZ,COL,AZ,40.353,69.472,1.588,AZ,AZ,1,4.513,6.299,10.812,5.838,0,1,1,1,0,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,1,1,medium,medium,high,early_scoring_failed
2023,717226,2023-07-28,CHC@STL,CHC,STL,66.054,53.544,1.571,CHC,CHC,1,5.922,4.858,10.78,5.821,3,2,5,3,2,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,1,0,medium,medium,high,early_scoring_failed
2025,778017,2025-05-07,LAD@MIA,LAD,MIA,75.276,44.179,1.571,LAD,LAD,1,6.565,4.215,10.78,5.821,10,1,11,0,11,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,9,0,medium,medium,high,early_scoring_failed
2024,746829,2024-09-07,NYY@CHC,NYY,CHC,53.621,68.652,1.567,CHC,NYY,0,4.514,6.259,10.773,5.817,2,0,2,1,1,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,2,0,medium,medium,high,early_scoring_failed
2024,744838,2024-07-02,NYM@WSN,NYM,WSN,62.229,55.813,1.553,NYM,NYM,1,5.626,5.12,10.746,5.803,7,2,9,2,7,unknown,unknown,f5_total_4_plus,,,,,,4.25,1,0,0,,,5,0,medium,medium,high,early_scoring_failed
