prediction_type,wrong_reason,count,correct,success_rate,avg_model_edge
f5_total_4_plus,early_scoring_failed,2179,0,0.0,0.702
f5_total_4_plus,early_scoring_explosion,80,0,0.0,0.418
full_total_9_plus,early_scoring_failed,832,0,0.0,0.904
full_total_9_plus,early_scoring_explosion,587,0,0.0,0.764
full_total_9_plus,late_scoring_stalled,399,0,0.0,0.919
full_total_9_plus,late_scoring_explosion,269,0,0.0,0.775
full_total_9_plus,total_underperformed_projection,115,0,0.0,0.95
full_total_9_plus,total_overperformed_projection,30,0,0.0,0.649
team_runs_4_plus,team_total_model_miss,1676,0,0.0,0.56
team_runs_4_plus,game_run_environment_came_in_low,1199,0,0.0,0.713
team_runs_4_plus,near_miss_team_total,919,0,0.0,0.726
team_runs_4_plus,offense_underperformed,680,0,0.0,0.693
team_runs_5_plus,team_total_model_miss,4227,0,0.0,0.789
team_runs_5_plus,low_run_environment,467,0,0.0,0.622
team_runs_5_plus,near_miss_team_total,195,0,0.0,0.586
team_runs_5_plus,offense_underperformed,173,0,0.0,0.607
winner,model_missed_team_strength_or_pitching,1080,0,0.0,12.689
winner,coinflip_close_game,792,0,0.0,12.64
winner,home_field_or_away_underperformed,716,0,0.0,11.508
winner,thin_model_edge,84,0,0.0,3.542
