prediction_type,min_model_edge,count,correct,success_rate,predicted_yes_count,predicted_yes_success_rate,predicted_no_count,predicted_no_success_rate
f5_total_4_plus,0,5977,3718,0.6221,5855,0.6278,122,0.3443
f5_total_4_plus,0.25,5977,3718,0.6221,5855,0.6278,122,0.3443
f5_total_4_plus,0.5,4192,2656,0.6336,4165,0.6346,27,0.4815
f5_total_4_plus,0.75,2314,1494,0.6456,2301,0.6454,13,0.6923
f5_total_4_plus,1,1061,685,0.6456,1056,0.6477,5,0.2
f5_total_4_plus,2,15,10,0.6667,15,0.6667,0,
f5_total_4_plus,3,4,3,0.75,4,0.75,0,
full_total_9_plus,0,4737,2505,0.5288,2862,0.5297,1875,0.5275
full_total_9_plus,0.25,4737,2505,0.5288,2862,0.5297,1875,0.5275
full_total_9_plus,0.5,3763,2023,0.5376,2341,0.5378,1422,0.5373
full_total_9_plus,0.75,2363,1270,0.5375,1587,0.5394,776,0.5335
full_total_9_plus,1,1372,742,0.5408,990,0.5505,382,0.5157
full_total_9_plus,2,116,59,0.5086,99,0.5152,17,0.4706
full_total_9_plus,3,18,8,0.4444,14,0.4286,4,0.5
full_total_9_plus,5,3,2,0.6667,3,0.6667,0,
team_runs_4_plus,0,10009,5535,0.553,6749,0.5854,3260,0.4859
team_runs_4_plus,0.25,10009,5535,0.553,6749,0.5854,3260,0.4859
team_runs_4_plus,0.5,5949,3415,0.574,4336,0.6026,1613,0.4972
team_runs_4_plus,0.75,3251,1930,0.5937,2596,0.6136,655,0.5145
team_runs_4_plus,1,1647,976,0.5926,1413,0.6072,234,0.5043
team_runs_4_plus,2,92,51,0.5543,82,0.561,10,0.5
team_runs_4_plus,3,16,5,0.3125,16,0.3125,0,
team_runs_5_plus,0,11876,6814,0.5738,1620,0.4846,10256,0.5879
team_runs_5_plus,0.25,11876,6814,0.5738,1620,0.4846,10256,0.5879
team_runs_5_plus,0.5,8563,5025,0.5868,834,0.5192,7729,0.5941
team_runs_5_plus,0.75,5509,3283,0.5959,410,0.5073,5099,0.6031
team_runs_5_plus,1,3068,1875,0.6111,191,0.4921,2877,0.619
team_runs_5_plus,2,103,56,0.5437,25,0.36,78,0.6026
winner,0,6020,3348,0.5561,6020,0.5561,0,
winner,0.25,6020,3348,0.5561,6020,0.5561,0,
winner,0.5,6020,3348,0.5561,6020,0.5561,0,
winner,0.75,6020,3348,0.5561,6020,0.5561,0,
winner,1,6020,3348,0.5561,6020,0.5561,0,
winner,2,6020,3348,0.5561,6020,0.5561,0,
winner,3,6020,3348,0.5561,6020,0.5561,0,
winner,5,5137,2893,0.5632,5137,0.5632,0,
winner,7,4331,2474,0.5712,4331,0.5712,0,
winner,10,3199,1867,0.5836,3199,0.5836,0,
winner,15,1789,1062,0.5936,1789,0.5936,0,
