prediction_type,wrong_reason,miss_count,avg_model_edge,high_confidence_misses,medium_confidence_misses,low_confidence_misses
f5_total_4_plus,early_scoring_failed,2179,0.702,67,618,1494
f5_total_4_plus,early_scoring_explosion,80,0.418,1,3,76
full_total_9_plus,early_scoring_failed,832,0.904,47,222,563
full_total_9_plus,early_scoring_explosion,587,0.764,11,105,471
full_total_9_plus,late_scoring_stalled,399,0.919,23,111,265
full_total_9_plus,late_scoring_explosion,269,0.775,8,55,206
full_total_9_plus,total_underperformed_projection,115,0.95,8,34,73
full_total_9_plus,total_overperformed_projection,30,0.649,0,6,24
team_runs_4_plus,team_total_model_miss,1676,0.56,31,230,1415
team_runs_4_plus,game_run_environment_came_in_low,1199,0.713,73,312,814
team_runs_4_plus,near_miss_team_total,919,0.726,63,252,604
team_runs_4_plus,offense_underperformed,680,0.693,35,167,478
team_runs_5_plus,team_total_model_miss,4227,0.789,287,1525,2415
team_runs_5_plus,low_run_environment,467,0.622,20,84,363
team_runs_5_plus,near_miss_team_total,195,0.586,7,32,156
team_runs_5_plus,offense_underperformed,173,0.607,5,30,138
winner,model_missed_team_strength_or_pitching,1080,12.689,825,255,0
winner,coinflip_close_game,792,12.64,562,166,64
winner,home_field_or_away_underperformed,716,11.508,470,182,64
winner,thin_model_edge,84,3.542,0,0,84
