lane,score_bin,season,n,hits,hit_rate,baseline,lift_pp,conservative_prob
side,<0.00,2023,0,0,,0.499,,
side,<0.00,2024,0,0,,0.499,,
side,<0.00,2025,0,0,,0.499,,
side,0.00-0.10,2023,2987,1394,0.4667,0.499,-3.23,0.4677
side,0.00-0.10,2024,3617,1689,0.467,0.499,-3.2,0.4678
side,0.00-0.10,2025,6642,3166,0.4767,0.499,-2.23,0.477
side,0.10-0.20,2023,498,255,0.512,0.499,1.3,0.5099
side,0.10-0.20,2024,484,258,0.5331,0.499,3.41,0.5272
side,0.10-0.20,2025,1068,520,0.4869,0.499,-1.21,0.4879
side,0.20-0.30,2023,379,195,0.5145,0.499,1.55,0.5113
side,0.20-0.30,2024,294,157,0.534,0.499,3.5,0.5251
side,0.20-0.30,2025,588,318,0.5408,0.499,4.18,0.5347
side,0.30-0.40,2023,300,152,0.5067,0.499,0.77,0.5048
side,0.30-0.40,2024,198,122,0.6162,0.499,11.72,0.5768
side,0.30-0.40,2025,462,258,0.5584,0.499,5.94,0.5479
side,0.40+,2023,778,475,0.6105,0.499,11.15,0.5978
side,0.40+,2024,527,324,0.6148,0.499,11.58,0.5963
side,0.40+,2025,1140,688,0.6035,0.499,10.45,0.5951
side_fade,<0.00,2023,0,0,,0.499,,
side_fade,<0.00,2024,0,0,,0.499,,
side_fade,<0.00,2025,0,0,,0.499,,
side_fade,0.00-0.10,2023,3543,1678,0.4736,0.499,-2.54,0.4743
side_fade,0.00-0.10,2024,3242,1509,0.4655,0.499,-3.35,0.4665
side_fade,0.00-0.10,2025,6244,2924,0.4683,0.499,-3.07,0.4688
side_fade,0.10-0.20,2023,567,296,0.522,0.499,2.3,0.5186
side_fade,0.10-0.20,2024,740,388,0.5243,0.499,2.53,0.5213
side_fade,0.10-0.20,2025,1232,662,0.5373,0.499,3.83,0.5345
side_fade,0.20-0.30,2023,409,226,0.5526,0.499,5.36,0.542
side_fade,0.20-0.30,2024,470,276,0.5872,0.499,8.82,0.5718
side_fade,0.20-0.30,2025,1000,534,0.534,0.499,3.5,0.5308
side_fade,0.30-0.40,2023,261,160,0.613,0.499,11.4,0.5814
side_fade,0.30-0.40,2024,317,191,0.6025,0.499,10.35,0.5777
side_fade,0.30-0.40,2025,702,394,0.5613,0.499,6.23,0.5535
side_fade,0.40+,2023,162,111,0.6852,0.499,18.62,0.6141
side_fade,0.40+,2024,351,206,0.5869,0.499,8.79,0.5674
side_fade,0.40+,2025,722,436,0.6039,0.499,10.49,0.5911
