season,variant,game_pk,game_date,game_id,away,home,away_score_model,home_score_model,model_edge,predicted_winner,actual_winner,winner_correct,away_run_projection,home_run_projection,projected_total,actual_away_runs,actual_home_runs,actual_full_total,actual_f5_total,actual_post5_runs,away_starter_id,away_starter_name,away_starter_confidence,away_starter_ra9,away_starter_xfip,home_starter_id,home_starter_name,home_starter_confidence,home_starter_ra9,home_starter_xfip,away_context_confidence,home_context_confidence
2023,team_context_only,718780,2023-03-30,ATL@WSN,ATL,WSN,49.5,51.8,2.3,WSN,ATL,0,4.35,4.55,8.9,7,2,9,6,3,,,none,,,,,none,,,unknown,unknown
2023,starter_basic,718780,2023-03-30,ATL@WSN,ATL,WSN,49.5,51.8,2.3,WSN,ATL,0,4.35,4.55,8.9,7,2,9,6,3,,,none,,,,,none,,,unknown,unknown
2023,starter_basic_plus_xfip,718780,2023-03-30,ATL@WSN,ATL,WSN,49.5,51.8,2.3,WSN,ATL,0,4.35,4.55,8.9,7,2,9,6,3,,,none,,,,,none,,,unknown,unknown
2023,team_context_only,718781,2023-03-30,SF@NYY,SF,NYY,49.5,51.8,2.3,NYY,NYY,1,4.35,4.55,8.9,0,5,5,3,2,,,none,,,,,none,,,unknown,unknown
2023,starter_basic,718781,2023-03-30,SF@NYY,SF,NYY,49.5,51.8,2.3,NYY,NYY,1,4.35,4.55,8.9,0,5,5,3,2,,,none,,,,,none,,,unknown,unknown
2023,starter_basic_plus_xfip,718781,2023-03-30,SF@NYY,SF,NYY,49.5,51.8,2.3,NYY,NYY,1,4.35,4.55,8.9,0,5,5,3,2,,,none,,,,,none,,,unknown,unknown
2023,team_context_only,718782,2023-03-30,BAL@BOS,BAL,BOS,49.5,51.8,2.3,BOS,BAL,0,4.35,4.55,8.9,10,9,19,10,9,,,none,,,,,none,,,unknown,unknown
2023,starter_basic,718782,2023-03-30,BAL@BOS,BAL,BOS,49.5,51.8,2.3,BOS,BAL,0,4.35,4.55,8.9,10,9,19,10,9,,,none,,,,,none,,,unknown,unknown
2023,starter_basic_plus_xfip,718782,2023-03-30,BAL@BOS,BAL,BOS,49.5,51.8,2.3,BOS,BAL,0,4.35,4.55,8.9,10,9,19,10,9,,,none,,,,,none,,,unknown,unknown
2023,team_context_only,718777,2023-03-30,MIL@CHC,MIL,CHC,49.5,51.8,2.3,CHC,CHC,1,4.35,4.55,8.9,0,4,4,4,0,,,none,,,,,none,,,unknown,unknown
