variant,prediction_type,starter_confidence,opponent_starter_confidence,count,correct,success_rate,avg_model_edge,predicted_yes_count,predicted_yes_success_rate,predicted_no_count,predicted_no_success_rate
starter_basic,full_total_9_plus,high,high,3459,1887,0.5455,0.884,1824,0.5395,1635,0.5523
starter_basic,full_total_9_plus,low,low,1480,773,0.5223,0.951,875,0.5406,605,0.4959
starter_basic,team_runs_4_plus,high,high,5794,3242,0.5595,0.687,3592,0.5955,2202,0.5009
starter_basic,team_runs_4_plus,high,low,554,304,0.5487,0.695,405,0.5975,149,0.4161
starter_basic,team_runs_4_plus,high,medium,416,199,0.4784,0.728,274,0.5547,142,0.331
starter_basic,team_runs_4_plus,high,none,269,160,0.5948,0.686,195,0.6154,74,0.5405
starter_basic,team_runs_4_plus,low,high,538,302,0.5613,0.695,305,0.5934,233,0.5193
starter_basic,team_runs_4_plus,low,low,588,309,0.5255,0.775,388,0.5722,200,0.435
starter_basic,team_runs_4_plus,low,medium,130,69,0.5308,0.693,82,0.5488,48,0.5
starter_basic,team_runs_4_plus,low,none,106,66,0.6226,0.733,67,0.7612,39,0.3846
starter_basic,team_runs_4_plus,medium,high,442,271,0.6131,0.653,260,0.6577,182,0.5495
starter_basic,team_runs_4_plus,medium,low,135,68,0.5037,0.71,96,0.5312,39,0.4359
starter_basic,team_runs_4_plus,medium,medium,377,207,0.5491,0.657,219,0.5525,158,0.5443
starter_basic,team_runs_4_plus,medium,none,64,42,0.6562,0.68,44,0.7045,20,0.55
starter_basic,team_runs_4_plus,none,high,284,151,0.5317,0.667,166,0.5542,118,0.5
starter_basic,team_runs_4_plus,none,low,111,58,0.5225,0.884,76,0.5263,35,0.5143
starter_basic,team_runs_4_plus,none,medium,60,38,0.6333,0.611,34,0.6471,26,0.6154
starter_basic,team_runs_4_plus,none,none,364,201,0.5522,1.079,224,0.5848,140,0.5
starter_basic,team_runs_5_plus,high,high,6854,4005,0.5843,0.826,920,0.5152,5934,0.595
starter_basic,team_runs_5_plus,high,low,612,344,0.5621,0.763,93,0.4516,519,0.5819
starter_basic,team_runs_5_plus,high,medium,525,273,0.52,0.797,93,0.4731,432,0.5301
starter_basic,team_runs_5_plus,high,none,326,178,0.546,0.751,46,0.5435,280,0.5464
starter_basic,team_runs_5_plus,low,high,674,405,0.6009,0.855,82,0.5366,592,0.6098
starter_basic,team_runs_5_plus,low,low,668,379,0.5674,0.839,135,0.4815,533,0.5891
starter_basic,team_runs_5_plus,low,medium,164,79,0.4817,0.792,26,0.3462,138,0.5072
starter_basic,team_runs_5_plus,low,none,120,64,0.5333,0.85,20,0.5,100,0.54
starter_basic,team_runs_5_plus,medium,high,505,318,0.6297,0.841,59,0.5932,446,0.6345
starter_basic,team_runs_5_plus,medium,low,156,83,0.5321,0.772,27,0.3704,129,0.5659
starter_basic,team_runs_5_plus,medium,medium,436,259,0.594,0.857,43,0.4419,393,0.6107
starter_basic,team_runs_5_plus,medium,none,71,45,0.6338,0.738,16,0.6875,55,0.6182
starter_basic,team_runs_5_plus,none,high,356,219,0.6152,0.838,39,0.5897,317,0.6183
starter_basic,team_runs_5_plus,none,low,123,63,0.5122,0.875,34,0.3529,89,0.573
starter_basic,team_runs_5_plus,none,medium,69,40,0.5797,0.852,5,0.4,64,0.5938
starter_basic,team_runs_5_plus,none,none,419,224,0.5346,1.12,89,0.4944,330,0.5455
starter_basic,winner,high,high,3482,1940,0.5572,12.011,3482,0.5572,0,
starter_basic,winner,high,low,382,221,0.5785,13.105,382,0.5785,0,
starter_basic,winner,high,medium,276,173,0.6268,13.233,276,0.6268,0,
starter_basic,winner,high,none,206,126,0.6117,12.253,206,0.6117,0,
starter_basic,winner,low,high,265,149,0.5623,12.374,265,0.5623,0,
starter_basic,winner,low,low,366,196,0.5355,17.427,366,0.5355,0,
starter_basic,winner,low,medium,84,45,0.5357,13.825,84,0.5357,0,
starter_basic,winner,low,none,61,36,0.5902,17.252,61,0.5902,0,
starter_basic,winner,medium,high,242,122,0.5041,11.776,242,0.5041,0,
starter_basic,winner,medium,low,83,45,0.5422,15.659,83,0.5422,0,
starter_basic,winner,medium,medium,232,139,0.5991,14.038,232,0.5991,0,
starter_basic,winner,medium,none,42,29,0.6905,16.33,42,0.6905,0,
starter_basic,winner,none,high,151,82,0.543,11.434,151,0.543,0,
starter_basic,winner,none,low,68,32,0.4706,21.6,68,0.4706,0,
starter_basic,winner,none,medium,31,23,0.7419,13.176,31,0.7419,0,
starter_basic,winner,none,none,181,92,0.5083,27.286,181,0.5083,0,
starter_basic_plus_xfip,full_total_9_plus,high,high,3518,1911,0.5432,0.938,1954,0.5328,1564,0.5563
starter_basic_plus_xfip,full_total_9_plus,low,low,1521,801,0.5266,0.985,933,0.5434,588,0.5
starter_basic_plus_xfip,team_runs_4_plus,high,high,5975,3373,0.5645,0.719,3757,0.5957,2218,0.5117
starter_basic_plus_xfip,team_runs_4_plus,high,low,559,303,0.542,0.73,415,0.5976,144,0.3819
starter_basic_plus_xfip,team_runs_4_plus,high,medium,436,220,0.5046,0.756,298,0.5638,138,0.3768
starter_basic_plus_xfip,team_runs_4_plus,high,none,269,160,0.5948,0.686,195,0.6154,74,0.5405
starter_basic_plus_xfip,team_runs_4_plus,low,high,561,314,0.5597,0.725,333,0.5916,228,0.5132
starter_basic_plus_xfip,team_runs_4_plus,low,low,603,327,0.5423,0.8,408,0.5809,195,0.4615
starter_basic_plus_xfip,team_runs_4_plus,low,medium,131,70,0.5344,0.73,86,0.5698,45,0.4667
