variant,prediction_type,count,correct,success_rate,avg_model_edge,predicted_yes_count,predicted_yes_success_rate,predicted_no_count,predicted_no_success_rate,baseline_variant_success_rate,delta_vs_team_context_only,count_delta_vs_team_context_only
starter_basic,full_total_9_plus,4939,2660,0.5386,0.904,2699,0.5398,2240,0.5371,0.5288,0.0098,202
starter_basic,team_runs_4_plus,10232,5687,0.5558,0.708,6427,0.593,3805,0.493,0.553,0.0028,223
starter_basic,team_runs_5_plus,12078,6978,0.5777,0.834,1727,0.5032,10351,0.5902,0.5738,0.0039,202
starter_basic,winner,6152,3450,0.5608,13.249,6152,0.5608,0,,0.5561,0.0047,132
starter_basic_plus_xfip,full_total_9_plus,5039,2712,0.5382,0.952,2887,0.5362,2152,0.5409,0.5288,0.0094,302
starter_basic_plus_xfip,team_runs_4_plus,10504,5885,0.5603,0.737,6710,0.5939,3794,0.5008,0.553,0.0073,495
starter_basic_plus_xfip,team_runs_5_plus,11995,6933,0.578,0.844,1974,0.5096,10021,0.5915,0.5738,0.0042,119
starter_basic_plus_xfip,winner,6179,3472,0.5619,13.585,6179,0.5619,0,,0.5561,0.0058,159
team_context_only,full_total_9_plus,4737,2505,0.5288,0.861,2862,0.5297,1875,0.5275,,,
team_context_only,team_runs_4_plus,10009,5535,0.553,0.677,6749,0.5854,3260,0.4859,,,
team_context_only,team_runs_5_plus,11876,6814,0.5738,0.782,1620,0.4846,10256,0.5879,,,
team_context_only,winner,6020,3348,0.5561,12.624,6020,0.5561,0,,,,
