variant,prediction_type,wrong_reason,count,correct,success_rate,avg_model_edge,predicted_yes_count,predicted_yes_success_rate,predicted_no_count,predicted_no_success_rate
starter_basic,full_total_9_plus,early_scoring_explosion,479,0,0.0,0.81,0,,479,0.0
starter_basic,full_total_9_plus,early_scoring_failed,504,0,0.0,0.931,504,0.0,0,
starter_basic,full_total_9_plus,late_scoring_explosion,223,0,0.0,0.828,0,,223,0.0
starter_basic,full_total_9_plus,late_scoring_stalled,263,0,0.0,0.951,263,0.0,0,
starter_basic,full_total_9_plus,thin_or_missing_starter_context,707,0,0.0,0.921,402,0.0,305,0.0
starter_basic,full_total_9_plus,total_overperformed_projection,30,0,0.0,0.615,0,,30,0.0
starter_basic,full_total_9_plus,total_underperformed_projection,73,0,0.0,0.934,73,0.0,0,
starter_basic,team_runs_4_plus,low_run_environment,756,0,0.0,0.717,756,0.0,0,
starter_basic,team_runs_4_plus,near_miss_team_total,1218,0,0.0,0.664,602,0.0,616,0.0
starter_basic,team_runs_4_plus,offense_or_starter_suppressed,404,0,0.0,0.686,404,0.0,0,
starter_basic,team_runs_4_plus,thin_or_missing_starter_context,1435,0,0.0,0.729,854,0.0,581,0.0
starter_basic,team_runs_4_plus,unexpected_scoring_burst,732,0,0.0,0.584,0,,732,0.0
starter_basic,team_runs_5_plus,low_run_environment,249,0,0.0,0.631,249,0.0,0,
starter_basic,team_runs_5_plus,near_miss_team_total,1534,0,0.0,0.81,127,0.0,1407,0.0
starter_basic,team_runs_5_plus,offense_or_starter_suppressed,167,0,0.0,0.586,167,0.0,0,
starter_basic,team_runs_5_plus,thin_or_missing_starter_context,1635,0,0.0,0.828,315,0.0,1320,0.0
starter_basic,team_runs_5_plus,unexpected_scoring_burst,1515,0,0.0,0.834,0,,1515,0.0
starter_basic,winner,coinflip_close_game,560,0,0.0,11.961,560,0.0,0,
starter_basic,winner,starter_or_team_strength_model_miss,1204,0,0.0,11.939,1204,0.0,0,
starter_basic,winner,thin_model_edge,94,0,0.0,3.514,94,0.0,0,
starter_basic,winner,thin_or_missing_starter_context,844,0,0.0,15.143,844,0.0,0,
starter_basic_plus_xfip,full_total_9_plus,early_scoring_explosion,449,0,0.0,0.826,0,,449,0.0
