lane,score_bin,min_score,max_score,sample_size,hits,hit_rate,baseline_rate,lift_vs_baseline,confidence,conservative_probability
side,<0.00,,0.0,0,0,,0.4995,,very_low,0.4995
side,0.00-0.10,0.0,0.1,13278,6265,0.4718,0.4995,-0.0277,very_high,0.472
side,0.10-0.20,0.1,0.2,2059,1038,0.5041,0.4995,0.0046,very_high,0.5039
side,0.20-0.30,0.2,0.3,1264,671,0.5309,0.4995,0.0314,very_high,0.5286
side,0.30-0.40,0.3,0.4,962,533,0.5541,0.4995,0.0546,high,0.5489
side,0.40+,0.4,,2445,1487,0.6082,0.4995,0.1087,very_high,0.6039
side_fade,<0.00,,0.0,0,0,,0.5005,,very_low,0.5005
side_fade,0.00-0.10,0.0,0.1,13066,6129,0.4691,0.5005,-0.0314,very_high,0.4693
side_fade,0.10-0.20,0.1,0.2,2545,1349,0.5301,0.5005,0.0296,very_high,0.5289
side_fade,0.20-0.30,0.2,0.3,1882,1038,0.5515,0.5005,0.051,very_high,0.549
side_fade,0.30-0.40,0.3,0.4,1280,745,0.582,0.5005,0.0815,very_high,0.5761
side_fade,0.40+,0.4,,1235,753,0.6097,0.5005,0.1092,very_high,0.6015
team_runs_4plus,<0.00,,0.0,0,0,,0.5555,,very_low,0.5555
team_runs_4plus,0.00-0.10,0.0,0.1,13542,7188,0.5308,0.5555,-0.0247,very_high,0.531
team_runs_4plus,0.10-0.20,0.1,0.2,2170,1280,0.5899,0.5555,0.0344,very_high,0.5883
team_runs_4plus,0.20-0.30,0.2,0.3,1318,748,0.5675,0.5555,0.012,very_high,0.5667
team_runs_4plus,0.30-0.40,0.3,0.4,952,594,0.6239,0.5555,0.0685,high,0.6174
team_runs_4plus,0.40+,0.4,,2026,1304,0.6436,0.5555,0.0882,very_high,0.6395
team_runs_5plus_no,<0.00,,0.0,0,0,,0.5725,,very_low,0.5725
team_runs_5plus_no,0.00-0.10,0.0,0.1,14321,7941,0.5545,0.5725,-0.018,very_high,0.5546
team_runs_5plus_no,0.10-0.20,0.1,0.2,2833,1677,0.592,0.5725,0.0195,very_high,0.5913
team_runs_5plus_no,0.20-0.30,0.2,0.3,1636,1035,0.6326,0.5725,0.0602,very_high,0.6292
team_runs_5plus_no,0.30-0.40,0.3,0.4,814,524,0.6437,0.5725,0.0713,high,0.6359
team_runs_5plus_no,0.40+,0.4,,404,277,0.6856,0.5725,0.1132,high,0.6632
team_f5_runs_2plus,<0.00,,0.0,0,0,,0.5809,,very_low,0.5809
team_f5_runs_2plus,0.00-0.10,0.0,0.1,14002,7907,0.5647,0.5809,-0.0162,very_high,0.5648
team_f5_runs_2plus,0.10-0.20,0.1,0.2,2145,1283,0.5981,0.5809,0.0173,very_high,0.5974
team_f5_runs_2plus,0.20-0.30,0.2,0.3,1378,856,0.6212,0.5809,0.0403,very_high,0.6185
team_f5_runs_2plus,0.30-0.40,0.3,0.4,1003,646,0.6441,0.5809,0.0632,very_high,0.6383
team_f5_runs_2plus,0.40+,0.4,,1480,930,0.6284,0.5809,0.0475,very_high,0.6254
full_total_avoid,<0.00,,0.0,0,0,,0.5054,,very_low,0.5054
full_total_avoid,0.00-0.10,0.0,0.1,19166,9658,0.5039,0.5054,-0.0015,very_high,0.5039
full_total_avoid,0.10-0.20,0.1,0.2,837,451,0.5388,0.5054,0.0334,high,0.5353
full_total_avoid,0.20-0.30,0.2,0.3,5,3,0.6,0.5054,0.0946,very_low,0.5099
full_total_avoid,0.30-0.40,0.3,0.4,0,0,,0.5054,,very_low,0.5054
full_total_avoid,0.40+,0.4,,0,0,,0.5054,,very_low,0.5054
