test_season,lane,score_bin,train_sample,train_conservative_prob,test_sample,test_hits,test_hit_rate,train_baseline,error_vs_conservative
2023,side,0.00-0.10,10259,0.4735,2987,1394,0.4667,0.4993,-0.0068
2023,side,0.10-0.20,1552,0.5012,498,255,0.512,0.4993,0.0108
2023,side,0.20-0.30,882,0.5346,379,195,0.5145,0.4993,-0.0201
2023,side,0.30-0.40,660,0.5657,300,152,0.5067,0.4993,-0.059
2023,side,0.40+,1667,0.601,778,475,0.6105,0.4993,0.0095
2023,side_fade,0.00-0.10,9486,0.4677,3543,1678,0.4736,0.5007,0.0059
2023,side_fade,0.10-0.20,1972,0.5309,567,296,0.522,0.5007,-0.0089
2023,side_fade,0.20-0.30,1470,0.5478,409,226,0.5526,0.5007,0.0048
2023,side_fade,0.30-0.40,1019,0.5675,261,160,0.613,0.5007,0.0455
2023,side_fade,0.40+,1073,0.59,162,111,0.6852,0.5007,0.0952
2023,team_runs_4plus,0.00-0.10,10249,0.5285,3257,1755,0.5388,0.5495,0.0103
2023,team_runs_4plus,0.10-0.20,1554,0.5731,609,385,0.6322,0.5495,0.0591
2023,team_runs_4plus,0.20-0.30,1012,0.5566,305,184,0.6033,0.5495,0.0467
2023,team_runs_4plus,0.30-0.40,697,0.6035,253,167,0.6601,0.5495,0.0566
2023,team_runs_4plus,0.40+,1508,0.6287,518,348,0.6718,0.5495,0.0431
2023,team_runs_5plus_no,0.00-0.10,10456,0.5636,3819,2019,0.5287,0.5805,-0.0349
2023,team_runs_5plus_no,0.10-0.20,2206,0.5928,627,368,0.5869,0.5805,-0.0059
2023,team_runs_5plus_no,0.20-0.30,1321,0.6292,315,199,0.6317,0.5805,0.0025
2023,team_runs_5plus_no,0.30-0.40,681,0.6364,133,85,0.6391,0.5805,0.0027
2023,team_runs_5plus_no,0.40+,356,0.6624,48,33,0.6875,0.5805,0.0251
2023,team_f5_runs_2plus,0.00-0.10,10595,0.5618,3369,1936,0.5747,0.5768,0.0129
2023,team_f5_runs_2plus,0.10-0.20,1604,0.5908,536,333,0.6213,0.5768,0.0305
2023,team_f5_runs_2plus,0.20-0.30,1034,0.6108,341,221,0.6481,0.5768,0.0373
