id,market_ticker,snapped_at,yes_bids_json,yes_asks_json,spread_cents,mid_cents,raw_json,event_ticker,sport,home_team,away_team,game_pk,market_type,yes_bid,yes_ask,no_bid,no_ask,last_price,volume,open_interest,source
3429298,KXMLBTEAMTOTAL-26JUN162140PITATH-ATH8,2026-06-17T04:15:27.012716+00:00,,,69,39,"{""type"": ""ticker"", ""sid"": 1, ""msg"": {""market_id"": ""b44f60d5-dd63-43f9-b361-9aadd408d66f"", ""market_ticker"": ""KXMLBTEAMTOTAL-26JUN162140PITATH-ATH8"", ""price_dollars"": ""0.0700"", ""yes_bid_dollars"": ""0.0500"", ""yes_ask_dollars"": ""0.7400"", ""volume_fp"": ""4173.00"", ""open_interest_fp"": ""3067.30"", ""dollar_volume"": 2086, ""dollar_open_interest"": 1533, ""yes_bid_size_fp"": ""301.00"", ""yes_ask_size_fp"": ""1.00"", ""last_trade_size_fp"": ""535.64"", ""ts"": 1781669726, ""ts_ms"": 1781669726066, ""time"": ""2026-06-17T04:15:26.06693Z""}}",KXMLBTEAMTOTAL-26JUN162140PITATH,mlb,ATH,PIT,,team_total,5,74,26,95,7,4173,3067,ws_ticker
3429297,KXMLBTEAMTOTAL-26JUN162140PITATH-PIT7,2026-06-17T04:15:27.012211+00:00,,,37,37,"{""type"": ""ticker"", ""sid"": 1, ""msg"": {""market_id"": ""e18aec3f-027a-4ae6-93ef-a451f4d6ed8b"", ""market_ticker"": ""KXMLBTEAMTOTAL-26JUN162140PITATH-PIT7"", ""price_dollars"": ""0.6100"", ""yes_bid_dollars"": ""0.1900"", ""yes_ask_dollars"": ""0.5600"", ""volume_fp"": ""2224.22"", ""open_interest_fp"": ""2175.06"", ""dollar_volume"": 1112, ""dollar_open_interest"": 1087, ""yes_bid_size_fp"": ""10.00"", ""yes_ask_size_fp"": ""4.00"", ""last_trade_size_fp"": ""21.34"", ""ts"": 1781669726, ""ts_ms"": 1781669726045, ""time"": ""2026-06-17T04:15:26.045219Z""}}",KXMLBTEAMTOTAL-26JUN162140PITATH,mlb,ATH,PIT,,team_total,19,56,44,81,61,2224,2175,ws_ticker
3429296,KXMLBTEAMTOTAL-26JUN162140PITATH-PIT8,2026-06-17T04:15:27.011678+00:00,,,57,35,"{""type"": ""ticker"", ""sid"": 1, ""msg"": {""market_id"": ""1d254009-c1a6-4e0b-97af-854fc91d41b2"", ""market_ticker"": ""KXMLBTEAMTOTAL-26JUN162140PITATH-PIT8"", ""price_dollars"": ""0.4500"", ""yes_bid_dollars"": ""0.0700"", ""yes_ask_dollars"": ""0.6400"", ""volume_fp"": ""1298.02"", ""open_interest_fp"": ""1296.72"", ""dollar_volume"": 649, ""dollar_open_interest"": 648, ""yes_bid_size_fp"": ""1.00"", ""yes_ask_size_fp"": ""1.00"", ""last_trade_size_fp"": ""0.34"", ""ts"": 1781669726, ""ts_ms"": 1781669726027, ""time"": ""2026-06-17T04:15:26.027055Z""}}",KXMLBTEAMTOTAL-26JUN162140PITATH,mlb,ATH,PIT,,team_total,7,64,36,93,45,1298,1296,ws_ticker
3429295,KXMLBTEAMTOTAL-26JUN161915SFATL-SF8,2026-06-17T04:15:27.011091+00:00,,,57,35,"{""type"": ""ticker"", ""sid"": 1, ""msg"": {""market_id"": ""54f3b081-212a-4a24-ad23-1bf492100a8e"", ""market_ticker"": ""KXMLBTEAMTOTAL-26JUN161915SFATL-SF8"", ""price_dollars"": ""0.2000"", ""yes_bid_dollars"": ""0.0700"", ""yes_ask_dollars"": ""0.6400"", ""volume_fp"": ""5341.70"", ""open_interest_fp"": ""5341.70"", ""dollar_volume"": 2670, ""dollar_open_interest"": 2670, ""yes_bid_size_fp"": ""1.00"", ""yes_ask_size_fp"": ""1.00"", ""last_trade_size_fp"": ""1.00"", ""ts"": 1781669726, ""ts_ms"": 1781669726007, ""time"": ""2026-06-17T04:15:26.007513Z""}}",KXMLBTEAMTOTAL-26JUN161915SFATL,mlb,ATL,SF,,team_total,7,64,36,93,20,5341,5341,ws_ticker
3429294,KXMLBTEAMTOTAL-26JUN162140PITATH-PIT6,2026-06-17T04:15:27.010438+00:00,,,50,65,"{""type"": ""ticker"", ""sid"": 1, ""msg"": {""market_id"": ""255c197b-e90f-4c6c-8149-a50559a8fe80"", ""market_ticker"": ""KXMLBTEAMTOTAL-26JUN162140PITATH-PIT6"", ""price_dollars"": ""0.7700"", ""yes_bid_dollars"": ""0.4000"", ""yes_ask_dollars"": ""0.9000"", ""volume_fp"": ""5897.62"", ""open_interest_fp"": ""4677.22"", ""dollar_volume"": 2948, ""dollar_open_interest"": 2338, ""yes_bid_size_fp"": ""5.00"", ""yes_ask_size_fp"": ""20.00"", ""last_trade_size_fp"": ""1.20"", ""ts"": 1781669725, ""ts_ms"": 1781669725983, ""time"": ""2026-06-17T04:15:25.983385Z""}}",KXMLBTEAMTOTAL-26JUN162140PITATH,mlb,ATH,PIT,,team_total,40,90,10,60,77,5897,4677,ws_ticker
3429293,KXMLBTEAMTOTAL-26JUN161915SFATL-SF8,2026-06-17T04:15:26.012547+00:00,,,57,35,"{""type"": ""ticker"", ""sid"": 1, ""msg"": {""market_id"": ""54f3b081-212a-4a24-ad23-1bf492100a8e"", ""market_ticker"": ""KXMLBTEAMTOTAL-26JUN161915SFATL-SF8"", ""price_dollars"": ""0.2000"", ""yes_bid_dollars"": ""0.0700"", ""yes_ask_dollars"": ""0.6400"", ""volume_fp"": ""5341.70"", ""open_interest_fp"": ""5341.70"", ""dollar_volume"": 2670, ""dollar_open_interest"": 2670, ""yes_bid_size_fp"": ""3.00"", ""yes_ask_size_fp"": ""1.00"", ""last_trade_size_fp"": ""1.00"", ""ts"": 1781669725, ""ts_ms"": 1781669725085, ""time"": ""2026-06-17T04:15:25.085121Z""}}",KXMLBTEAMTOTAL-26JUN161915SFATL,mlb,ATL,SF,,team_total,7,64,36,93,20,5341,5341,ws_ticker
3429292,KXMLBTEAMTOTAL-26JUN162140PITATH-ATH6,2026-06-17T04:15:26.012078+00:00,,,27,77,"{""type"": ""ticker"", ""sid"": 1, ""msg"": {""market_id"": ""ed360a1f-9710-4c68-a1a3-02d5df386a83"", ""market_ticker"": ""KXMLBTEAMTOTAL-26JUN162140PITATH-ATH6"", ""price_dollars"": ""0.7100"", ""yes_bid_dollars"": ""0.6400"", ""yes_ask_dollars"": ""0.9100"", ""volume_fp"": ""15858.16"", ""open_interest_fp"": ""13764.28"", ""dollar_volume"": 7929, ""dollar_open_interest"": 6882, ""yes_bid_size_fp"": ""1.00"", ""yes_ask_size_fp"": ""1.00"", ""last_trade_size_fp"": ""115.94"", ""ts"": 1781669724, ""ts_ms"": 1781669724972, ""time"": ""2026-06-17T04:15:24.972037Z""}}",KXMLBTEAMTOTAL-26JUN162140PITATH,mlb,ATH,PIT,,team_total,64,91,9,36,71,15858,13764,ws_ticker
3429291,KXMLBTEAMTOTAL-26JUN162140PITATH-ATH8,2026-06-17T04:15:26.011607+00:00,,,56,35,"{""type"": ""ticker"", ""sid"": 1, ""msg"": {""market_id"": ""b44f60d5-dd63-43f9-b361-9aadd408d66f"", ""market_ticker"": ""KXMLBTEAMTOTAL-26JUN162140PITATH-ATH8"", ""price_dollars"": ""0.0700"", ""yes_bid_dollars"": ""0.0700"", ""yes_ask_dollars"": ""0.6300"", ""volume_fp"": ""4173.00"", ""open_interest_fp"": ""3067.30"", ""dollar_volume"": 2086, ""dollar_open_interest"": 1533, ""yes_bid_size_fp"": ""914.36"", ""yes_ask_size_fp"": ""1450.00"", ""last_trade_size_fp"": ""535.64"", ""ts"": 1781669724, ""ts_ms"": 1781669724907, ""time"": ""2026-06-17T04:15:24.907969Z""}}",KXMLBTEAMTOTAL-26JUN162140PITATH,mlb,ATH,PIT,,team_total,7,63,37,93,7,4173,3067,ws_ticker
3429290,KXMLBTEAMTOTAL-26JUN162140PITATH-PIT8,2026-06-17T04:15:26.011060+00:00,,,37,25,"{""type"": ""ticker"", ""sid"": 1, ""msg"": {""market_id"": ""1d254009-c1a6-4e0b-97af-854fc91d41b2"", ""market_ticker"": ""KXMLBTEAMTOTAL-26JUN162140PITATH-PIT8"", ""price_dollars"": ""0.4500"", ""yes_bid_dollars"": ""0.0700"", ""yes_ask_dollars"": ""0.4400"", ""volume_fp"": ""1298.02"", ""open_interest_fp"": ""1296.72"", ""dollar_volume"": 649, ""dollar_open_interest"": 648, ""yes_bid_size_fp"": ""1.00"", ""yes_ask_size_fp"": ""1450.00"", ""last_trade_size_fp"": ""0.34"", ""ts"": 1781669724, ""ts_ms"": 1781669724876, ""time"": ""2026-06-17T04:15:24.876891Z""}}",KXMLBTEAMTOTAL-26JUN162140PITATH,mlb,ATH,PIT,,team_total,7,44,56,93,45,1298,1296,ws_ticker
3429289,KXMLBTEAMTOTAL-26JUN162140PITATH-PIT7,2026-06-17T04:15:26.010463+00:00,,,28,37,"{""type"": ""ticker"", ""sid"": 1, ""msg"": {""market_id"": ""e18aec3f-027a-4ae6-93ef-a451f4d6ed8b"", ""market_ticker"": ""KXMLBTEAMTOTAL-26JUN162140PITATH-PIT7"", ""price_dollars"": ""0.6100"", ""yes_bid_dollars"": ""0.2300"", ""yes_ask_dollars"": ""0.5100"", ""volume_fp"": ""2224.22"", ""open_interest_fp"": ""2175.06"", ""dollar_volume"": 1112, ""dollar_open_interest"": 1087, ""yes_bid_size_fp"": ""299.00"", ""yes_ask_size_fp"": ""1450.00"", ""last_trade_size_fp"": ""21.34"", ""ts"": 1781669724, ""ts_ms"": 1781669724876, ""time"": ""2026-06-17T04:15:24.8764Z""}}",KXMLBTEAMTOTAL-26JUN162140PITATH,mlb,ATH,PIT,,team_total,23,51,49,77,61,2224,2175,ws_ticker
