id,market_ticker,snapped_at,yes_bids_json,yes_asks_json,spread_cents,mid_cents,raw_json,event_ticker,sport,home_team,away_team,game_pk,market_type,yes_bid,yes_ask,no_bid,no_ask,last_price,volume,open_interest,source
3429310,KXMLBTEAMTOTAL-26JUN161915SFATL-SF8,2026-06-17T04:15:33.011033+00:00,,,57,35,"{""type"": ""ticker"", ""sid"": 1, ""msg"": {""market_id"": ""54f3b081-212a-4a24-ad23-1bf492100a8e"", ""market_ticker"": ""KXMLBTEAMTOTAL-26JUN161915SFATL-SF8"", ""price_dollars"": ""0.2000"", ""yes_bid_dollars"": ""0.0700"", ""yes_ask_dollars"": ""0.6400"", ""volume_fp"": ""5341.70"", ""open_interest_fp"": ""5341.70"", ""dollar_volume"": 2670, ""dollar_open_interest"": 2670, ""yes_bid_size_fp"": ""1.00"", ""yes_ask_size_fp"": ""1.00"", ""last_trade_size_fp"": ""1.00"", ""ts"": 1781669732, ""ts_ms"": 1781669732029, ""time"": ""2026-06-17T04:15:32.029939Z""}}",KXMLBTEAMTOTAL-26JUN161915SFATL,mlb,ATL,SF,,team_total,7,64,36,93,20,5341,5341,ws_ticker
3429309,KXMLBTEAMTOTAL-26JUN162140PITATH-ATH8,2026-06-17T04:15:33.010298+00:00,,,69,39,"{""type"": ""ticker"", ""sid"": 1, ""msg"": {""market_id"": ""b44f60d5-dd63-43f9-b361-9aadd408d66f"", ""market_ticker"": ""KXMLBTEAMTOTAL-26JUN162140PITATH-ATH8"", ""price_dollars"": ""0.0700"", ""yes_bid_dollars"": ""0.0500"", ""yes_ask_dollars"": ""0.7400"", ""volume_fp"": ""4173.00"", ""open_interest_fp"": ""3067.30"", ""dollar_volume"": 2086, ""dollar_open_interest"": 1533, ""yes_bid_size_fp"": ""50.00"", ""yes_ask_size_fp"": ""1.00"", ""last_trade_size_fp"": ""535.64"", ""ts"": 1781669731, ""ts_ms"": 1781669731963, ""time"": ""2026-06-17T04:15:31.963386Z""}}",KXMLBTEAMTOTAL-26JUN162140PITATH,mlb,ATH,PIT,,team_total,5,74,26,95,7,4173,3067,ws_ticker
3429308,KXMLBTEAMTOTAL-26JUN161915SFATL-SF8,2026-06-17T04:15:32.012058+00:00,,,57,35,"{""type"": ""ticker"", ""sid"": 1, ""msg"": {""market_id"": ""54f3b081-212a-4a24-ad23-1bf492100a8e"", ""market_ticker"": ""KXMLBTEAMTOTAL-26JUN161915SFATL-SF8"", ""price_dollars"": ""0.2000"", ""yes_bid_dollars"": ""0.0700"", ""yes_ask_dollars"": ""0.6400"", ""volume_fp"": ""5341.70"", ""open_interest_fp"": ""5341.70"", ""dollar_volume"": 2670, ""dollar_open_interest"": 2670, ""yes_bid_size_fp"": ""3.00"", ""yes_ask_size_fp"": ""1.00"", ""last_trade_size_fp"": ""1.00"", ""ts"": 1781669731, ""ts_ms"": 1781669731114, ""time"": ""2026-06-17T04:15:31.114802Z""}}",KXMLBTEAMTOTAL-26JUN161915SFATL,mlb,ATL,SF,,team_total,7,64,36,93,20,5341,5341,ws_ticker
3429307,KXMLBTEAMTOTAL-26JUN162140PITATH-ATH6,2026-06-17T04:15:32.011586+00:00,,,26,77,"{""type"": ""ticker"", ""sid"": 1, ""msg"": {""market_id"": ""ed360a1f-9710-4c68-a1a3-02d5df386a83"", ""market_ticker"": ""KXMLBTEAMTOTAL-26JUN162140PITATH-ATH6"", ""price_dollars"": ""0.7100"", ""yes_bid_dollars"": ""0.6400"", ""yes_ask_dollars"": ""0.9000"", ""volume_fp"": ""15858.16"", ""open_interest_fp"": ""13764.28"", ""dollar_volume"": 7929, ""dollar_open_interest"": 6882, ""yes_bid_size_fp"": ""1.00"", ""yes_ask_size_fp"": ""1.00"", ""last_trade_size_fp"": ""115.94"", ""ts"": 1781669731, ""ts_ms"": 1781669731018, ""time"": ""2026-06-17T04:15:31.018094Z""}}",KXMLBTEAMTOTAL-26JUN162140PITATH,mlb,ATH,PIT,,team_total,64,90,10,36,71,15858,13764,ws_ticker
3429306,KXMLBTEAMTOTAL-26JUN162140PITATH-ATH8,2026-06-17T04:15:32.011122+00:00,,,66,41,"{""type"": ""ticker"", ""sid"": 1, ""msg"": {""market_id"": ""b44f60d5-dd63-43f9-b361-9aadd408d66f"", ""market_ticker"": ""KXMLBTEAMTOTAL-26JUN162140PITATH-ATH8"", ""price_dollars"": ""0.0700"", ""yes_bid_dollars"": ""0.0800"", ""yes_ask_dollars"": ""0.7400"", ""volume_fp"": ""4173.00"", ""open_interest_fp"": ""3067.30"", ""dollar_volume"": 2086, ""dollar_open_interest"": 1533, ""yes_bid_size_fp"": ""1450.00"", ""yes_ask_size_fp"": ""1.00"", ""last_trade_size_fp"": ""535.64"", ""ts"": 1781669730, ""ts_ms"": 1781669730974, ""time"": ""2026-06-17T04:15:30.974592Z""}}",KXMLBTEAMTOTAL-26JUN162140PITATH,mlb,ATH,PIT,,team_total,8,74,26,92,7,4173,3067,ws_ticker
3429305,KXMLBTEAMTOTAL-26JUN162140PITATH-ATH7,2026-06-17T04:15:32.010508+00:00,,,55,63,"{""type"": ""ticker"", ""sid"": 1, ""msg"": {""market_id"": ""8810ac6d-5904-4eef-8cbe-0606fb20fea8"", ""market_ticker"": ""KXMLBTEAMTOTAL-26JUN162140PITATH-ATH7"", ""price_dollars"": ""0.3800"", ""yes_bid_dollars"": ""0.3600"", ""yes_ask_dollars"": ""0.9100"", ""volume_fp"": ""5335.68"", ""open_interest_fp"": ""4236.44"", ""dollar_volume"": 2667, ""dollar_open_interest"": 2118, ""yes_bid_size_fp"": ""1.00"", ""yes_ask_size_fp"": ""50.00"", ""last_trade_size_fp"": ""15.71"", ""ts"": 1781669730, ""ts_ms"": 1781669730844, ""time"": ""2026-06-17T04:15:30.844973Z""}}",KXMLBTEAMTOTAL-26JUN162140PITATH,mlb,ATH,PIT,,team_total,36,91,9,64,38,5335,4236,ws_ticker
3429304,KXMLBTEAMTOTAL-26JUN161915SFATL-SF8,2026-06-17T04:15:31.009885+00:00,,,57,35,"{""type"": ""ticker"", ""sid"": 1, ""msg"": {""market_id"": ""54f3b081-212a-4a24-ad23-1bf492100a8e"", ""market_ticker"": ""KXMLBTEAMTOTAL-26JUN161915SFATL-SF8"", ""price_dollars"": ""0.2000"", ""yes_bid_dollars"": ""0.0700"", ""yes_ask_dollars"": ""0.6400"", ""volume_fp"": ""5341.70"", ""open_interest_fp"": ""5341.70"", ""dollar_volume"": 2670, ""dollar_open_interest"": 2670, ""yes_bid_size_fp"": ""1.00"", ""yes_ask_size_fp"": ""1.00"", ""last_trade_size_fp"": ""1.00"", ""ts"": 1781669730, ""ts_ms"": 1781669730123, ""time"": ""2026-06-17T04:15:30.123459Z""}}",KXMLBTEAMTOTAL-26JUN161915SFATL,mlb,ATL,SF,,team_total,7,64,36,93,20,5341,5341,ws_ticker
3429303,KXMLBTEAMTOTAL-26JUN161915SFATL-SF8,2026-06-17T04:15:30.011586+00:00,,,57,35,"{""type"": ""ticker"", ""sid"": 1, ""msg"": {""market_id"": ""54f3b081-212a-4a24-ad23-1bf492100a8e"", ""market_ticker"": ""KXMLBTEAMTOTAL-26JUN161915SFATL-SF8"", ""price_dollars"": ""0.2000"", ""yes_bid_dollars"": ""0.0700"", ""yes_ask_dollars"": ""0.6400"", ""volume_fp"": ""5341.70"", ""open_interest_fp"": ""5341.70"", ""dollar_volume"": 2670, ""dollar_open_interest"": 2670, ""yes_bid_size_fp"": ""3.00"", ""yes_ask_size_fp"": ""1.00"", ""last_trade_size_fp"": ""1.00"", ""ts"": 1781669729, ""ts_ms"": 1781669729183, ""time"": ""2026-06-17T04:15:29.183956Z""}}",KXMLBTEAMTOTAL-26JUN161915SFATL,mlb,ATL,SF,,team_total,7,64,36,93,20,5341,5341,ws_ticker
3429302,KXMLBTEAMTOTAL-26JUN162140PITATH-ATH7,2026-06-17T04:15:30.011093+00:00,,,56,64,"{""type"": ""ticker"", ""sid"": 1, ""msg"": {""market_id"": ""8810ac6d-5904-4eef-8cbe-0606fb20fea8"", ""market_ticker"": ""KXMLBTEAMTOTAL-26JUN162140PITATH-ATH7"", ""price_dollars"": ""0.3800"", ""yes_bid_dollars"": ""0.3600"", ""yes_ask_dollars"": ""0.9200"", ""volume_fp"": ""5335.68"", ""open_interest_fp"": ""4236.44"", ""dollar_volume"": 2667, ""dollar_open_interest"": 2118, ""yes_bid_size_fp"": ""1.00"", ""yes_ask_size_fp"": ""25.00"", ""last_trade_size_fp"": ""15.71"", ""ts"": 1781669728, ""ts_ms"": 1781669728871, ""time"": ""2026-06-17T04:15:28.871969Z""}}",KXMLBTEAMTOTAL-26JUN162140PITATH,mlb,ATH,PIT,,team_total,36,92,8,64,38,5335,4236,ws_ticker
3429301,KXMLBTEAMTOTAL-26JUN162140PITATH-PIT6,2026-06-17T04:15:30.010457+00:00,,,48,64,"{""type"": ""ticker"", ""sid"": 1, ""msg"": {""market_id"": ""255c197b-e90f-4c6c-8149-a50559a8fe80"", ""market_ticker"": ""KXMLBTEAMTOTAL-26JUN162140PITATH-PIT6"", ""price_dollars"": ""0.7700"", ""yes_bid_dollars"": ""0.4000"", ""yes_ask_dollars"": ""0.8800"", ""volume_fp"": ""5897.62"", ""open_interest_fp"": ""4677.22"", ""dollar_volume"": 2948, ""dollar_open_interest"": 2338, ""yes_bid_size_fp"": ""5.00"", ""yes_ask_size_fp"": ""16.00"", ""last_trade_size_fp"": ""1.20"", ""ts"": 1781669728, ""ts_ms"": 1781669728677, ""time"": ""2026-06-17T04:15:28.677874Z""}}",KXMLBTEAMTOTAL-26JUN162140PITATH,mlb,ATH,PIT,,team_total,40,88,12,60,77,5897,4677,ws_ticker
