id,game_pk,checked_at,status,inning,inning_half,outs,away_score,home_score,balls,strikes,runner_state,current_batter,current_pitcher
17719,824991,2026-06-17T00:15:17.284315,Live,8,bottom,1,5,5,1,2,1--,Colby Thomas,Mason Montgomery
17718,824912,2026-06-17T00:15:16.194114,Live,2,bottom,0,3,2,0,0,,Mike Yastrzemski,Adrian Houser
17717,824991,2026-06-17T00:14:44.808768,Live,8,bottom,1,5,5,1,2,1--,Colby Thomas,Mason Montgomery
17716,824912,2026-06-17T00:14:43.728300,Live,2,bottom,0,3,2,0,0,,Mike Yastrzemski,Adrian Houser
17715,824991,2026-06-17T00:14:12.477721,Live,8,bottom,1,5,5,1,2,1--,Colby Thomas,Mason Montgomery
17714,824912,2026-06-17T00:14:11.478605,Live,2,bottom,0,3,2,0,0,,Mike Yastrzemski,Adrian Houser
17713,824991,2026-06-17T00:13:40.244287,Live,8,bottom,1,5,5,0,1,1--,Colby Thomas,Mason Montgomery
17712,824912,2026-06-17T00:13:39.249404,Live,2,bottom,0,3,2,0,0,,Mike Yastrzemski,Adrian Houser
17711,824991,2026-06-17T00:13:08.066066,Live,8,bottom,1,5,5,0,0,1--,Colby Thomas,Mason Montgomery
17710,824912,2026-06-17T00:13:07.010502,Live,2,bottom,0,3,2,0,0,,Mike Yastrzemski,Adrian Houser
17709,824991,2026-06-17T00:12:35.669783,Live,8,bottom,1,5,5,4,1,1--,Zack Gelof,Mason Montgomery
17708,824912,2026-06-17T00:12:34.675901,Live,2,bottom,0,3,2,0,0,,Mike Yastrzemski,Adrian Houser
17707,824991,2026-06-17T00:12:03.203857,Live,8,bottom,1,5,5,3,1,,Zack Gelof,Mason Montgomery
17706,824912,2026-06-17T00:12:02.211016,Live,2,bottom,0,3,2,0,0,,Mike Yastrzemski,Adrian Houser
17705,825070,2026-06-17T00:11:30.883225,Final,9,bottom,3,7,0,0,1,,Nolan Arenado,Chase Silseth
17704,824991,2026-06-17T00:11:29.849691,Live,8,bottom,1,5,5,2,0,,Zack Gelof,Mason Montgomery
17703,824912,2026-06-17T00:11:28.884172,Live,2,bottom,0,3,2,0,0,,Mike Yastrzemski,Adrian Houser
17702,825070,2026-06-17T00:10:57.570519,Live,9,bottom,3,7,0,0,1,,Nolan Arenado,Chase Silseth
17701,824991,2026-06-17T00:10:56.470820,Live,8,bottom,1,5,5,0,0,,Zack Gelof,Mason Montgomery
17700,824912,2026-06-17T00:10:55.333851,Live,2,bottom,0,3,2,0,0,,Mike Yastrzemski,Adrian Houser
17699,825070,2026-06-17T00:10:24.089710,Live,9,bottom,2,7,0,0,1,-2-,Nolan Arenado,Chase Silseth
17698,824991,2026-06-17T00:10:23.042691,Live,8,bottom,0,5,5,1,2,,Max Muncy,Mason Montgomery
17697,824912,2026-06-17T00:10:22.019356,Live,2,bottom,0,3,2,0,0,,Mike Yastrzemski,Adrian Houser
17696,825070,2026-06-17T00:09:50.642987,Live,9,bottom,2,7,0,0,0,1--,Nolan Arenado,Chase Silseth
17695,824991,2026-06-17T00:09:49.560409,Live,8,bottom,0,5,5,1,1,,Max Muncy,Mason Montgomery
17694,824912,2026-06-17T00:09:48.413772,Live,2,bottom,0,3,2,0,0,,Mike Yastrzemski,Adrian Houser
17693,825070,2026-06-17T00:09:17.053801,Live,9,bottom,1,7,0,1,2,1--,Lourdes Gurriel Jr.,Chase Silseth
17692,824991,2026-06-17T00:09:15.697784,Live,8,bottom,0,5,5,0,0,,Carlos Cortes,Mason Montgomery
17691,824912,2026-06-17T00:09:14.663826,Live,2,bottom,0,3,2,0,0,,Mike Yastrzemski,Adrian Houser
17690,825070,2026-06-17T00:08:43.123200,Live,9,bottom,1,7,0,0,2,1--,Lourdes Gurriel Jr.,Chase Silseth
17689,824991,2026-06-17T00:08:42.063484,Live,8,bottom,0,5,5,0,0,,Carlos Cortes,Mason Montgomery
17688,824912,2026-06-17T00:08:41.074814,Live,2,bottom,0,3,2,0,0,,Mike Yastrzemski,Adrian Houser
17687,825070,2026-06-17T00:08:09.764571,Live,9,bottom,1,7,0,2,2,1--,Corbin Carroll,Chase Silseth
17686,824991,2026-06-17T00:08:08.668360,Live,8,top,3,5,5,2,1,,Jared Triolo,Mark Leiter Jr.
17685,824912,2026-06-17T00:08:07.247798,Live,2,bottom,0,3,2,0,0,,Mike Yastrzemski,Adrian Houser
17684,825070,2026-06-17T00:07:35.768472,Live,9,bottom,1,7,0,2,2,,Corbin Carroll,Chase Silseth
17683,824991,2026-06-17T00:07:34.497784,Live,8,top,3,5,5,2,1,,Jared Triolo,Mark Leiter Jr.
17682,824912,2026-06-17T00:07:33.269457,Live,2,bottom,0,3,2,0,0,,Mike Yastrzemski,Adrian Houser
17681,825070,2026-06-17T00:07:01.680825,Live,9,bottom,1,7,0,1,2,,Corbin Carroll,Chase Silseth
17680,824991,2026-06-17T00:07:00.395423,Live,8,top,2,5,5,2,1,-2-,Jared Triolo,Mark Leiter Jr.
17679,824912,2026-06-17T00:06:59.148330,Live,2,bottom,0,3,2,0,0,,Mike Yastrzemski,Adrian Houser
17678,825070,2026-06-17T00:06:27.592994,Live,9,bottom,1,7,0,0,1,,Corbin Carroll,Chase Silseth
