id,candidate_type,game_pk,game_id,market_ticker,event_ticker,market_type,settlement_horizon,selected_team_abbr,line_value,side,decision_time,available_data_cutoff,mlb_play_event_id,trigger_event_type,trigger_description,inning,half_inning,outs,score_away,score_home,runners_state,entry_yes_bid,entry_yes_ask,entry_no_bid,entry_no_ask,spread_cents,expected_fill_price,market_mismatch_score,baseball_support_score,execution_quality_score,risk_blocker_score,overall_watch_score,confidence_breakdown_json,baseball_context_json,market_context_json,guardrails_json,blocked_reason,eligible_for_paper,status,created_at,updated_at,dedupe_key,first_seen_at,last_seen_at,seen_count,opening_price_cents,current_mid_price_cents,price_delta_from_open_cents,has_baseline_price,implied_probability_open,implied_probability_current,baseline_explanation,baseline_source,baseline_quality,derivative_type,read_type,selected_derivative_type,derivative_rationale,rejected_derivatives_json
1595,full_game_total_extreme_reprice_watch,823128,BAL@SEA,KXMLBTOTAL-26JUN162140BALSEA-9,KXMLBTOTAL-26JUN162140BALSEA,full_game_total,full_game,,9.0,NO,,,,full_game_total_reprice,Full-game mid repriced +42c from neutral 50c after 1 scoring play(s),9,top,1,1,3,1--,42,43,,,1,,25.0,50.0,100.0,0.0,62.5,"{""market_mismatch"": 25.0, ""baseball_support"": 50.0, ""execution_quality"": 100.0, ""risk_blocker"": 0.0, ""overall_watch"": 62.5}","{""baseball_support_base"": 50.0, ""play_event_adjustment"": 0.0, ""team_context_adjustment"": 0.0, ""final_baseball_support_score"": 50.0, ""support_reasons"": [], ""contradiction_reasons"": [], ""missing_context_reasons"": []}",,"{""passed"": false, ""blocked_reason"": ""rally_still_active"", ""warnings"": [], ""guardrails_checked"": [""semantics_unclear"", ""horizon_mismatch"", ""missing_bid_ask"", ""wide_spread_hard_block"", ""wide_spread_observe_only"", ""rally_still_active""]}",rally_still_active,0,blocked,2026-06-16T23:55:50.092845,2026-06-16T23:58:50.893786,BAL@SEA|KXMLBTOTAL-26JUN162140BALSEA-9|full_game_total_extreme_reprice_watch|9|top|1|3|blocked|rally_still_active|40,2026-06-16T23:55:50.092816,2026-06-16T23:58:50.893786,4,0,42,42,1,0.0,0.42,"Market moved +42¢ from open (0¢ → 42¢). Spread is 1¢. First observed baseline, not confirmed open.",first_discovery,medium,fg_total,market_overreaction,fg_total,Full-game total selected because the read is a full-game total reprice/overreaction after scoring.,"[{""derivative_type"": ""fg_spread"", ""reason"": ""read is total-specific, not a run-line edge""}, {""derivative_type"": ""f5_total"", ""reason"": ""overreaction is to full-game total, not F5 window""}, {""derivative_type"": ""team_total"", ""reason"": ""signal is symmetric across both teams""}]"
1594,full_game_total_extreme_reprice_watch,823128,BAL@SEA,KXMLBTOTAL-26JUN162140BALSEA-9,KXMLBTOTAL-26JUN162140BALSEA,full_game_total,full_game,,9.0,NO,,,,full_game_total_reprice,Full-game mid repriced +42c from neutral 50c after 1 scoring play(s),9,top,0,1,3,,42,43,,,1,,25.0,50.0,100.0,0.0,62.5,"{""market_mismatch"": 25.0, ""baseball_support"": 50.0, ""execution_quality"": 100.0, ""risk_blocker"": 0.0, ""overall_watch"": 62.5}","{""baseball_support_base"": 50.0, ""play_event_adjustment"": 0.0, ""team_context_adjustment"": 0.0, ""final_baseball_support_score"": 50.0, ""support_reasons"": [], ""contradiction_reasons"": [], ""missing_context_reasons"": []}",,"{""passed"": false, ""blocked_reason"": ""market_nearly_settled"", ""warnings"": [], ""guardrails_checked"": [""semantics_unclear"", ""horizon_mismatch"", ""missing_bid_ask"", ""wide_spread_hard_block"", ""wide_spread_observe_only"", ""rally_still_active"", ""market_nearly_settled""]}",market_nearly_settled,0,blocked,2026-06-16T23:50:50.018471,2026-06-16T23:54:50.078246,BAL@SEA|KXMLBTOTAL-26JUN162140BALSEA-9|full_game_total_extreme_reprice_watch|9|top|1|3|blocked|market_nearly_settled|40,2026-06-16T23:50:50.018390,2026-06-16T23:54:50.078246,5,0,42,42,1,0.0,0.42,"Market moved +42¢ from open (0¢ → 42¢). Spread is 1¢. First observed baseline, not confirmed open.",first_discovery,medium,fg_total,market_overreaction,fg_total,Full-game total selected because the read is a full-game total reprice/overreaction after scoring.,"[{""derivative_type"": ""fg_spread"", ""reason"": ""read is total-specific, not a run-line edge""}, {""derivative_type"": ""f5_total"", ""reason"": ""overreaction is to full-game total, not F5 window""}, {""derivative_type"": ""team_total"", ""reason"": ""signal is symmetric across both teams""}]"
1593,full_game_total_extreme_reprice_watch,823128,BAL@SEA,KXMLBTOTAL-26JUN162140BALSEA-9,KXMLBTOTAL-26JUN162140BALSEA,full_game_total,full_game,,9.0,NO,,,,full_game_total_reprice,Full-game mid repriced +42c from neutral 50c after 1 scoring play(s),8,bottom,0,1,3,1--,42,43,,,1,,25.0,50.0,100.0,0.0,62.5,"{""market_mismatch"": 25.0, ""baseball_support"": 50.0, ""execution_quality"": 100.0, ""risk_blocker"": 0.0, ""overall_watch"": 62.5}","{""baseball_support_base"": 50.0, ""play_event_adjustment"": 0.0, ""team_context_adjustment"": 0.0, ""final_baseball_support_score"": 50.0, ""support_reasons"": [], ""contradiction_reasons"": [], ""missing_context_reasons"": []}",,"{""passed"": false, ""blocked_reason"": ""rally_still_active"", ""warnings"": [], ""guardrails_checked"": [""semantics_unclear"", ""horizon_mismatch"", ""missing_bid_ask"", ""wide_spread_hard_block"", ""wide_spread_observe_only"", ""rally_still_active""]}",rally_still_active,0,blocked,2026-06-16T23:44:49.163044,2026-06-16T23:48:49.988717,BAL@SEA|KXMLBTOTAL-26JUN162140BALSEA-9|full_game_total_extreme_reprice_watch|8|bottom|1|3|blocked|rally_still_active|40,2026-06-16T23:44:49.163016,2026-06-16T23:48:49.988717,5,0,42,42,1,0.0,0.42,"Market moved +42¢ from open (0¢ → 42¢). Spread is 1¢. First observed baseline, not confirmed open.",first_discovery,medium,fg_total,market_overreaction,fg_total,Full-game total selected because the read is a full-game total reprice/overreaction after scoring.,"[{""derivative_type"": ""fg_spread"", ""reason"": ""read is total-specific, not a run-line edge""}, {""derivative_type"": ""f5_total"", ""reason"": ""overreaction is to full-game total, not F5 window""}, {""derivative_type"": ""team_total"", ""reason"": ""signal is symmetric across both teams""}]"
1592,full_game_total_extreme_reprice_watch,823128,BAL@SEA,KXMLBTOTAL-26JUN162140BALSEA-9,KXMLBTOTAL-26JUN162140BALSEA,full_game_total,full_game,,9.0,NO,,,,full_game_total_reprice,Full-game mid repriced +42c from neutral 50c after 1 scoring play(s),8,bottom,0,1,3,,42,43,,,1,,25.0,50.0,100.0,0.0,62.5,"{""market_mismatch"": 25.0, ""baseball_support"": 50.0, ""execution_quality"": 100.0, ""risk_blocker"": 0.0, ""overall_watch"": 62.5}","{""baseball_support_base"": 50.0, ""play_event_adjustment"": 0.0, ""team_context_adjustment"": 0.0, ""final_baseball_support_score"": 50.0, ""support_reasons"": [], ""contradiction_reasons"": [], ""missing_context_reasons"": []}",,"{""passed"": false, ""blocked_reason"": ""market_nearly_settled"", ""warnings"": [], ""guardrails_checked"": [""semantics_unclear"", ""horizon_mismatch"", ""missing_bid_ask"", ""wide_spread_hard_block"", ""wide_spread_observe_only"", ""rally_still_active"", ""market_nearly_settled""]}",market_nearly_settled,0,blocked,2026-06-16T23:42:49.130075,2026-06-16T23:49:50.003886,BAL@SEA|KXMLBTOTAL-26JUN162140BALSEA-9|full_game_total_extreme_reprice_watch|8|bottom|1|3|blocked|market_nearly_settled|40,2026-06-16T23:42:49.130033,2026-06-16T23:49:50.003886,3,0,42,42,1,0.0,0.42,"Market moved +42¢ from open (0¢ → 42¢). Spread is 1¢. First observed baseline, not confirmed open.",first_discovery,medium,fg_total,market_overreaction,fg_total,Full-game total selected because the read is a full-game total reprice/overreaction after scoring.,"[{""derivative_type"": ""fg_spread"", ""reason"": ""read is total-specific, not a run-line edge""}, {""derivative_type"": ""f5_total"", ""reason"": ""overreaction is to full-game total, not F5 window""}, {""derivative_type"": ""team_total"", ""reason"": ""signal is symmetric across both teams""}]"
1591,trailing_team_total_lag_watch,824991,PIT@ATH,KXMLBTEAMTOTAL-26JUN162140PITATH-PIT5,KXMLBTEAMTOTAL-26JUN162140PITATH,team_total,full_game,PIT,5.0,YES,,,,trailing_team_total_lag,PIT trails 5-3 in inning 6; team total may be lagging,6,bottom,3,3,5,,41,46,,,5,,25.0,55.0,70.0,0.0,56.5,"{""market_mismatch"": 25.0, ""baseball_support"": 55.0, ""execution_quality"": 70.0, ""risk_blocker"": 0.0, ""overall_watch"": 56.5}","{""baseball_support_base"": 50.0, ""play_event_adjustment"": 0.0, ""team_context_adjustment"": 5.0, ""final_baseball_support_score"": 55.0, ""support_reasons"": [""ATH_defense=27""], ""contradiction_reasons"": [], ""missing_context_reasons"": []}",,"{""passed"": true, ""blocked_reason"": null, ""warnings"": [], ""guardrails_checked"": [""semantics_unclear"", ""horizon_mismatch"", ""missing_bid_ask"", ""wide_spread_hard_block"", ""wide_spread_observe_only"", ""rally_still_active"", ""market_nearly_settled""]}",team_lag_observe_only,0,blocked,2026-06-16T23:39:49.063115,2026-06-16T23:39:49.063115,PIT@ATH|KXMLBTEAMTOTAL-26JUN162140PITATH-PIT5|trailing_team_total_lag_watch|6|bottom|3|5|blocked|team_lag_observe_only|45,2026-06-16T23:39:49.063087,2026-06-16T23:39:49.063087,1,0,44,44,1,0.0,0.44,"Market moved +44¢ from open (0¢ → 44¢). Spread is 5¢. First observed baseline, not confirmed open.",first_discovery,medium,team_total,team_total_lag,team_total,Team total selected because the read is specific to one trailing team's remaining scoring path.,"[{""derivative_type"": ""fg_total"", ""reason"": ""full-game total includes leading team; read is team-specific""}, {""derivative_type"": ""fg_spread"", ""reason"": ""read is about trailing team's scoring, not game margin""}, {""derivative_type"": ""f5_total"", ""reason"": ""trailing team read is late-game, not F5 window""}]"
1590,trailing_team_total_lag_watch,824991,PIT@ATH,KXMLBTEAMTOTAL-26JUN162140PITATH-PIT7,KXMLBTEAMTOTAL-26JUN162140PITATH,team_total,full_game,PIT,7.0,YES,,,,trailing_team_total_lag,PIT trails 5-3 in inning 6; team total may be lagging,6,bottom,3,3,5,,18,23,,,5,,25.0,55.0,70.0,0.0,56.5,"{""market_mismatch"": 25.0, ""baseball_support"": 55.0, ""execution_quality"": 70.0, ""risk_blocker"": 0.0, ""overall_watch"": 56.5}","{""baseball_support_base"": 50.0, ""play_event_adjustment"": 0.0, ""team_context_adjustment"": 5.0, ""final_baseball_support_score"": 55.0, ""support_reasons"": [""ATH_defense=27""], ""contradiction_reasons"": [], ""missing_context_reasons"": []}",,"{""passed"": true, ""blocked_reason"": null, ""warnings"": [], ""guardrails_checked"": [""semantics_unclear"", ""horizon_mismatch"", ""missing_bid_ask"", ""wide_spread_hard_block"", ""wide_spread_observe_only"", ""rally_still_active"", ""market_nearly_settled""]}",team_lag_observe_only,0,blocked,2026-06-16T23:38:49.046358,2026-06-16T23:38:49.046358,PIT@ATH|KXMLBTEAMTOTAL-26JUN162140PITATH-PIT7|trailing_team_total_lag_watch|6|bottom|3|5|blocked|team_lag_observe_only|20,2026-06-16T23:38:49.046329,2026-06-16T23:38:49.046329,1,0,20,20,1,0.0,0.2,"Market moved +20¢ from open (0¢ → 20¢). Spread is 5¢. First observed baseline, not confirmed open.",first_discovery,medium,team_total,team_total_lag,team_total,Team total selected because the read is specific to one trailing team's remaining scoring path.,"[{""derivative_type"": ""fg_total"", ""reason"": ""full-game total includes leading team; read is team-specific""}, {""derivative_type"": ""fg_spread"", ""reason"": ""read is about trailing team's scoring, not game margin""}, {""derivative_type"": ""f5_total"", ""reason"": ""trailing team read is late-game, not F5 window""}]"
1589,full_game_total_extreme_reprice_watch,823128,BAL@SEA,KXMLBTOTAL-26JUN162140BALSEA-9,KXMLBTOTAL-26JUN162140BALSEA,full_game_total,full_game,,9.0,NO,,,,full_game_total_reprice,Full-game mid repriced +42c from neutral 50c after 1 scoring play(s),8,top,0,1,3,,42,43,,,1,,25.0,50.0,100.0,0.0,62.5,"{""market_mismatch"": 25.0, ""baseball_support"": 50.0, ""execution_quality"": 100.0, ""risk_blocker"": 0.0, ""overall_watch"": 62.5}","{""baseball_support_base"": 50.0, ""play_event_adjustment"": 0.0, ""team_context_adjustment"": 0.0, ""final_baseball_support_score"": 50.0, ""support_reasons"": [], ""contradiction_reasons"": [], ""missing_context_reasons"": []}",,"{""passed"": false, ""blocked_reason"": ""market_nearly_settled"", ""warnings"": [], ""guardrails_checked"": [""semantics_unclear"", ""horizon_mismatch"", ""missing_bid_ask"", ""wide_spread_hard_block"", ""wide_spread_observe_only"", ""rally_still_active"", ""market_nearly_settled""]}",market_nearly_settled,0,blocked,2026-06-16T23:37:49.023562,2026-06-16T23:41:49.096021,BAL@SEA|KXMLBTOTAL-26JUN162140BALSEA-9|full_game_total_extreme_reprice_watch|8|top|1|3|blocked|market_nearly_settled|40,2026-06-16T23:37:49.023519,2026-06-16T23:41:49.096021,5,0,42,42,1,0.0,0.42,"Market moved +42¢ from open (0¢ → 42¢). Spread is 1¢. First observed baseline, not confirmed open.",first_discovery,medium,fg_total,market_overreaction,fg_total,Full-game total selected because the read is a full-game total reprice/overreaction after scoring.,"[{""derivative_type"": ""fg_spread"", ""reason"": ""read is total-specific, not a run-line edge""}, {""derivative_type"": ""f5_total"", ""reason"": ""overreaction is to full-game total, not F5 window""}, {""derivative_type"": ""team_total"", ""reason"": ""signal is symmetric across both teams""}]"
1588,trailing_team_total_lag_watch,824991,PIT@ATH,KXMLBTEAMTOTAL-26JUN162140PITATH-PIT8,KXMLBTEAMTOTAL-26JUN162140PITATH,team_total,full_game,PIT,8.0,YES,,,,trailing_team_total_lag,PIT trails 5-3 in inning 6; team total may be lagging,6,bottom,1,3,5,,10,17,,,7,,25.0,55.0,50.0,0.0,51.5,"{""market_mismatch"": 25.0, ""baseball_support"": 55.0, ""execution_quality"": 50.0, ""risk_blocker"": 0.0, ""overall_watch"": 51.5}","{""baseball_support_base"": 50.0, ""play_event_adjustment"": 0.0, ""team_context_adjustment"": 5.0, ""final_baseball_support_score"": 55.0, ""support_reasons"": [""ATH_defense=27""], ""contradiction_reasons"": [], ""missing_context_reasons"": []}",,"{""passed"": true, ""blocked_reason"": null, ""warnings"": [], ""guardrails_checked"": [""semantics_unclear"", ""horizon_mismatch"", ""missing_bid_ask"", ""wide_spread_hard_block"", ""wide_spread_observe_only"", ""rally_still_active"", ""market_nearly_settled""]}",team_lag_observe_only,0,blocked,2026-06-16T23:36:49.007877,2026-06-16T23:37:49.026593,PIT@ATH|KXMLBTEAMTOTAL-26JUN162140PITATH-PIT8|trailing_team_total_lag_watch|6|bottom|3|5|blocked|team_lag_observe_only|15,2026-06-16T23:36:49.007842,2026-06-16T23:37:49.026593,2,0,14,14,1,0.0,0.14,"Market moved +14¢ from open (0¢ → 14¢). Spread is 7¢. First observed baseline, not confirmed open.",first_discovery,medium,team_total,team_total_lag,team_total,Team total selected because the read is specific to one trailing team's remaining scoring path.,"[{""derivative_type"": ""fg_total"", ""reason"": ""full-game total includes leading team; read is team-specific""}, {""derivative_type"": ""fg_spread"", ""reason"": ""read is about trailing team's scoring, not game margin""}, {""derivative_type"": ""f5_total"", ""reason"": ""trailing team read is late-game, not F5 window""}]"
1587,full_game_total_extreme_reprice_watch,823128,BAL@SEA,KXMLBTOTAL-26JUN162140BALSEA-9,KXMLBTOTAL-26JUN162140BALSEA,full_game_total,full_game,,9.0,NO,,,,full_game_total_reprice,Full-game mid repriced +42c from neutral 50c after 1 scoring play(s),7,bottom,3,1,3,,42,43,,,1,,25.0,50.0,100.0,0.0,62.5,"{""market_mismatch"": 25.0, ""baseball_support"": 50.0, ""execution_quality"": 100.0, ""risk_blocker"": 0.0, ""overall_watch"": 62.5}","{""baseball_support_base"": 50.0, ""play_event_adjustment"": 0.0, ""team_context_adjustment"": 0.0, ""final_baseball_support_score"": 50.0, ""support_reasons"": [], ""contradiction_reasons"": [], ""missing_context_reasons"": []}",,"{""passed"": true, ""blocked_reason"": null, ""warnings"": [], ""guardrails_checked"": [""semantics_unclear"", ""horizon_mismatch"", ""missing_bid_ask"", ""wide_spread_hard_block"", ""wide_spread_observe_only"", ""rally_still_active"", ""market_nearly_settled""]}",,0,observed_only,2026-06-16T23:35:48.987113,2026-06-16T23:36:49.005273,BAL@SEA|KXMLBTOTAL-26JUN162140BALSEA-9|full_game_total_extreme_reprice_watch|7|bottom|1|3|observed_only||40,2026-06-16T23:35:48.987059,2026-06-16T23:36:49.005273,2,0,42,42,1,0.0,0.42,"Market moved +42¢ from open (0¢ → 42¢). Spread is 1¢. First observed baseline, not confirmed open.",first_discovery,medium,fg_total,market_overreaction,fg_total,Full-game total selected because the read is a full-game total reprice/overreaction after scoring.,"[{""derivative_type"": ""fg_spread"", ""reason"": ""read is total-specific, not a run-line edge""}, {""derivative_type"": ""f5_total"", ""reason"": ""overreaction is to full-game total, not F5 window""}, {""derivative_type"": ""team_total"", ""reason"": ""signal is symmetric across both teams""}]"
1586,trailing_team_total_lag_watch,824991,PIT@ATH,KXMLBTEAMTOTAL-26JUN162140PITATH-PIT4,KXMLBTEAMTOTAL-26JUN162140PITATH,team_total,full_game,PIT,4.0,YES,,,,trailing_team_total_lag,PIT trails 5-3 in inning 6; team total may be lagging,6,bottom,1,3,5,,61,65,,,4,,25.0,55.0,80.0,0.0,59.0,"{""market_mismatch"": 25.0, ""baseball_support"": 55.0, ""execution_quality"": 80.0, ""risk_blocker"": 0.0, ""overall_watch"": 59.0}","{""baseball_support_base"": 50.0, ""play_event_adjustment"": 0.0, ""team_context_adjustment"": 5.0, ""final_baseball_support_score"": 55.0, ""support_reasons"": [""ATH_defense=27""], ""contradiction_reasons"": [], ""missing_context_reasons"": []}",,"{""passed"": true, ""blocked_reason"": null, ""warnings"": [], ""guardrails_checked"": [""semantics_unclear"", ""horizon_mismatch"", ""missing_bid_ask"", ""wide_spread_hard_block"", ""wide_spread_observe_only"", ""rally_still_active"", ""market_nearly_settled""]}",team_lag_observe_only,0,blocked,2026-06-16T23:34:48.973729,2026-06-16T23:35:48.989102,PIT@ATH|KXMLBTEAMTOTAL-26JUN162140PITATH-PIT4|trailing_team_total_lag_watch|6|bottom|3|5|blocked|team_lag_observe_only|65,2026-06-16T23:34:48.973702,2026-06-16T23:35:48.989102,2,0,63,63,1,0.0,0.63,"Market moved +63¢ from open (0¢ → 63¢). Spread is 4¢. First observed baseline, not confirmed open.",first_discovery,medium,team_total,team_total_lag,team_total,Team total selected because the read is specific to one trailing team's remaining scoring path.,"[{""derivative_type"": ""fg_total"", ""reason"": ""full-game total includes leading team; read is team-specific""}, {""derivative_type"": ""fg_spread"", ""reason"": ""read is about trailing team's scoring, not game margin""}, {""derivative_type"": ""f5_total"", ""reason"": ""trailing team read is late-game, not F5 window""}]"
