group,n_rows,n_missing_tape,avg_delta_mid_30s,avg_delta_mid_60s,avg_delta_mid_120s,avg_max_after_300s,avg_reversal_from_peak,avg_time_to_move_s
cand:f5_total,8,3,,,,99.0,0.0,
cand:fg_total,24,0,0.0,0.0,,85.52,0.0,
cand:team_total,75,23,0.0,0.0,,54.14,-2.5,298.1
event:f5_moneyline,69,69,,,,,,
event:f5_spread,92,24,0.0,0.0,,27.6,0.0,
event:f5_total,161,42,0.0,0.0,,57.65,0.0,
event:fg_moneyline,96,18,0.0,0.0,,49.26,0.0,
event:fg_spread,200,86,0.0,0.0,,26.86,0.0,
event:fg_total,289,96,0.0,0.0,,55.81,0.0,
event:team_total,322,140,0.0,0.0,,46.39,0.0,
