candidate_id,candidate_type,derivative_type,market_ticker,game_pk,inning,half_inning,score_away,score_home,runners_state,baseline_source,original_mismatch,replayed_mismatch,mismatch_capped,mismatch_delta,original_label,replayed_label,replayed_blocked_reason,classification_changed,process_grade,settlement_result,outcome_explanation,paper_setup_id,paper_net_pnl_cents
797,trailing_team_total_lag_watch,team_total,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,824505,1,bottom,0,3,,first_discovery,100.0,25.0,True,75.0,watch,observe,team_lag_observe_only,True,bad_process,unknown,unknown_or_unsettled,15,-29
798,trailing_team_total_lag_watch,team_total,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,824505,2,top,0,3,,first_discovery,100.0,25.0,True,75.0,watch,observe,team_lag_observe_only,True,bad_process,unknown,unknown_or_unsettled,15,-29
800,trailing_team_total_lag_watch,team_total,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,823452,3,bottom,0,3,,first_discovery,4.0,4.0,False,0.0,watch,observe,team_lag_observe_only,True,bad_process,unknown,unknown_or_unsettled,16,
801,trailing_team_total_lag_watch,team_total,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,823452,4,top,0,3,,first_discovery,4.0,4.0,False,0.0,watch,observe,team_lag_observe_only,True,bad_process,unknown,unknown_or_unsettled,16,
802,trailing_team_total_lag_watch,team_total,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,824505,2,bottom,0,3,,first_discovery,100.0,25.0,True,75.0,watch,observe,team_lag_observe_only,True,bad_process,unknown,unknown_or_unsettled,15,-29
807,trailing_team_total_lag_watch,team_total,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,823452,4,bottom,0,3,,first_discovery,4.0,4.0,False,0.0,watch,observe,team_lag_observe_only,True,bad_process,unknown,unknown_or_unsettled,16,
808,trailing_team_total_lag_watch,team_total,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,824505,2,bottom,0,9,,first_discovery,100.0,25.0,True,75.0,watch,suppress,team_lag_blowout,True,bad_process,unknown,unknown_or_unsettled,15,-29
809,trailing_team_total_lag_watch,team_total,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,823452,5,top,0,3,,first_discovery,4.0,4.0,False,0.0,watch,observe,team_lag_observe_only,True,bad_process,unknown,unknown_or_unsettled,16,
810,trailing_team_total_lag_watch,team_total,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,824505,3,top,0,9,,first_discovery,100.0,25.0,True,75.0,watch,suppress,team_lag_blowout,True,bad_process,unknown,unknown_or_unsettled,15,-29
812,trailing_team_total_lag_watch,team_total,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,824505,3,bottom,0,9,,first_discovery,100.0,25.0,True,75.0,watch,suppress,team_lag_blowout,True,bad_process,unknown,unknown_or_unsettled,15,-29
814,trailing_team_total_lag_watch,team_total,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,823452,5,bottom,0,3,,first_discovery,4.0,4.0,False,0.0,watch,observe,team_lag_observe_only,True,bad_process,unknown,unknown_or_unsettled,16,
816,trailing_team_total_lag_watch,team_total,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,823452,5,bottom,0,5,,first_discovery,4.0,4.0,False,0.0,watch,suppress,team_lag_insufficient_baseball_support,True,bad_process,unknown,unknown_or_unsettled,16,
818,trailing_team_total_lag_watch,team_total,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX4,822887,1,top,3,0,,first_discovery,10.0,10.0,False,0.0,watch,observe,team_lag_observe_only,True,bad_process,unknown,unknown_or_unsettled,17,-58
820,trailing_team_total_lag_watch,team_total,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,823452,6,top,0,5,,first_discovery,4.0,4.0,False,0.0,watch,suppress,team_lag_insufficient_baseball_support,True,bad_process,unknown,unknown_or_unsettled,16,
822,trailing_team_total_lag_watch,team_total,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX4,822887,1,bottom,3,0,,first_discovery,10.0,10.0,False,0.0,watch,observe,team_lag_observe_only,True,bad_process,unknown,unknown_or_unsettled,17,-58
823,trailing_team_total_lag_watch,team_total,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,823452,6,bottom,0,5,,first_discovery,4.0,4.0,False,0.0,watch,suppress,team_lag_insufficient_baseball_support,True,bad_process,unknown,unknown_or_unsettled,16,
824,trailing_team_total_lag_watch,team_total,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX6,822887,1,bottom,3,0,,first_discovery,100.0,25.0,True,75.0,watch,observe,team_lag_observe_only,True,bad_process,unknown,unknown_or_unsettled,18,-34
825,trailing_team_total_lag_watch,team_total,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA3,823452,6,bottom,0,5,,first_discovery,100.0,25.0,True,75.0,watch,suppress,team_lag_insufficient_baseball_support,True,bad_process,unknown,unknown_or_unsettled,19,-57
827,trailing_team_total_lag_watch,team_total,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX6,822887,2,top,3,0,,first_discovery,100.0,25.0,True,75.0,watch,observe,team_lag_observe_only,True,bad_process,unknown,unknown_or_unsettled,18,-34
829,trailing_team_total_lag_watch,team_total,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX6,822887,2,bottom,3,0,,first_discovery,100.0,25.0,True,75.0,watch,observe,team_lag_observe_only,True,bad_process,unknown,unknown_or_unsettled,18,-34
833,trailing_team_total_lag_watch,team_total,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX6,822887,3,top,3,0,,first_discovery,100.0,25.0,True,75.0,watch,observe,team_lag_observe_only,True,bad_process,unknown,unknown_or_unsettled,18,-34
834,trailing_team_total_lag_watch,team_total,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,823046,4,bottom,0,2,,first_discovery,100.0,25.0,True,75.0,watch,observe,team_lag_observe_only,True,bad_process,unknown,unknown_or_unsettled,21,
835,trailing_team_total_lag_watch,team_total,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,823046,5,top,0,2,,first_discovery,100.0,25.0,True,75.0,watch,observe,team_lag_observe_only,True,bad_process,unknown,unknown_or_unsettled,21,
836,trailing_team_total_lag_watch,team_total,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU7,824181,2,top,2,0,,first_discovery,12.0,12.0,False,0.0,watch,observe,team_lag_observe_only,True,bad_process,unknown,unknown_or_unsettled,22,
