label,n,n_graded,hit_rate,entry_prob,close_prob,edge_pp,gross_roi_pct,clv_vs_close_pp
all__all,497,497,0.6801,0.6295,0.6367,5.06,8.04,0.72
all__2023,98,98,0.6633,0.6081,0.6114,5.52,9.08,0.33
all__2024,65,65,0.6,0.6454,0.6495,-4.54,-7.03,0.41
all__2025,334,334,0.7006,0.6326,0.6416,6.8,10.75,0.9
opp_weak__all,142,142,0.7465,0.641,0.648,10.55,16.46,0.7
opp_weak__2023,38,38,0.6842,0.6361,0.6431,4.81,7.56,0.7
opp_weak__2024,14,14,0.7143,0.6522,0.6656,6.21,9.52,1.34
opp_weak__2025,90,90,0.7778,0.6413,0.6474,13.65,21.28,0.61
standard__all,355,355,0.6535,0.6248,0.6322,2.87,4.59,0.74
standard__2023,60,60,0.65,0.5903,0.5914,5.97,10.11,0.11
standard__2024,51,51,0.5686,0.6435,0.6451,-7.49,-11.64,0.16
standard__2025,244,244,0.6721,0.6294,0.6395,4.27,6.78,1.01
