game_date,away_team,home_team,away_abbr,home_abbr,away_pitcher,home_pitcher,start_time,book_count,books_with_current,books_with_open,home_no_vig_avg,away_no_vig_avg,home_no_vig_median,away_no_vig_median,home_no_vig_open_avg,away_no_vig_open_avg,home_no_vig_open_median,away_no_vig_open_median,source_url
2023-03-30,San Francisco Giants,New York Yankees,SF,NYY,L. Webb,G. Cole,2023-03-30T17:05:00,5,5,5,0.6104,0.3896,0.6121,0.3879,0.6041,0.3959,0.6067,0.3933,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2023-03-30
2023-03-30,Atlanta Braves,Washington Nationals,ATL,WSN,M. Fried,P. Corbin,2023-03-30T17:05:00,5,5,5,0.3083,0.6917,0.3065,0.6935,0.3296,0.6704,0.3286,0.6714,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2023-03-30
2023-03-30,Baltimore Orioles,Boston Red Sox,BAL,BOS,K. Gibson,C. Kluber,2023-03-30T18:10:00,5,5,5,0.53,0.47,0.5325,0.4675,0.5463,0.4537,0.5468,0.4532,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2023-03-30
2023-03-30,Milwaukee Brewers,Chicago Cubs,MIL,CHC,C. Burnes,M. Stroman,2023-03-30T18:20:00,5,5,5,0.4458,0.5542,0.4474,0.5526,0.4564,0.5436,0.4573,0.5427,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2023-03-30
2023-03-30,Detroit Tigers,Tampa Bay Rays,DET,TB,E. Rodriguez,S. McClanahan,2023-03-30T19:10:00,5,5,5,0.6756,0.3244,0.6792,0.3208,0.6591,0.3409,0.6588,0.3412,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2023-03-30
2023-03-30,Philadelphia Phillies,Texas Rangers,PHI,TEX,A. Nola,J. deGrom,2023-03-30T20:05:00,5,5,5,0.5604,0.4396,0.5583,0.4417,0.5319,0.4681,0.5325,0.4675,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2023-03-30
2023-03-30,Pittsburgh Pirates,Cincinnati Reds,PIT,CIN,M. Keller,H. Greene,2023-03-30T20:10:00,5,5,5,0.5548,0.4452,0.5564,0.4436,0.5537,0.4463,0.5605,0.4395,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2023-03-30
2023-03-30,Minnesota Twins,Kansas City Royals,MIN,KC,P. Lopez,Z. Greinke,2023-03-30T20:10:00,5,5,5,0.4128,0.5872,0.4082,0.5918,0.4199,0.5801,0.4289,0.5711,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2023-03-30
2023-03-30,Toronto Blue Jays,St. Louis Cardinals,TOR,STL,A. Manoah,M. Mikolas,2023-03-30T20:10:00,5,5,5,0.4989,0.5011,0.5,0.5,0.5004,0.4996,0.5108,0.4892,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2023-03-30
2023-03-30,New York Mets,Miami Marlins,NYM,MIA,M. Scherzer,S. Alcantara,2023-03-30T20:10:00,5,5,5,0.4629,0.5371,0.463,0.537,0.464,0.536,0.4675,0.5325,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2023-03-30
