game_date,away_team,home_team,away_abbr,home_abbr,reason,source_url
2025-03-27,Athletics Athletics,Seattle Mariners,,SEA,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-03-27
2025-03-28,Athletics Athletics,Seattle Mariners,,SEA,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-03-28
2025-03-29,Athletics Athletics,Seattle Mariners,,SEA,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-03-29
2025-03-30,Athletics Athletics,Seattle Mariners,,SEA,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-03-30
2025-03-31,Chicago Cubs,Athletics Athletics,CHC,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-03-31
2025-04-01,Chicago Cubs,Athletics Athletics,CHC,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-04-01
2025-04-02,Chicago Cubs,Athletics Athletics,CHC,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-04-02
2025-04-04,Athletics Athletics,Colorado Rockies,,COL,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-04-04
2025-04-05,Athletics Athletics,Colorado Rockies,,COL,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-04-05
2025-04-06,Athletics Athletics,Colorado Rockies,,COL,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-04-06
2025-04-07,San Diego Padres,Athletics Athletics,SD,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-04-07
2025-04-08,San Diego Padres,Athletics Athletics,SD,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-04-08
2025-04-09,San Diego Padres,Athletics Athletics,SD,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-04-09
2025-04-11,New York Mets,Athletics Athletics,NYM,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-04-11
2025-04-12,New York Mets,Athletics Athletics,NYM,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-04-12
2025-04-13,New York Mets,Athletics Athletics,NYM,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-04-13
2025-04-15,Athletics Athletics,Chicago White Sox,,CWS,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-04-15
2025-04-16,Athletics Athletics,Chicago White Sox,,CWS,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-04-16
2025-04-17,Athletics Athletics,Chicago White Sox,,CWS,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-04-17
2025-04-18,Athletics Athletics,Milwaukee Brewers,,MIL,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-04-18
2025-04-19,Athletics Athletics,Milwaukee Brewers,,MIL,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-04-19
2025-04-20,Athletics Athletics,Milwaukee Brewers,,MIL,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-04-20
2025-04-22,Texas Rangers,Athletics Athletics,TEX,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-04-22
2025-04-23,Texas Rangers,Athletics Athletics,TEX,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-04-23
2025-04-24,Texas Rangers,Athletics Athletics,TEX,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-04-24
2025-04-25,Chicago White Sox,Athletics Athletics,CWS,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-04-25
2025-04-26,Chicago White Sox,Athletics Athletics,CWS,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-04-26
2025-04-27,Chicago White Sox,Athletics Athletics,CWS,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-04-27
2025-04-28,Athletics Athletics,Texas Rangers,,TEX,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-04-28
2025-04-29,Athletics Athletics,Texas Rangers,,TEX,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-04-29
2025-04-30,Athletics Athletics,Texas Rangers,,TEX,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-04-30
2025-05-01,Athletics Athletics,Texas Rangers,,TEX,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-05-01
