game_date,away_team,home_team,start_time,away_pitcher,home_pitcher,sportsbook,away_moneyline,home_moneyline,opener_away,opener_home,source_url,parse_method
2026-06-22,New York Yankees,Detroit Tigers,2026-06-22T22:10:00,G. Cole,F. Valdez,BetMGM,-130,+105,-135,+110,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
2026-06-22,New York Yankees,Detroit Tigers,2026-06-22T22:10:00,G. Cole,F. Valdez,FanDuel,-126,+108,-124,+106,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
2026-06-22,New York Yankees,Detroit Tigers,2026-06-22T22:10:00,G. Cole,F. Valdez,Caesars,-130,+110,-130,+110,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
2026-06-22,New York Yankees,Detroit Tigers,2026-06-22T22:10:00,G. Cole,F. Valdez,bet365,-132,+101,-139,+105,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
2026-06-22,New York Yankees,Detroit Tigers,2026-06-22T22:10:00,G. Cole,F. Valdez,DraftKings,-125,+104,-126,+104,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
2026-06-22,New York Yankees,Detroit Tigers,2026-06-22T22:10:00,G. Cole,F. Valdez,Fanatics Sportsbook,-125,+105,-140,+115,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
2026-06-22,Kansas City Royals,Tampa Bay Rays,2026-06-22T22:40:00,M. Wacha,D. Rasmussen,BetMGM,+155,-190,+145,-180,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
2026-06-22,Kansas City Royals,Tampa Bay Rays,2026-06-22T22:40:00,M. Wacha,D. Rasmussen,FanDuel,+154,-184,+152,-180,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
2026-06-22,Kansas City Royals,Tampa Bay Rays,2026-06-22T22:40:00,M. Wacha,D. Rasmussen,Caesars,+158,-190,+140,-165,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
2026-06-22,Kansas City Royals,Tampa Bay Rays,2026-06-22T22:40:00,M. Wacha,D. Rasmussen,bet365,+155,-208,+135,-179,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
2026-06-22,Kansas City Royals,Tampa Bay Rays,2026-06-22T22:40:00,M. Wacha,D. Rasmussen,DraftKings,+158,-193,+141,-171,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
2026-06-22,Kansas City Royals,Tampa Bay Rays,2026-06-22T22:40:00,M. Wacha,D. Rasmussen,Fanatics Sportsbook,+155,-190,+130,-155,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
2026-06-22,Texas Rangers,Miami Marlins,2026-06-22T22:40:00,T. Alexander,T. Phillips,BetMGM,+110,-135,+105,-125,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
2026-06-22,Texas Rangers,Miami Marlins,2026-06-22T22:40:00,T. Alexander,T. Phillips,FanDuel,+110,-130,+106,-124,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
2026-06-22,Texas Rangers,Miami Marlins,2026-06-22T22:40:00,T. Alexander,T. Phillips,Caesars,+115,-135,+100,-120,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
2026-06-22,Texas Rangers,Miami Marlins,2026-06-22T22:40:00,T. Alexander,T. Phillips,bet365,+110,-143,-104,-127,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
2026-06-22,Texas Rangers,Miami Marlins,2026-06-22T22:40:00,T. Alexander,T. Phillips,DraftKings,+113,-136,+102,-122,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
2026-06-22,Texas Rangers,Miami Marlins,2026-06-22T22:40:00,T. Alexander,T. Phillips,Fanatics Sportsbook,+110,-130,+105,-125,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
2026-06-22,Philadelphia Phillies,Washington Nationals,2026-06-22T22:45:00,T. Mayza,F. Griffin,BetMGM,+105,-125,-10000,-10000,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
2026-06-22,Philadelphia Phillies,Washington Nationals,2026-06-22T22:45:00,T. Mayza,F. Griffin,FanDuel,+106,-124,-102,-116,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
2026-06-22,Philadelphia Phillies,Washington Nationals,2026-06-22T22:45:00,T. Mayza,F. Griffin,Caesars,+105,-125,-105,-115,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
2026-06-22,Philadelphia Phillies,Washington Nationals,2026-06-22T22:45:00,T. Mayza,F. Griffin,bet365,+101,-132,-110,-122,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
2026-06-22,Philadelphia Phillies,Washington Nationals,2026-06-22T22:45:00,T. Mayza,F. Griffin,DraftKings,+104,-126,-106,-114,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
2026-06-22,Philadelphia Phillies,Washington Nationals,2026-06-22T22:45:00,T. Mayza,F. Griffin,Fanatics Sportsbook,+105,-125,-105,-115,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
2026-06-22,Houston Astros,Toronto Blue Jays,2026-06-22T23:07:00,H. Brown,D. Cease,BetMGM,+118,-145,+110,-135,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
2026-06-22,Houston Astros,Toronto Blue Jays,2026-06-22T23:07:00,H. Brown,D. Cease,FanDuel,+112,-132,-102,-116,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
2026-06-22,Houston Astros,Toronto Blue Jays,2026-06-22T23:07:00,H. Brown,D. Cease,Caesars,+118,-140,+110,-130,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
2026-06-22,Houston Astros,Toronto Blue Jays,2026-06-22T23:07:00,H. Brown,D. Cease,bet365,+115,-149,+105,-139,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
2026-06-22,Houston Astros,Toronto Blue Jays,2026-06-22T23:07:00,H. Brown,D. Cease,DraftKings,+113,-136,+109,-131,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
2026-06-22,Houston Astros,Toronto Blue Jays,2026-06-22T23:07:00,H. Brown,D. Cease,Fanatics Sportsbook,+115,-140,+105,-125,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
2026-06-22,Milwaukee Brewers,Cincinnati Reds,2026-06-22T23:10:00,B. Woodruff,B. Singer,BetMGM,-155,+125,-175,+145,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
2026-06-22,Milwaukee Brewers,Cincinnati Reds,2026-06-22T23:10:00,B. Woodruff,B. Singer,FanDuel,-152,+128,-162,+136,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
2026-06-22,Milwaukee Brewers,Cincinnati Reds,2026-06-22T23:10:00,B. Woodruff,B. Singer,Caesars,-155,+130,-178,+150,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
2026-06-22,Milwaukee Brewers,Cincinnati Reds,2026-06-22T23:10:00,B. Woodruff,B. Singer,bet365,-167,+125,-185,+140,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
2026-06-22,Milwaukee Brewers,Cincinnati Reds,2026-06-22T23:10:00,B. Woodruff,B. Singer,DraftKings,-156,+129,-175,+144,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
2026-06-22,Milwaukee Brewers,Cincinnati Reds,2026-06-22T23:10:00,B. Woodruff,B. Singer,Fanatics Sportsbook,-150,+125,-195,+160,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
