label,requested_url,final_url,http_status,content_length,error,fetch_method,redirected,page_title,date_in_page,team_names_found,sportsbook_names_found,odds_patterns_found,next_data_present,next_data_size,games_in_next_data,sportsbooks_in_next_data,parse_confidence,notes
main/2026-06-22,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,200,550425,,raw_html,False,"MLB Odds & Betting Lines: Moneylines, Point Spreads & Totals",True,28,DraftKings|FanDuel|BetMGM|Caesars|bet365|Fanatics,873,True,204653,12,6,likely_full,
main/2026-04-25,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-04-25,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-04-25,200,588020,,raw_html,False,"MLB Odds & Betting Lines: Moneylines, Point Spreads & Totals",True,29,DraftKings|FanDuel|BetMGM|Caesars|bet365|Fanatics,969,True,217631,14,6,likely_full,
main/2026-04-24,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-04-24,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-04-24,200,587170,,raw_html,False,"MLB Odds & Betting Lines: Moneylines, Point Spreads & Totals",True,29,DraftKings|FanDuel|BetMGM|Caesars|bet365|Fanatics,966,True,217384,14,6,likely_full,
main/2025-07-10,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2025-07-10,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2025-07-10,200,509111,,raw_html,False,"MLB Odds & Betting Lines: Moneylines, Point Spreads & Totals",True,26,DraftKings|FanDuel|BetMGM|Caesars|bet365|Fanatics,735,True,187001,10,6,likely_full,
main/2024-07-10,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2024-07-10,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2024-07-10,200,633715,,raw_html,False,"MLB Odds & Betting Lines: Moneylines, Point Spreads & Totals",True,30,DraftKings|FanDuel|BetMGM|Caesars|bet365|Fanatics,1012,True,228308,17,6,likely_full,
main/2023-07-15,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2023-07-15,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2023-07-15,200,651861,,raw_html,False,"MLB Odds & Betting Lines: Moneylines, Point Spreads & Totals",True,30,DraftKings|FanDuel|BetMGM|Caesars|bet365|Fanatics,1050,True,234333,18,6,likely_full,
main/2021-04-04,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2021-04-04,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2021-04-04,200,533933,,raw_html,False,"MLB Odds & Betting Lines: Moneylines, Point Spreads & Totals",True,28,DraftKings|FanDuel|BetMGM|Caesars|bet365|Fanatics,766,True,190322,12,6,likely_full,
money-line/full-game/2026-06-22,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2026-06-22,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2026-06-22,200,550798,,raw_html,False,"MLB Odds & Betting Lines: Moneylines, Point Spreads & Totals",True,28,DraftKings|FanDuel|BetMGM|Caesars|bet365|Fanatics,872,True,204796,12,6,likely_full,
pointspread/full-game/2026-06-22,https://www.sportsbookreview.com/betting-odds/mlb-baseball/pointspread/full-game/?date=2026-06-22,https://www.sportsbookreview.com/betting-odds/mlb-baseball/pointspread/full-game/?date=2026-06-22,200,551667,,raw_html,False,"MLB Odds & Betting Lines: Moneylines, Point Spreads & Totals",True,28,DraftKings|FanDuel|BetMGM|Caesars|bet365|Fanatics,851,True,205276,12,6,likely_full,
totals/full-game/2026-06-22,https://www.sportsbookreview.com/betting-odds/mlb-baseball/totals/full-game/?date=2026-06-22,https://www.sportsbookreview.com/betting-odds/mlb-baseball/totals/full-game/?date=2026-06-22,200,550951,,raw_html,False,"MLB Odds & Betting Lines: Moneylines, Point Spreads & Totals",True,28,DraftKings|FanDuel|BetMGM|Caesars|bet365|Fanatics,972,True,204744,12,6,likely_full,
pointspread/first-half/2026-06-22,https://www.sportsbookreview.com/betting-odds/mlb-baseball/pointspread/first-half/?date=2026-06-22,https://www.sportsbookreview.com/betting-odds/mlb-baseball/pointspread/first-half/?date=2026-06-22,500,11562,,raw_html,False,,False,0,,0,False,0,0,0,none,no html
totals/first-half/2026-06-22,https://www.sportsbookreview.com/betting-odds/mlb-baseball/totals/first-half/?date=2026-06-22,https://www.sportsbookreview.com/betting-odds/mlb-baseball/totals/first-half/?date=2026-06-22,500,11562,,raw_html,False,,False,0,,0,False,0,0,0,none,no html
