near_miss_type,candidate_id,game,derivative_type,market_ticker,proposed_side,situational_score,situational_label,market_expression_score,conservative_net_edge_cents,final_decision,funnel_stage,failed_reason,settlement_result,paper_net_pnl_cents
bad_read_and_lost,825,MIA@PHI,team_total,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA3,YES,25,bad_read,20,66,suppress,RAW_CANDIDATE,bad_situational_read,loss,-57
strong_read_but_failed_friction,826,NYM@CIN,team_total,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM8,YES,61,strong_read,10,-36,observe,SITUATIONAL_READ,weak_market_expression,unknown,
bad_read_and_lost,828,MIA@PHI,team_total,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA3,YES,36,weak_read,20,66,observe,RAW_CANDIDATE,weak_situational_read,loss,-57
bad_read_and_lost,840,MIN@TEX,f5_total,KXMLBF5TOTAL-26JUN152005MINTEX-1,NO,0,bad_read,20,93,suppress,RAW_CANDIDATE,bad_situational_read,loss,-9
bad_read_and_lost,845,MIN@TEX,f5_total,KXMLBF5TOTAL-26JUN152005MINTEX-1,NO,1,bad_read,20,93,suppress,RAW_CANDIDATE,bad_situational_read,loss,-9
bad_read_and_lost,852,MIN@TEX,f5_total,KXMLBF5TOTAL-26JUN152005MINTEX-1,NO,1,bad_read,20,93,suppress,RAW_CANDIDATE,bad_situational_read,loss,-9
bad_read_and_lost,854,MIN@TEX,f5_total,KXMLBF5TOTAL-26JUN152005MINTEX-1,NO,12,bad_read,20,93,suppress,RAW_CANDIDATE,bad_situational_read,loss,-9
bad_read_but_would_have_won,859,MIN@TEX,fg_total,KXMLBTOTAL-26JUN152005MINTEX-8,NO,22,bad_read,20,66,suppress,RAW_CANDIDATE,bad_situational_read,win,52
bad_read_but_would_have_won,864,MIN@TEX,fg_total,KXMLBTOTAL-26JUN152005MINTEX-8,NO,33,weak_read,20,66,observe,RAW_CANDIDATE,weak_situational_read,win,52
good_read_bad_price,868,DET@HOU,team_total,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,YES,54,interesting_read,20,9,observe,SITUATIONAL_READ,weak_market_expression,unknown,
