game,market_ticker,derivative_type,proposed_side,observation_count,best_situational_score,best_situational_label,best_market_expression_score,best_execution_score,best_funnel_stage,best_final_decision,best_failed_reason,near_miss_type,outcome_bucket,settlement_result,paper_net_pnl_cents,watch_count,observe_count,suppress_count
NYM@CIN,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,team_total,YES,11,61,strong_read,20,100,SITUATIONAL_READ,observe,weak_market_expression,,observe_lost,loss,-29,0,11,0
MIA@PHI,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,team_total,YES,13,61,strong_read,0,51,SITUATIONAL_READ,observe,weak_market_expression,,no_outcome,unknown,,0,10,3
MIN@TEX,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX4,team_total,YES,3,61,strong_read,5,76,SITUATIONAL_READ,observe,weak_market_expression,,observe_lost,loss,-58,0,3,0
MIN@TEX,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX6,team_total,YES,6,61,strong_read,20,100,SITUATIONAL_READ,observe,weak_market_expression,,observe_lost,loss,-34,0,6,0
MIA@PHI,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA3,team_total,YES,2,36,weak_read,20,100,RAW_CANDIDATE,observe,weak_situational_read,bad_read_and_lost,observe_lost,loss,-57,0,1,1
NYM@CIN,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM8,team_total,YES,6,61,strong_read,10,0,SITUATIONAL_READ,observe,weak_market_expression,strong_read_but_failed_friction,no_outcome,unknown,,0,6,0
SD@STL,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,team_total,YES,11,61,strong_read,20,73,SITUATIONAL_READ,observe,weak_market_expression,,no_outcome,unknown,,0,11,0
DET@HOU,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU7,team_total,YES,8,54,interesting_read,7,100,SITUATIONAL_READ,observe,weak_market_expression,,no_outcome,unknown,,0,8,0
MIN@TEX,KXMLBF5TOTAL-26JUN152005MINTEX-1,f5_total,NO,4,12,bad_read,20,100,RAW_CANDIDATE,suppress,bad_situational_read,bad_read_and_lost,suppress_lost,loss,-9,0,0,4
MIN@TEX,KXMLBTOTAL-26JUN152005MINTEX-8,fg_total,NO,13,33,weak_read,20,100,RAW_CANDIDATE,observe,weak_situational_read,bad_read_but_would_have_won,observe_won,win,52,0,3,10
MIA@PHI,KXMLBTOTAL-26JUN151840MIAPHI-6,fg_total,NO,6,38,weak_read,20,100,RAW_CANDIDATE,observe,weak_situational_read,,no_outcome,unknown,,0,4,2
DET@HOU,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,team_total,YES,16,54,interesting_read,20,41,SITUATIONAL_READ,observe,weak_market_expression,good_read_bad_price,no_outcome,unknown,,0,8,8
NYM@CIN,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM5,team_total,YES,1,50,interesting_read,5,0,SITUATIONAL_READ,observe,weak_market_expression,,no_outcome,unknown,,0,1,0
DET@HOU,KXMLBTOTAL-26JUN152010DETHOU-7,fg_total,NO,25,16,bad_read,20,100,RAW_CANDIDATE,suppress,bad_situational_read,,no_outcome,unknown,,0,0,25
DET@HOU,KXMLBF5TOTAL-26JUN152010DETHOU-1,f5_total,NO,4,12,bad_read,13,100,RAW_CANDIDATE,suppress,bad_situational_read,,no_outcome,unknown,,0,0,4
MIN@TEX,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX2,team_total,YES,2,10,bad_read,20,21,RAW_CANDIDATE,suppress,bad_situational_read,,no_outcome,push,0,0,0,2
TB@LAD,KXMLBTEAMTOTAL-26JUN152210TBLAD-LAD6,team_total,YES,8,61,strong_read,3,96,SITUATIONAL_READ,observe,weak_market_expression,,no_outcome,unknown,,0,8,0
PIT@ATH,KXMLBTEAMTOTAL-26JUN152140PITATH-PIT3,team_total,YES,20,66,strong_read,20,49,SITUATIONAL_READ,observe,weak_market_expression,good_read_bad_price,no_outcome,unknown,,0,20,0
