outcome,feature,feature_value,count_in_qualified,total_qualified_with_reasons,rate_in_qualified,avg_weight
team_early_deficit_scored_next2,home_away+opponent_strength_bucket,home__50_55,93,196,0.474,0.0454
team_early_deficit_scored_next2,home_away+l10_rpg_bucket,home__low_lt_3_5,92,196,0.469,0.0556
team_early_deficit_scored_next2,home_away,home,36,196,0.184,0.0428
team_early_deficit_tied_or_led_later,home_away+l10_rpg_bucket,home__low_lt_3_5,34,196,0.173,0.0521
team_early_deficit_scored_next2,home_away+opponent_strength_bucket,home__55_60,32,196,0.163,0.0493
team_early_deficit_tied_or_led_later,l10_scored4_rate_bucket+opponent_l10_allowed4_rate_bucket,below_avg_30_45__below_avg_30_45,30,196,0.153,0.0540
opponent_blew_early_small_lead,home_away+l10_rpg_bucket,home__low_lt_3_5,29,196,0.148,0.0521
team_early_deficit_scored_next2,l10_scored4_rate_bucket+opponent_l10_allowed4_rate_bucket,below_avg_30_45__below_avg_30_45,16,196,0.082,0.0490
team_early_deficit_scored_next2,l10_rpg_bucket+opponent_strength_bucket,mid_3_5_4_5__55_60,14,196,0.071,0.0550
opponent_blew_early_small_lead,l10_scored4_rate_bucket+opponent_l10_allowed4_rate_bucket,below_avg_30_45__below_avg_30_45,14,196,0.071,0.0540
f5_total_4plus,opponent_strength_bucket,60_plus,12,196,0.061,0.0660
f5_total_4plus,l10_rpg_bucket+opponent_starter_xfip_bucket,low_lt_3_5__very_bad_5_25_plus,10,196,0.051,0.0580
team_early_deficit_scored_next2,home_away+opponent_strength_bucket,home__60_plus,8,196,0.041,0.0555
f5_total_4plus,home_away+opponent_strength_bucket,away__60_plus,8,196,0.041,0.0960
team_early_deficit_scored_next2,tag_home_scoring_spot,yes,8,196,0.041,0.0450
f5_total_4plus,l10_rpg_bucket+opponent_strength_bucket,low_lt_3_5__45_50,7,196,0.036,0.0440
game_total_9plus,opponent_starter_blowup_rate_bucket,below_avg_30_45,7,196,0.036,0.0470
team_early_deficit_scored_next2,l10_scored4_rate_bucket+opponent_l10_allowed4_rate_bucket,below_avg_30_45__avg_45_60,5,196,0.026,0.0440
game_total_9plus,starter_xfip_gap_bucket,missing,4,196,0.020,0.0540
game_total_9plus,starter_quality_gap_bucket,missing,4,196,0.020,0.0540
team_early_deficit_scored_next2,home_away+opponent_strength_bucket,home__45_50,4,196,0.020,0.0430
f5_total_4plus,starter_confidence,none,4,196,0.020,0.0470
team_early_deficit_scored_next2,l10_rpg_bucket+opponent_starter_xfip_bucket,low_lt_3_5__good_3_75_4_25,4,196,0.020,0.0490
team_early_deficit_scored_next2,offense_form_bucket+opponent_starter_ra9_bucket,45_50__good_3_5_4_25,3,196,0.015,0.0550
f5_total_4plus,starter_xfip_gap_bucket,missing,2,196,0.010,0.0460
f5_total_4plus,starter_quality_gap_bucket,missing,2,196,0.010,0.0460
team_early_deficit_scored_next2,l10_scored4_rate_bucket,low_lt_30,2,196,0.010,0.0570
game_total_9plus,opponent_starter_xfip_bucket,very_bad_5_25_plus,2,196,0.010,0.0400
team_early_deficit_scored_next2,opponent_strength_bucket,60_plus,2,196,0.010,0.0410
team_early_deficit_scored_next2,home_away+l10_rpg_bucket,home__very_high_5_5_plus,2,196,0.010,0.0570
