dimension,label,n,hits,hit_rate,baseline_hit_rate,lift,confidence
overall,score_gte_0.4,404,277,0.686,0.572,+0.113,high
score_bin,0.20-0.30,1636,1035,0.633,0.572,+0.060,very_high
score_bin,0.30-0.40,814,524,0.644,0.572,+0.071,high
score_bin,0.40-0.50,299,205,0.686,0.572,+0.113,medium
score_bin,0.50+,105,72,0.686,0.572,+0.113,medium
season,2023,48,33,0.688,0.572,+0.115,low
season,2024,194,134,0.691,0.572,+0.118,medium
season,2025,162,110,0.679,0.572,+0.107,medium
home_away,home,170,116,0.682,0.572,+0.110,medium
home_away,away,234,161,0.688,0.572,+0.116,medium
bo_bucket,avg_95_105,23,18,0.783,0.572,+0.210,very_low
bo_bucket,high_105_115,15,13,0.867,0.572,+0.294,very_low
bo_bucket,low_85_95,39,27,0.692,0.572,+0.120,low
bo_bucket,very_high_115_plus,11,9,0.818,0.572,+0.246,very_low
bo_bucket,very_low_lt_85,316,210,0.665,0.572,+0.092,high
bd_bucket,avg_95_105,48,32,0.667,0.572,+0.094,low
bd_bucket,high_105_115,33,19,0.576,0.572,+0.003,low
bd_bucket,low_85_95,74,56,0.757,0.572,+0.184,low
bd_bucket,very_high_115_plus,58,41,0.707,0.572,+0.134,low
bd_bucket,very_low_lt_85,191,129,0.675,0.572,+0.103,medium
sbr_ml_strength,coin_flip,34,21,0.618,0.572,+0.045,low
sbr_ml_strength,favorite,13,7,0.538,0.572,-0.034,very_low
sbr_ml_strength,heavy_favorite,2,0,0.000,0.572,-0.572,very_low
sbr_ml_strength,underdog,307,210,0.684,0.572,+0.112,high
