label_type,label,n_games,over_count,under_count,push_count,over_rate,under_rate,push_rate,over_pct,under_pct,push_pct
total_bucket,5-6,38,20,17,1,0.5263,0.4474,0.0263,52.6%,44.7%,2.6%
total_bucket,6-7,1025,500,508,17,0.4878,0.4956,0.0166,48.8%,49.6%,1.7%
total_bucket,7-8,5957,2892,2773,292,0.4855,0.4655,0.049,48.5%,46.6%,4.9%
total_bucket,8-9,7624,3581,3769,274,0.4697,0.4944,0.0359,47.0%,49.4%,3.6%
total_bucket,9-10,5853,2609,2811,433,0.4458,0.4803,0.074,44.6%,48.0%,7.4%
total_bucket,10-11,1589,765,766,58,0.4814,0.4821,0.0365,48.1%,48.2%,3.7%
total_bucket,11-12,494,224,244,26,0.4534,0.4939,0.0526,45.3%,49.4%,5.3%
total_bucket,12-13,120,48,67,5,0.4,0.5583,0.0417,40.0%,55.8%,4.2%
total_bucket,13-14,51,21,28,2,0.4118,0.549,0.0392,41.2%,54.9%,3.9%
season,2012,2430,1124,1192,114,0.4626,0.4905,0.0469,46.3%,49.1%,4.7%
season,2013,2431,1117,1204,110,0.4595,0.4953,0.0452,45.9%,49.5%,4.5%
season,2014,2430,1121,1177,132,0.4613,0.4844,0.0543,46.1%,48.4%,5.4%
season,2015,2429,1175,1124,130,0.4837,0.4627,0.0535,48.4%,46.3%,5.4%
season,2016,2428,1154,1153,121,0.4753,0.4749,0.0498,47.5%,47.5%,5.0%
season,2017,2430,1135,1182,113,0.4671,0.4864,0.0465,46.7%,48.6%,4.7%
season,2018,2431,1124,1203,104,0.4624,0.4949,0.0428,46.2%,49.5%,4.3%
season,2019,2429,1140,1155,134,0.4693,0.4755,0.0552,46.9%,47.6%,5.5%
season,2020,898,424,430,44,0.4722,0.4788,0.049,47.2%,47.9%,4.9%
season,2021,2429,1151,1171,107,0.4739,0.4821,0.0441,47.4%,48.2%,4.4%
season_group,2012-2019,19438,9090,9390,958,0.4676,0.4831,0.0493,46.8%,48.3%,4.9%
season_group,2020_shortened,898,424,430,44,0.4722,0.4788,0.049,47.2%,47.9%,4.9%
season_group,2021,2429,1151,1171,107,0.4739,0.4821,0.0441,47.4%,48.2%,4.4%
