pr_bucket,season_group,n,team_runs_4plus_rate,team_runs_5plus_rate,team_runs_under5_rate,team_runs_4plus_pct,team_runs_5plus_pct,team_runs_under5_pct,caveat
<2.0,all,114,0.307,0.193,0.807,30.7%,19.3%,80.7%,projected_runs_methodology_unconfirmed
<2.0,2012-2019,97,0.3196,0.2062,0.7938,32.0%,20.6%,79.4%,projected_runs_methodology_unconfirmed
<2.0,2021,13,0.1538,0.0769,0.9231,15.4%,7.7%,92.3%,projected_runs_methodology_unconfirmed
2.0-2.5,all,854,0.3747,0.2482,0.7518,37.5%,24.8%,75.2%,projected_runs_methodology_unconfirmed
2.0-2.5,2012-2019,699,0.3662,0.2403,0.7597,36.6%,24.0%,76.0%,projected_runs_methodology_unconfirmed
2.0-2.5,2020_shortened,43,0.3953,0.2326,0.7674,39.5%,23.3%,76.7%,projected_runs_methodology_unconfirmed
2.0-2.5,2021,112,0.4196,0.3036,0.6964,42.0%,30.4%,69.6%,projected_runs_methodology_unconfirmed
2.5-3.0,all,3053,0.4075,0.2879,0.7121,40.7%,28.8%,71.2%,projected_runs_methodology_unconfirmed
2.5-3.0,2012-2019,2555,0.3941,0.2826,0.7174,39.4%,28.3%,71.7%,projected_runs_methodology_unconfirmed
2.5-3.0,2020_shortened,126,0.4841,0.3889,0.6111,48.4%,38.9%,61.1%,projected_runs_methodology_unconfirmed
2.5-3.0,2021,372,0.4731,0.2903,0.7097,47.3%,29.0%,71.0%,projected_runs_methodology_unconfirmed
3.0-3.5,all,6108,0.4615,0.3332,0.6668,46.2%,33.3%,66.7%,projected_runs_methodology_unconfirmed
3.0-3.5,2012-2019,5267,0.4608,0.3305,0.6695,46.1%,33.1%,66.9%,projected_runs_methodology_unconfirmed
3.0-3.5,2020_shortened,224,0.5089,0.3661,0.6339,50.9%,36.6%,63.4%,projected_runs_methodology_unconfirmed
3.0-3.5,2021,617,0.4506,0.3436,0.6564,45.1%,34.4%,65.6%,projected_runs_methodology_unconfirmed
3.5-4.0,all,8257,0.5153,0.3846,0.6154,51.5%,38.5%,61.5%,projected_runs_methodology_unconfirmed
3.5-4.0,2012-2019,7198,0.5111,0.38,0.62,51.1%,38.0%,62.0%,projected_runs_methodology_unconfirmed
3.5-4.0,2020_shortened,282,0.5106,0.4078,0.5922,51.1%,40.8%,59.2%,projected_runs_methodology_unconfirmed
3.5-4.0,2021,777,0.556,0.4196,0.5804,55.6%,42.0%,58.0%,projected_runs_methodology_unconfirmed
4.0-4.5,all,8858,0.5472,0.4135,0.5865,54.7%,41.4%,58.6%,projected_runs_methodology_unconfirmed
4.0-4.5,2012-2019,7778,0.5486,0.4135,0.5865,54.9%,41.3%,58.7%,projected_runs_methodology_unconfirmed
4.0-4.5,2020_shortened,262,0.5344,0.416,0.584,53.4%,41.6%,58.4%,projected_runs_methodology_unconfirmed
4.0-4.5,2021,818,0.5379,0.4132,0.5868,53.8%,41.3%,58.7%,projected_runs_methodology_unconfirmed
4.5-5.0,all,7396,0.6017,0.4632,0.5368,60.2%,46.3%,53.7%,projected_runs_methodology_unconfirmed
4.5-5.0,2012-2019,6412,0.6014,0.461,0.539,60.1%,46.1%,53.9%,projected_runs_methodology_unconfirmed
4.5-5.0,2020_shortened,243,0.6667,0.535,0.465,66.7%,53.5%,46.5%,projected_runs_methodology_unconfirmed
4.5-5.0,2021,741,0.583,0.4588,0.5412,58.3%,45.9%,54.1%,projected_runs_methodology_unconfirmed
5.0-5.5,all,5147,0.6338,0.505,0.495,63.4%,50.5%,49.5%,projected_runs_methodology_unconfirmed
5.0-5.5,2012-2019,4285,0.6327,0.5029,0.4971,63.3%,50.3%,49.7%,projected_runs_methodology_unconfirmed
5.0-5.5,2020_shortened,232,0.6078,0.4828,0.5172,60.8%,48.3%,51.7%,projected_runs_methodology_unconfirmed
5.0-5.5,2021,630,0.6508,0.527,0.473,65.1%,52.7%,47.3%,projected_runs_methodology_unconfirmed
5.5-6.0,all,2992,0.6654,0.5428,0.4572,66.5%,54.3%,45.7%,projected_runs_methodology_unconfirmed
5.5-6.0,2012-2019,2387,0.6707,0.5408,0.4592,67.1%,54.1%,45.9%,projected_runs_methodology_unconfirmed
5.5-6.0,2020_shortened,201,0.6667,0.5771,0.4229,66.7%,57.7%,42.3%,projected_runs_methodology_unconfirmed
5.5-6.0,2021,404,0.6337,0.5371,0.4629,63.4%,53.7%,46.3%,projected_runs_methodology_unconfirmed
6.0-6.5,all,1557,0.7136,0.5825,0.4175,71.4%,58.3%,41.7%,projected_runs_methodology_unconfirmed
6.0-6.5,2012-2019,1229,0.7168,0.5858,0.4142,71.7%,58.6%,41.4%,projected_runs_methodology_unconfirmed
6.0-6.5,2020_shortened,106,0.7075,0.5755,0.4245,70.8%,57.5%,42.5%,projected_runs_methodology_unconfirmed
6.0-6.5,2021,222,0.6982,0.5676,0.4324,69.8%,56.8%,43.2%,projected_runs_methodology_unconfirmed
6.5-7.0,all,682,0.7082,0.5997,0.4003,70.8%,60.0%,40.0%,projected_runs_methodology_unconfirmed
6.5-7.0,2012-2019,549,0.7067,0.592,0.408,70.7%,59.2%,40.8%,projected_runs_methodology_unconfirmed
6.5-7.0,2020_shortened,48,0.7292,0.6458,0.3542,72.9%,64.6%,35.4%,projected_runs_methodology_unconfirmed
6.5-7.0,2021,85,0.7059,0.6235,0.3765,70.6%,62.4%,37.6%,projected_runs_methodology_unconfirmed
7.0+,all,512,0.8086,0.7051,0.2949,80.9%,70.5%,29.5%,projected_runs_methodology_unconfirmed
7.0+,2012-2019,420,0.8048,0.7024,0.2976,80.5%,70.2%,29.8%,projected_runs_methodology_unconfirmed
7.0+,2020_shortened,25,0.8,0.68,0.32,80.0%,68.0%,32.0%,projected_runs_methodology_unconfirmed
7.0+,2021,67,0.8358,0.7313,0.2687,83.6%,73.1%,26.9%,projected_runs_methodology_unconfirmed
