season,total_rows,missing_run_line,missing_run_line_odds,missing_over_odds,missing_under_odds,missing_projected_runs,missing_park_name,run_line_pct_present,run_line_odds_pct_present
2012,4860,276,4860,0,0,0,0,94.3%,0.0%
2013,4862,162,4862,0,0,0,0,96.7%,0.0%
2014,4860,0,0,0,0,0,0,100.0%,100.0%
2015,4858,0,0,0,0,0,0,100.0%,100.0%
2016,4856,0,0,0,0,0,0,100.0%,100.0%
2017,4860,0,0,0,0,0,0,100.0%,100.0%
2018,4862,0,0,0,0,0,0,100.0%,100.0%
2019,4858,0,0,0,0,0,0,100.0%,100.0%
2020,1796,0,0,0,0,0,0,100.0%,100.0%
2021,4858,0,0,0,0,0,0,100.0%,100.0%
