abbreviation,total_rows,first_season,last_season,seasons_active,seasons_count,unique_opponents,note
ARI,1518,2012,2021,"2012,2013,2014,2015,2016,2017,2018,2019,2020,2021",10,29,
ATL,1516,2012,2021,"2012,2013,2014,2015,2016,2017,2018,2019,2020,2021",10,29,
BAL,1518,2012,2021,"2012,2013,2014,2015,2016,2017,2018,2019,2020,2021",10,29,
BOS,1518,2012,2021,"2012,2013,2014,2015,2016,2017,2018,2019,2020,2021",10,29,
CHC,1519,2012,2021,"2012,2013,2014,2015,2016,2017,2018,2019,2020,2021",10,29,
CIN,1518,2012,2021,"2012,2013,2014,2015,2016,2017,2018,2019,2020,2021",10,29,
CLE,1516,2012,2021,"2012,2013,2014,2015,2016,2017,2018,2019,2020,2021",10,29,
COL,1518,2012,2021,"2012,2013,2014,2015,2016,2017,2018,2019,2020,2021",10,29,
CWS,1517,2012,2021,"2012,2013,2014,2015,2016,2017,2018,2019,2020,2021",10,29,
DET,1513,2012,2021,"2012,2013,2014,2015,2016,2017,2018,2019,2020,2021",10,29,
HOU,1518,2012,2021,"2012,2013,2014,2015,2016,2017,2018,2019,2020,2021",10,29,
KC,1518,2012,2021,"2012,2013,2014,2015,2016,2017,2018,2019,2020,2021",10,29,
LAA,1518,2012,2021,"2012,2013,2014,2015,2016,2017,2018,2019,2020,2021",10,29,
LAD,1519,2012,2021,"2012,2013,2014,2015,2016,2017,2018,2019,2020,2021",10,29,
MIA,1516,2012,2021,"2012,2013,2014,2015,2016,2017,2018,2019,2020,2021",10,29,
MIL,1519,2012,2021,"2012,2013,2014,2015,2016,2017,2018,2019,2020,2021",10,29,
MIN,1518,2012,2021,"2012,2013,2014,2015,2016,2017,2018,2019,2020,2021",10,29,
NYM,1518,2012,2021,"2012,2013,2014,2015,2016,2017,2018,2019,2020,2021",10,29,
NYY,1518,2012,2021,"2012,2013,2014,2015,2016,2017,2018,2019,2020,2021",10,29,
OAK,1518,2012,2021,"2012,2013,2014,2015,2016,2017,2018,2019,2020,2021",10,29,
PHI,1518,2012,2021,"2012,2013,2014,2015,2016,2017,2018,2019,2020,2021",10,29,
PIT,1517,2012,2021,"2012,2013,2014,2015,2016,2017,2018,2019,2020,2021",10,29,
SD,1518,2012,2021,"2012,2013,2014,2015,2016,2017,2018,2019,2020,2021",10,29,
SEA,1518,2012,2021,"2012,2013,2014,2015,2016,2017,2018,2019,2020,2021",10,29,
SF,1518,2012,2021,"2012,2013,2014,2015,2016,2017,2018,2019,2020,2021",10,29,
STL,1516,2012,2021,"2012,2013,2014,2015,2016,2017,2018,2019,2020,2021",10,29,
TB,1519,2012,2021,"2012,2013,2014,2015,2016,2017,2018,2019,2020,2021",10,29,
TEX,1519,2012,2021,"2012,2013,2014,2015,2016,2017,2018,2019,2020,2021",10,29,
TOR,1518,2012,2021,"2012,2013,2014,2015,2016,2017,2018,2019,2020,2021",10,29,
WSH,1518,2012,2021,"2012,2013,2014,2015,2016,2017,2018,2019,2020,2021",10,29,
